example_id,category,n_choices,question_char_len,source_index,dataset_revision,correct_label
mmlu_pro:test:124,business,10,298,54,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:125,business,10,421,55,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:126,business,10,366,56,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:127,business,10,89,57,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:128,business,10,139,58,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:131,business,10,79,60,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:132,business,10,71,61,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:133,business,10,50,62,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:134,business,7,72,63,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:135,business,10,542,64,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:137,business,10,242,66,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:138,business,10,154,67,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:139,business,10,121,68,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:140,business,10,422,69,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:141,business,10,266,70,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:142,business,10,112,71,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:143,business,10,29,72,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:144,business,10,160,73,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:145,business,10,224,74,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:146,business,10,172,75,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:147,business,10,142,76,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:148,business,10,177,77,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:149,business,10,151,78,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:150,business,10,26,79,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:151,business,10,248,80,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:152,business,10,160,81,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:153,business,10,241,82,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:154,business,10,135,83,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:155,business,10,342,84,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:156,business,10,183,85,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:157,business,10,291,86,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:158,business,10,111,87,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:159,business,10,233,88,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:160,business,10,168,89,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:161,business,10,104,90,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:163,business,10,227,92,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:164,business,10,414,93,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:165,business,10,183,94,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:166,business,10,411,95,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:167,business,10,161,96,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:168,business,10,116,97,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:169,business,10,727,98,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:170,business,10,333,99,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:171,business,10,94,100,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:172,business,10,164,101,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:173,business,10,209,102,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:174,business,10,240,103,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:175,business,10,326,104,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:176,business,10,125,105,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:177,business,10,150,106,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:179,business,10,258,108,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:180,business,10,258,109,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:181,business,10,199,110,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:182,business,10,293,111,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:183,business,10,206,112,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:184,business,10,241,113,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:185,business,10,209,114,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:187,business,10,580,116,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:188,business,10,400,117,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:189,business,10,91,118,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:190,business,10,99,119,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:191,business,10,205,120,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:192,business,10,292,121,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:193,business,6,114,122,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:194,business,10,133,123,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:195,business,8,156,124,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:196,business,8,156,125,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:197,business,10,49,126,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:198,business,8,111,127,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:199,business,10,148,128,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:200,business,10,93,129,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:201,business,10,19,130,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:202,business,7,86,131,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:203,business,7,101,132,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:204,business,10,464,133,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:205,business,10,131,134,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:206,business,10,551,135,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:207,business,10,303,136,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:208,business,10,373,137,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:209,business,10,192,138,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:210,business,10,670,139,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:211,business,10,297,140,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:212,business,10,503,141,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:213,business,10,167,142,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:214,business,10,231,143,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:215,business,10,278,144,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:216,business,10,124,145,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:217,business,10,208,146,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:218,business,10,443,147,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:219,business,10,101,148,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:220,business,10,306,149,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:221,business,10,162,150,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:222,business,10,275,151,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:223,business,10,203,152,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:224,business,10,154,153,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:225,business,10,237,154,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:226,business,10,244,155,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:227,business,10,149,156,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:228,business,10,253,157,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:229,business,10,221,158,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:230,business,10,182,159,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:231,business,10,164,160,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:232,business,10,593,161,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:233,business,10,259,162,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:234,business,10,115,163,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:235,business,10,149,164,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:237,business,10,629,165,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:238,business,10,213,166,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:239,business,10,174,167,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:240,business,10,106,168,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:241,business,10,171,169,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:242,business,10,564,170,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:243,business,10,168,171,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:244,business,10,423,172,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:245,business,10,648,173,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:246,business,10,335,174,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:247,business,10,335,175,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:248,business,10,141,176,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:249,business,10,146,177,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:250,business,10,85,178,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:251,business,10,212,179,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:252,business,10,209,180,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:254,business,10,92,182,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:255,business,10,275,183,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:256,business,10,359,184,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:257,business,10,116,185,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:258,business,9,118,186,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:259,business,10,323,187,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:260,business,10,135,188,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:262,business,10,74,190,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:263,business,10,88,191,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:264,business,10,128,192,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:265,business,10,175,193,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:266,business,10,63,194,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:267,business,10,77,195,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:268,business,10,53,196,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:269,business,10,69,197,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:270,business,10,524,198,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:271,business,10,351,199,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:272,business,10,429,200,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:273,business,10,219,201,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:274,business,10,119,202,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:275,business,10,100,203,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:276,business,10,125,204,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:277,business,10,251,205,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:278,business,10,115,206,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:279,business,10,251,207,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:280,business,10,234,208,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:281,business,10,290,209,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:282,business,10,258,210,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:283,business,10,131,211,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:284,business,10,120,212,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:285,business,10,104,213,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:286,business,10,370,214,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:287,business,10,107,215,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:288,business,10,628,216,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:289,business,10,156,217,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:290,business,10,207,218,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:291,business,10,146,219,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:292,business,10,207,220,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:293,business,10,693,221,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:294,business,10,341,222,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:295,business,10,134,223,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:296,business,10,137,224,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:297,business,10,138,225,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:298,business,10,325,226,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:299,business,10,182,227,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:300,business,10,75,228,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:301,business,10,324,229,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:302,business,10,136,230,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:303,business,10,188,231,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:304,business,10,207,232,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:305,business,10,192,233,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:306,business,10,124,234,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:307,business,10,266,235,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:308,business,10,329,236,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:309,business,10,130,237,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:310,business,10,196,238,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:311,business,10,128,239,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:312,business,10,99,240,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:313,business,10,145,241,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:314,business,10,294,242,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:315,business,9,104,243,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:317,business,10,172,245,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:318,business,9,317,246,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:319,business,10,242,247,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:320,business,10,157,248,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:321,business,10,275,249,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:322,business,10,389,250,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:323,business,10,108,251,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:324,business,10,209,252,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:325,business,10,212,253,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:326,business,10,568,254,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:327,business,10,162,255,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:328,business,10,165,256,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:329,business,10,296,257,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:330,business,10,222,258,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:331,business,10,224,259,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:332,business,10,226,260,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:333,business,10,199,261,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:334,business,10,156,262,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:335,business,10,209,263,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:336,business,10,105,264,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:337,business,10,134,265,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:338,business,10,176,266,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:339,business,10,314,267,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:340,business,10,263,268,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:341,business,10,171,269,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:342,business,10,132,270,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:343,business,10,141,271,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:344,business,10,322,272,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:345,business,10,303,273,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:346,business,10,326,274,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:347,business,10,177,275,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:348,business,10,266,276,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:349,business,10,86,277,b189ec765aa7ed75c8acfea42df31fdae71f97be,A
mmlu_pro:test:350,business,10,129,278,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:351,business,10,200,279,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:352,business,10,486,280,b189ec765aa7ed75c8acfea42df31fdae71f97be,E
mmlu_pro:test:353,business,10,482,281,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:354,business,10,61,282,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:355,business,10,191,283,b189ec765aa7ed75c8acfea42df31fdae71f97be,B
mmlu_pro:test:356,business,10,437,284,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:357,business,10,529,285,b189ec765aa7ed75c8acfea42df31fdae71f97be,H
mmlu_pro:test:358,business,10,191,286,b189ec765aa7ed75c8acfea42df31fdae71f97be,F
mmlu_pro:test:359,business,10,195,287,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:360,business,10,191,288,b189ec765aa7ed75c8acfea42df31fdae71f97be,J
mmlu_pro:test:361,business,10,143,289,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
mmlu_pro:test:362,business,10,97,290,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:363,business,10,71,291,b189ec765aa7ed75c8acfea42df31fdae71f97be,C
mmlu_pro:test:364,business,10,32,292,b189ec765aa7ed75c8acfea42df31fdae71f97be,G
mmlu_pro:test:366,business,6,87,294,b189ec765aa7ed75c8acfea42df31fdae71f97be,D
mmlu_pro:test:368,business,10,325,295,b189ec765aa7ed75c8acfea42df31fdae71f97be,I
