L,displayed_confidence,action,n,mean_other_n_correct,median_other_n_correct,mean_other_frac_wrong,mean_question_char_len,median_question_char_len,n_error,error_rate,category_counts,verify_minus_use_mean_other_n_correct,verify_minus_use_mean_other_n_correct_ci_lower,verify_minus_use_mean_other_n_correct_ci_upper,verify_minus_use_mean_char_len,verify_minus_use_mean_char_len_ci_lower,verify_minus_use_mean_char_len_ci_upper
20.0,0.9,VERIFY,90,2.311111111111111,3.0,0.22962962962962966,275.68888888888887,174.0,27,0.3,"{""biology"": 8, ""business"": 9, ""chemistry"": 7, ""computer science"": 6, ""economics"": 4, ""engineering"": 7, ""health"": 9, ""history"": 6, ""law"": 8, ""math"": 4, ""other"": 4, ""philosophy"": 7, ""physics"": 5, ""psychology"": 6}",-0.6888888888888891,-0.8941176470588235,-0.5,144.08888888888887,15.590964590964575,252.8049029622063
20.0,0.9,USE,10,3.0,3.0,0.0,131.6,76.5,0,0.0,"{""biology"": 1, ""chemistry"": 1, ""computer science"": 2, ""economics"": 2, ""health"": 2, ""physics"": 1, ""psychology"": 1}",-0.6888888888888891,-0.8941176470588235,-0.5,144.08888888888887,15.590964590964575,252.8049029622063
20.0,0.93,VERIFY,80,2.2875,3.0,0.2375,297.4875,181.0,25,0.3125,"{""biology"": 5, ""business"": 8, ""chemistry"": 7, ""computer science"": 7, ""economics"": 4, ""engineering"": 7, ""health"": 6, ""history"": 6, ""law"": 7, ""math"": 4, ""other"": 3, ""philosophy"": 5, ""physics"": 5, ""psychology"": 6}",-0.4624999999999999,-0.8235294117647061,-0.0297619047619051,181.03750000000002,98.83749999999998,267.12466124661245
20.0,0.93,USE,20,2.75,3.0,0.08333333333333334,116.45,76.5,2,0.1,"{""biology"": 4, ""business"": 1, ""chemistry"": 1, ""computer science"": 1, ""economics"": 2, ""health"": 5, ""law"": 1, ""other"": 1, ""philosophy"": 2, ""physics"": 1, ""psychology"": 1}",-0.4624999999999999,-0.8235294117647061,-0.0297619047619051,181.03750000000002,98.83749999999998,267.12466124661245
20.0,0.94,VERIFY,77,2.2987012987012987,3.0,0.23376623376623376,298.038961038961,178.0,24,0.3116883116883117,"{""biology"": 5, ""business"": 8, ""chemistry"": 6, ""computer science"": 6, ""economics"": 4, ""engineering"": 7, ""health"": 5, ""history"": 6, ""law"": 7, ""math"": 4, ""other"": 3, ""philosophy"": 5, ""physics"": 5, ""psychology"": 6}",-0.35347261434217936,-0.7532467532467533,0.09207459207459179,159.8215697346132,65.91025641025641,254.77233782129744
20.0,0.94,USE,23,2.652173913043478,3.0,0.11594202898550726,138.2173913043478,82.0,3,0.13043478260869565,"{""biology"": 4, ""business"": 1, ""chemistry"": 2, ""computer science"": 2, ""economics"": 2, ""health"": 6, ""law"": 1, ""other"": 1, ""philosophy"": 2, ""physics"": 1, ""psychology"": 1}",-0.35347261434217936,-0.7532467532467533,0.09207459207459179,159.8215697346132,65.91025641025641,254.77233782129744
20.0,0.96,VERIFY,70,2.242857142857143,3.0,0.2523809523809524,305.1714285714286,181.0,24,0.34285714285714286,"{""biology"": 3, ""business"": 8, ""chemistry"": 6, ""computer science"": 5, ""economics"": 4, ""engineering"": 7, ""health"": 3, ""history"": 5, ""law"": 7, ""math"": 4, ""other"": 3, ""philosophy"": 5, ""physics"": 5, ""psychology"": 5}",-0.4571428571428573,-0.8199909543193127,-0.08158508158508182,146.3047619047619,49.53414744459522,247.37412587412587
20.0,0.96,USE,30,2.7,3.0,0.1,158.86666666666667,84.5,3,0.1,"{""biology"": 6, ""business"": 1, ""chemistry"": 2, ""computer science"": 3, ""economics"": 2, ""health"": 8, ""history"": 1, ""law"": 1, ""other"": 1, ""philosophy"": 2, ""physics"": 1, ""psychology"": 2}",-0.4571428571428573,-0.8199909543193127,-0.08158508158508182,146.3047619047619,49.53414744459522,247.37412587412587
20.0,0.99,VERIFY,62,2.1451612903225805,2.5,0.2849462365591398,332.19354838709677,204.0,25,0.4032258064516129,"{""biology"": 3, ""business"": 8, ""chemistry"": 6, ""computer science"": 5, ""economics"": 1, ""engineering"": 7, ""health"": 3, ""history"": 5, ""law"": 8, ""math"": 4, ""other"": 2, ""philosophy"": 4, ""physics"": 4, ""psychology"": 2}",-0.6179966044142615,-0.9411764705882355,-0.29707792207792183,186.61460101867573,93.21568627450978,285.63574550752793
20.0,0.99,USE,38,2.763157894736842,3.0,0.07894736842105263,145.57894736842104,89.0,2,0.05263157894736842,"{""biology"": 6, ""business"": 1, ""chemistry"": 2, ""computer science"": 3, ""economics"": 5, ""health"": 8, ""history"": 1, ""other"": 2, ""philosophy"": 3, ""physics"": 2, ""psychology"": 5}",-0.6179966044142615,-0.9411764705882355,-0.29707792207792183,186.61460101867573,93.21568627450978,285.63574550752793
