source,question_id,model_alias,model_endpoint,family,score_condition,displayed_confidence,displayed_token,frozen_answer,stage1_correct,parsed_action,verify,raw_response,input_tokens,output_tokens,estimated_cost_usd,prompt_hash,request_key
task007a,mmlu_pro:test:7552,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.90,0.9,0.9,C,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",755,18,0.00169,b37a3f186006b633cf983f388509da5897b2398558cb3a4740690a6b16de73da,verification:639ddb74fec5eb3d48a72485da7ff9b1d272a11f2338bccf67277eb448921cef
task007a,mmlu_pro:test:7552,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.99,0.99,0.99,C,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",755,18,0.00169,38c2fd5c60cf89b6eb90b66d5a9eb99fde24c41d8bf87a6168f1a2702e00c716,verification:4211878d1d588d1eda5de2aac717a0e4c0fdb49ba6b62f597c19f057315e66fa
task007a,mmlu_pro:test:7552,anthropic_sonnet5,claude-sonnet-5,stronger,hidden,,,C,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",732,18,0.001644,a4fe50607243149eb2d4d76dd232ad5821a6cb15b4da7831ea77ede040be6ba7,verification:2be71438db4a8dbf5eb8504d4cc205cdc5f529763ec185f33b33fe76d9a75747
task007a,mmlu_pro:test:7552,anthropic_sonnet5,claude-sonnet-5,stronger,displayed_0.70,0.7,0.7,C,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",760,18,0.0017,c61506a88457ccf74b56d8dfb485219b4ab9aa6afc935b9a8d52fabde6ad7c3d,verification:1e8b04ea1c6865f7a759ddee1b12fca71a3168c5df3c83564688a3744f1f095e
task007a,mmlu_pro:test:7552,anthropic_sonnet5,claude-sonnet-5,stronger,displayed_0.90,0.9,0.9,C,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",760,18,0.0017,d895cf1f2211982b9884eaa705734289dd713dfb071908f1bf5e88aa8f388041,verification:21491a119ba7c654077fff329ecace5091ecb80c527e4d9292fc73d2c327ee8a
task007a,mmlu_pro:test:7552,anthropic_sonnet5,claude-sonnet-5,stronger,displayed_0.99,0.99,0.99,C,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",760,18,0.0017,6041f7f4e45dfa72ab59a0807ca2bcfcf4e388d4e152774a0522bda5024ab328,verification:227ced9ee161184e0420e467d7fe24efb76ea60499ad5456cd25747ad598e86a
task007a,mmlu_pro:test:1860,openai_gpt56_sol,gpt-5.6-sol,moderate,hidden,,,F,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",630,14,0.0028,204a48ca89a3c884aa5e95541cbe187a996ba58053258b564d11994f96452656,verification:62109298c3f67cbeebe32bb40ae68781595f64fc077339bd79888e3f5b68234d
task007a,mmlu_pro:test:1860,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.70,0.7,0.7,F,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",647,14,0.002868,85838397c9e70a00cb8562dea20dc0df122e605be06b7bca7f21a1038ae577d5,verification:069375951e7fe08b9c869762da36bc6e6fe785a81879f233b8590bfe13e8de0a
task007a,mmlu_pro:test:1860,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.90,0.9,0.9,F,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",647,14,0.002868,21a6eb66665bcd32fdd4d5b6dca71d639a2f5a8fb1c7e0ce0ccf765e09ddbc71,verification:08570d74d1b1ac2994e9436278381ba22bb86c06c91b41bbda3b1b644d9e23ef
task007a,mmlu_pro:test:1860,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.99,0.99,0.99,F,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",647,14,0.002868,abb29785bcca7bfb429c81bbadecbf2b786a341c0fa98e73f276f8c63ec5075b,verification:a3f626029bcd80a28b118173a3423265e546c4c8e6e4c819bc6984f504616ba4
task007a,mmlu_pro:test:1860,openai_gpt56_sol,gpt-5.6-sol,stronger,hidden,,,F,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",631,14,0.002804,c97152f96ca9ccfcd86109fb393345d3786cbcc5b9366c63c2fc47c00f4f73c5,verification:9da2991d2ad1ed3f91fa897473354a62aa541ff416a7c722eb75bb772cfd3862
task007a,mmlu_pro:test:1860,openai_gpt56_sol,gpt-5.6-sol,stronger,displayed_0.70,0.7,0.7,F,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",648,14,0.002872,6a5bc6b47d9b3aaf0a8fc5054ea87a50c56913b86c1fed19e8bc7e821e861166,verification:b60a123a3f262b8c1e6e688e35e2ea1cd71c82247f74e35501fae5ba5e3236c4
task007a,mmlu_pro:test:1860,openai_gpt56_sol,gpt-5.6-sol,stronger,displayed_0.90,0.9,0.9,F,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",648,14,0.002872,6eaec24216903beb439ae69b457757beed90a5815a22d23c98e71e48a1a4f81c,verification:803e707948268e13ee081808215a4a1a8c40389dd14892ccf462e1ca2e6724d5
task007a,mmlu_pro:test:1860,openai_gpt56_sol,gpt-5.6-sol,stronger,displayed_0.99,0.99,0.99,F,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",648,14,0.002872,1e23024c36a337a3773dc8988b9806f3a52eb45b9b92f9086ebff2ef56c8afbc,verification:be27dea7c6434b50166d053727d55785f41412fdfe63fdbf7ac36e5089f85d9a
task007a,mmlu_pro:test:1860,anthropic_sonnet5,claude-sonnet-5,moderate,hidden,,,F,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",1161,18,0.002502,204a48ca89a3c884aa5e95541cbe187a996ba58053258b564d11994f96452656,verification:14878b2110af16eab28bc455d794285d1241ca0b4e6049aea99a4f1230a3d7f0
task007a,mmlu_pro:test:1860,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.70,0.7,0.7,F,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",1189,18,0.002558,85838397c9e70a00cb8562dea20dc0df122e605be06b7bca7f21a1038ae577d5,verification:dc8b6b82ad0811185c19d7d987ce71e7e2676e702c8ef69479cbf794162fee9f
task007a,mmlu_pro:test:1860,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.90,0.9,0.9,F,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",1189,18,0.002558,21a6eb66665bcd32fdd4d5b6dca71d639a2f5a8fb1c7e0ce0ccf765e09ddbc71,verification:9ab279e9ca1902269d7a91b6f00e7d97f195ea31294612a99429299124ac5502
task007a,mmlu_pro:test:1860,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.99,0.99,0.99,F,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",1189,18,0.002558,abb29785bcca7bfb429c81bbadecbf2b786a341c0fa98e73f276f8c63ec5075b,verification:4a6c36e7862b99655e5cfd9a868eb18325024a64ae377767eb3640dca2980c40
task007a,mmlu_pro:test:1860,anthropic_sonnet5,claude-sonnet-5,stronger,hidden,,,F,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",1166,18,0.002512,c97152f96ca9ccfcd86109fb393345d3786cbcc5b9366c63c2fc47c00f4f73c5,verification:18ecd9d1b228bd3189792b7e9d792867dd6e2d508b55a850042b8d13f91d6efa
task007a,mmlu_pro:test:1860,anthropic_sonnet5,claude-sonnet-5,stronger,displayed_0.70,0.7,0.7,F,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",1194,18,0.002568,6a5bc6b47d9b3aaf0a8fc5054ea87a50c56913b86c1fed19e8bc7e821e861166,verification:c4a4fcc7a75497e0f16af9c85ba17dc64cd2b0eeaa7f27ebc137c73e971e66a4
task007a,mmlu_pro:test:1860,anthropic_sonnet5,claude-sonnet-5,stronger,displayed_0.90,0.9,0.9,F,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",1194,18,0.002568,6eaec24216903beb439ae69b457757beed90a5815a22d23c98e71e48a1a4f81c,verification:0040a553e247e72172323a91cd400c9b994dfac0c7813030e5023a8bb4d23a29
task007a,mmlu_pro:test:1860,anthropic_sonnet5,claude-sonnet-5,stronger,displayed_0.99,0.99,0.99,F,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",1194,18,0.002568,1e23024c36a337a3773dc8988b9806f3a52eb45b9b92f9086ebff2ef56c8afbc,verification:edb96a895185b4dbdadd70bc57b79473e4fa79b584a692150486f1e8349ea1f3
task007a,mmlu_pro:test:8317,openai_gpt56_sol,gpt-5.6-sol,moderate,hidden,,,J,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",266,14,0.001344,ef98a01169f8021ea5b74affba9d58369adfd89e14617ad6a3949983a66dc60d,verification:743a78a0d335a915721700e1eb930c13c4b4353cb1e5c7701dcb801e143d1320
task007a,mmlu_pro:test:8317,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.70,0.7,0.7,J,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",283,14,0.001412,04e297b49649e0ae490ce2c64067184734c6ae24b114c395bb5b16d363bf3316,verification:78efb5ee26c6773880a56fde8523c9edc1248553cb1f3b5e1080fcea390cd18a
task007a,mmlu_pro:test:8317,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.90,0.9,0.9,J,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",283,14,0.001412,ac248ca36ac264120976a253f04c51fd64f432070feb6be1efde08a7ac7585ca,verification:ece7abaf37cf9642e046cb6d679b6a9a2c9f35c1ec5debe18ede188054488f7d
task007a,mmlu_pro:test:8317,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.99,0.99,0.99,J,True,USE_UNVERIFIED,0,"{""action"":""USE_UNVERIFIED""}",283,16,0.001452,5d906e8ed1466504cbae6eec8f9cd773277ed1f807475c7d9d9032cdd140a6c8,verification:6c480f6ecd4f090d35ea03c64b3782bb5a96f22e1e09c6421f9e8c79784e126b
task007a,mmlu_pro:test:8317,openai_gpt56_sol,gpt-5.6-sol,stronger,hidden,,,J,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",267,14,0.001348,4e089f6d4fc6ec4c09e48c164fd8b74cf1cfc82c885241b4682908067a794033,verification:9c7cfb9194c6abc9be5e62a7c9fa2144eb6e05c0804ff60905d88e06762d6f71
task007a,mmlu_pro:test:8317,openai_gpt56_sol,gpt-5.6-sol,stronger,displayed_0.70,0.7,0.7,J,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",284,14,0.001416,dcc0cb8fb3ad80d30512d99d5279f22df8ba1c4c912ced06a7448b4dba55c80f,verification:b11512ed407cb6b23296a0ec15e28a369e2452e04b1bb618756e38aba541a0ec
task007a,mmlu_pro:test:8317,openai_gpt56_sol,gpt-5.6-sol,stronger,displayed_0.90,0.9,0.9,J,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",284,14,0.001416,87c5cd1fb844ca92b65f2aa68c9b14211b405d2582dc82f0975bfadd9e1a1e92,verification:04e557abbfdd7a04dc2e22f70684d88893e19201b367c364c4e15a0fa0384328
task007a,mmlu_pro:test:8317,openai_gpt56_sol,gpt-5.6-sol,stronger,displayed_0.99,0.99,0.99,J,True,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",284,14,0.001416,d2a3eea0a5d9fd6951dc6d05a8ea2aff55bde598945051b8d22c7ca01aad61d0,verification:520732b520eb9af1f5eecd36e33311e957337966fe46113d5f03cf2ea90010d8
task007a,mmlu_pro:test:8317,anthropic_sonnet5,claude-sonnet-5,moderate,hidden,,,B,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",599,18,0.001378,2831d37c3e7394ee5fa0c311ae2324a62fba62640acf75206b8fcbe7950e63db,verification:178c9036e6296829b0fb3fcdc33b64614a879af5c93ef59bb1e892cb11fdb72d
task007a,mmlu_pro:test:8317,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.70,0.7,0.7,B,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",627,18,0.001434,ec162ce07ece27317c4de1b84467974b32e323b7b1c3968e5ca6f5b12a0d1ad0,verification:8625a107663f3393641afdb3e8525880e2edc6344526b1e9b580526fffc032d7
task007a,mmlu_pro:test:8317,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.90,0.9,0.9,B,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",627,18,0.001434,2b8283cd3c0988838186fe8cef7df030699742e14dadfa8fe09e5341c9fb9148,verification:f5b321ba06cf9f72aa31d2c1ade091840bb2d79db6ea4431532fa9509c429bec
task007a,mmlu_pro:test:8317,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.99,0.99,0.99,B,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",627,22,0.001474,2836b709496295eeae1611cfa03cca500ff760a0a1d3534274270915623c8e59,verification:8f41398ca80a1891a1979f73189b2985d5eafd0f1b9ea44ce5ab5019a1687207
task007a,mmlu_pro:test:8317,anthropic_sonnet5,claude-sonnet-5,stronger,hidden,,,B,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",604,18,0.001388,1c2d6068adef0874c79728d9829a77fa356421c66d05ef058b1b23ab38823fc7,verification:7dbb7ecd49d0d000d0915064ae40853e5be3af1576fde432781ca3c86d5357d4
task007a,mmlu_pro:test:8317,anthropic_sonnet5,claude-sonnet-5,stronger,displayed_0.70,0.7,0.7,B,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",632,18,0.001444,3bac5cef53127181e52f795fa74e76c0d8d03e8fe50ced46753a4f5361b8b26e,verification:9e9383dabc07d828b5466a0a494d94a9aabefed810a8025cb883d88178d56eeb
task007a,mmlu_pro:test:8317,anthropic_sonnet5,claude-sonnet-5,stronger,displayed_0.90,0.9,0.9,B,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",632,18,0.001444,abb29c4761e4fe8344d430497ea77da5d17d26eae5b46878f13ba8fb93f7ebaf,verification:15ba51725b4f0d75985c5d8604f5b56febc9b3d3b41aeff5146e6af3f39b0a94
task007a,mmlu_pro:test:8317,anthropic_sonnet5,claude-sonnet-5,stronger,displayed_0.99,0.99,0.99,B,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",632,18,0.001444,a60e6b3c7c637f1a1a5122a52809eff96e20b2b27c9b0dea099c53321a89819c,verification:cd10f13a4be633694edd9220de17ac104ad3455499a4fd63e286df9b51e1bea3
task007a,mmlu_pro:test:10119,openai_gpt56_sol,gpt-5.6-sol,moderate,hidden,,,F,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",376,14,0.001784,85b26cddf5a0ecdb3d50946b4b3a83b73fb099c46f8c89dffa75ccd934b1d7af,verification:8fa7889b266aad44d5a9eb840d38175998239192bb90345cfc0274c558cc399b
task007a,mmlu_pro:test:10119,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.70,0.7,0.7,F,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",393,14,0.001852,92846af1cbdf074aa865ddce37f224311b4a72b08a29e7d3ce6f9959a818cc44,verification:9fe2b40d52a89eb19f397a51cc4941d3a536f91742c82cb9641c39a5b9280226
task007a,mmlu_pro:test:10119,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.90,0.9,0.9,F,False,USE_UNVERIFIED,0,"{""action"":""USE_UNVERIFIED""}",393,16,0.001892,8064743af046d7444eff6f53f2b88fab23b1706cd50df3262cebecdb809e41fa,verification:02fadd3f2fa2cc0c37e9325feaef023437d6ab4bbf19c1be7b72f10573f74f68
task007a,mmlu_pro:test:10119,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.99,0.99,0.99,F,False,USE_UNVERIFIED,0,"{""action"":""USE_UNVERIFIED""}",393,16,0.001892,82c83379baeffd27a9d95a4df86dab87c4b46f79a112677e7e95e0a6b26332e5,verification:da2418aec53132fcf60f06ca170a87680cb14c3dfeb59bd84c95e43d55763c05
task007a,mmlu_pro:test:10119,openai_gpt56_sol,gpt-5.6-sol,stronger,hidden,,,F,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",377,14,0.001788,21d5fc6f97cf954597697133e74fdf3d87bd725838f52aa89634093cac20391d,verification:b67bff88a31a3fb430f0594183280e119b622a4dcfe2f33c6e094a182e40d6c5
task007a,mmlu_pro:test:10119,openai_gpt56_sol,gpt-5.6-sol,stronger,displayed_0.70,0.7,0.7,F,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",394,14,0.001856,3400f0a9e0d23d99a223f2a3c2a46e0291d3c5b72644cbeba1fb2a962e55c3f8,verification:4a95ed45d6c39eee610849ed0981c1e83c71413bd1f13958f9c9f1be2d363814
task007a,mmlu_pro:test:10119,openai_gpt56_sol,gpt-5.6-sol,stronger,displayed_0.90,0.9,0.9,F,False,USE_UNVERIFIED,0,"{""action"":""USE_UNVERIFIED""}",394,16,0.001896,a2f3bae92cfb98dea7ca447d0686298ef37924500127c98476f3b6146dda69ed,verification:3c12c477949c22003a51089a150a7f56f0227725ef30e0134b7dcf305f4ebbb0
task007a,mmlu_pro:test:10119,openai_gpt56_sol,gpt-5.6-sol,stronger,displayed_0.99,0.99,0.99,F,False,USE_UNVERIFIED,0,"{""action"":""USE_UNVERIFIED""}",394,16,0.001896,da16a0980dd278cd8716d69f3a036f6e53577e0d414ea1f7b87e04f860ff3eb2,verification:a27ef306fb43bbe1d445bc1e3da3e921d904317e6dc059e858502cd12f368c6f
task007a,mmlu_pro:test:10119,anthropic_sonnet5,claude-sonnet-5,moderate,hidden,,,G,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",767,18,0.001714,74e36bab65509c364c67426593c6e0bbb33103ed54e205fb7ef5c3d1804e9fbc,verification:a818819d51468df986e5a3218f9cbbbf0faac482316d431307be5e8fa867962a
task007a,mmlu_pro:test:10119,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.70,0.7,0.7,G,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",795,18,0.00177,23e5d33d90010e40059c60f025a31007927fec2d2a825ebef92c80a15828b539,verification:f4258ad562f1aa2abe09c4e3ca3161394b4b4b4b4c8f029a96ca188266590997
task007a,mmlu_pro:test:10119,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.90,0.9,0.9,G,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",795,18,0.00177,363a7b8dc7199f7fbc3288c9e406a87539d4674e89c61a1ab17035a3852853bc,verification:a99ee68ee9ae010f3d8e02a99b62e3668bd46dd539fa47440a68a12068168239
task007a,mmlu_pro:test:10119,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.99,0.99,0.99,G,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",795,18,0.00177,618c1de446cfc8b2d700fb024e6eda28f3405ebfcb48764cbae11ee655be401c,verification:e4ec7cbc5e3f1f4e4631fe8c68633b4e0988a9146bcbfd97348dac639cdd2eb4
task007a,mmlu_pro:test:10119,anthropic_sonnet5,claude-sonnet-5,stronger,hidden,,,G,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",772,18,0.001724,69573b3a21ec02d5c4276fc74cfc7a30d677373eb3daf635f740b39708843c7e,verification:d510da9f469b9db26ccc0c249c28bfd6a93d0069c1f51d5a429cc18de5e9153b
task007a,mmlu_pro:test:10119,anthropic_sonnet5,claude-sonnet-5,stronger,displayed_0.70,0.7,0.7,G,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",800,18,0.00178,cc9bb7997dc50d4f104dbe8dbd1133be91c151b610c918735950a7e8eaf1f69e,verification:23938ddb8d40c3f7b3c3e1c058ab3ac1f50e2a8e15572d975909afe4943c795c
task007a,mmlu_pro:test:10119,anthropic_sonnet5,claude-sonnet-5,stronger,displayed_0.90,0.9,0.9,G,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",800,18,0.00178,dd7029ba003b34a915f00a20a84f40b04a5c8ab40a8d74e06dc4c1ed76f9bb34,verification:d401989b0513703e97f7fa5fb700aafc77cf87d1c9d963d39693b39fd41db990
task007a,mmlu_pro:test:10119,anthropic_sonnet5,claude-sonnet-5,stronger,displayed_0.99,0.99,0.99,G,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",800,18,0.00178,d7897b2f0aeed5c0d57968d4f230c8ff7b2670fe9fabd4598ac2d15b5223c48e,verification:69e2d03e3f880e78599cb1faebcfbe6f5607d28d50dc7126a37a68c10cc24128
task007a,mmlu_pro:test:11106,openai_gpt56_sol,gpt-5.6-sol,moderate,hidden,,,J,False,USE_UNVERIFIED,0,"{""action"":""USE_UNVERIFIED""}",275,16,0.00142,e6ab7a9f656d23c629988184050f62dfed58c5596464b909c25343ea60f5ca26,verification:60d54eeb3c3d8ea3a639948a213d0cee09c00e371369a9552991e1b8c37a9fab
task007a,mmlu_pro:test:11106,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.70,0.7,0.7,J,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",292,14,0.001448,6e2948a18ffe784586f7f11adf55bb01958de60900f35284dfed2ae86330a763,verification:541c2d3e6ca4169b8667d844959b5844ac95e8938d866ecc19f98ddec0312645
task007a,mmlu_pro:test:11106,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.90,0.9,0.9,J,False,USE_UNVERIFIED,0,"{""action"":""USE_UNVERIFIED""}",292,16,0.001488,56ca212aa238f0569a31ebcbfe9070fdfbd7c8a8bddb8e9b050060d1fb92f05b,verification:229e0a37b5c9502fe634816beb1b7042d06542795dc1d36acf2f7d8d92a1d6c7
task007a,mmlu_pro:test:11106,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.99,0.99,0.99,J,False,USE_UNVERIFIED,0,"{""action"":""USE_UNVERIFIED""}",292,16,0.001488,dbb57440a092347b12ddb11462a90f46b8404580cde82d843753f5679f819eb2,verification:3b15e35b2d46ed07874ad6d99a2da4910372609a00b9e3c46e6748e65d36a57f
task007a,mmlu_pro:test:11106,openai_gpt56_sol,gpt-5.6-sol,stronger,hidden,,,J,False,USE_UNVERIFIED,0,"{""action"":""USE_UNVERIFIED""}",276,16,0.001424,6ac3038393401b387465cd7aa9e7066fe2b766cf7749087b7c55c9f6fa6bbc55,verification:581ee1a1db125fea1bc8150ab0cc20671a2ce62780c3c6db46530df8c4fbb9be
task007a,mmlu_pro:test:11106,openai_gpt56_sol,gpt-5.6-sol,stronger,displayed_0.70,0.7,0.7,J,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",293,14,0.001452,22d0a51fc3617b47f2153009ff5a739a918dadd438055e51e334b38319037d5d,verification:a9907bb4f1f899f8fbecb4324b7a63520eced4f5158844a33021cc69a4c51ea5
task007a,mmlu_pro:test:11106,openai_gpt56_sol,gpt-5.6-sol,stronger,displayed_0.90,0.9,0.9,J,False,VERIFY_FIRST,1,"{""action"":""VERIFY_FIRST""}",293,14,0.001452,be352b9d6e25f829cd91d6f25dd7309c6a481fb70d369c4aa3b378df37665c43,verification:e69b63677571bdae7c1cc85b617c35b206d460bf7360368009a9884d1b3db0b8
