question_id,model_alias,probability_correct,input_tokens,output_tokens,estimated_cost_usd,request_key
3344,anthropic_sonnet5,0.2,1265,15,0.00268,confidence:b1ada2e9ec4e2c994d338970bd3915b3268b29d384ad383f0d05967d437e52ca
3261,openai_gpt56_sol,0.99,900,17,0.00394,confidence:6fa803a4dcedff6aca3ce01b81442d44622c68480b17fa50c95c16d80055c637
3224,anthropic_sonnet5,0.95,2304,13,0.004738,confidence:78744a9d97cf815c2d5554c24171b5cdbdf3ad99843b41188a7f5f64752ae064
1899_D,anthropic_sonnet5,0.85,1448,13,0.003026,confidence:ee86501304cb8d8e0a56658e56a9d4227aa022ff3ff8234c0059ed2940d82ed2
3243,openai_gpt56_sol,0.99,846,17,0.003724,confidence:aeae62a4dcd4d76f1164f82550196f7db6f80f58b2df88f14c5d47c50c6ff62a
3362,openai_gpt56_sol,0.998,828,17,0.003652,confidence:bd8267a63eba595f50e650a31f78c6fb4b5109f174192ba9d250c595ef3e60f4
3345,openai_gpt56_sol,0.99,803,17,0.003552,confidence:4d227d9afcc67fede9b1141c0edf37f4231bfe996b5a410aecca0c236a992f3d
3243,anthropic_sonnet5,0.75,1757,13,0.003644,confidence:ce100be00ef37cff557ea9f9336df485d414b840e3f43fbb840180930690bb65
3316,openai_gpt56_sol,0.99,853,17,0.003752,confidence:f0fc4edca471cd6997ba4f74fccc226ea9de7b3ed447c2d92cbc2e9b2f11f8b9
3382,openai_gpt56_sol,0.99,898,17,0.003932,confidence:2619b4d228ed14a9a2e668f6b6a855109f009f640111f91e0600010e0d6c7613
3313,openai_gpt56_sol,0.99,798,17,0.003532,confidence:227682fdffdfb66701fcbbfd8ef0e29db79081b75afded6e3390e80b6e7fd9f2
3327,openai_gpt56_sol,0.97,1379,17,0.005856,confidence:5740233ba74c5fb873015d745141116bdd5ffa37eff560c9bfc4826d278b4fbb
3382,anthropic_sonnet5,0.95,1264,13,0.002658,confidence:60c467b8aa603820501389a810531162bb597694a073a10f0991aed5f6dd9bd4
3362,anthropic_sonnet5,0.92,1299,13,0.002728,confidence:f74349744558ce71d2c8c0f574fd6b2f851fbee4af7840ff2bd5178902dc4635
3414,openai_gpt56_sol,0.998,819,17,0.003616,confidence:51096a6c672443a4b0872c7c1ef3423e7e6aa2339a2715c8cf10e79bf7e1bd1a
3402,openai_gpt56_sol,0.99,1057,17,0.004568,confidence:f8b5076a56b2cacba9c4c8cd849cf1c6fbe1da1b26fb2805faa132b6846d53c9
3454,openai_gpt56_sol,0.99,568,17,0.002612,confidence:43b4312d6a3fde87232a1911aaa8ee551aba8dccc198645f7be89b83026db762
3364,openai_gpt56_sol,0.99,1042,17,0.004508,confidence:9b8b5b74f7f7da7ffd84d5d106e7f30165e2f7dddcc8fe43e1d5d74e70220158
3344,openai_gpt56_sol,0.99,892,17,0.003908,confidence:18a55aa7a2a34c11a33bc8d60a5674af484484cb8fe06c8b3b93610cf9259828
1899_B,anthropic_sonnet5,0.25,1715,13,0.00356,confidence:fdf72e5980b91f66616155a7435e1d00ecd44b4bbbd6ccdb89fe38ccd611ad16
3439,openai_gpt56_sol,0.998,877,17,0.003848,confidence:9923ce67820e1c631a3bec1ca17bf1fe8c82a525012fb945474c3df4516612f0
3438,openai_gpt56_sol,0.99,1022,17,0.004428,confidence:e08020968d104cd9eaeeedb3df106b4fbb31618e0a23b05bb72e2ddf552a2073
3203,openai_gpt56_sol,0.99,1845,17,0.00772,confidence:d3f0bf09506148fad0a79925edb61ecb01879cc3169d66098bc8e153757f2051
2952,anthropic_sonnet5,0.92,1206,13,0.002542,confidence:1e65b4c3d35c52acd198745f4217bb9e6053f9bffc992dbcc5aa53f29dc20bc5
3460,openai_gpt56_sol,0.99,950,17,0.00414,confidence:b1c2bef99bb42994614e31a423b0f2d1ced26b63235c26c8dbad9332009cba9f
3423,openai_gpt56_sol,0.99,952,17,0.004148,confidence:d8f84da1e5a5b31b79df0a89d82fe0f281aef3047fb2689ab30611898a637548
3203,anthropic_sonnet5,0.05,2845,17,0.00586,confidence:425da59407ddc820887eef4ba0e08642a658ad4e704f789156574793c389dd2a
3548,openai_gpt56_sol,0.99,686,17,0.003084,confidence:ffa2f692371b6a93ce621357f8bdb04a1ac4b66b0f993c97c9114e12d55d5a66
3531,openai_gpt56_sol,0.99,906,17,0.003964,confidence:c5ebd2670d7b5416ad633a1970cd428dc3c01153ea728c6616fc09c6b89706ef
3535,openai_gpt56_sol,0.99,659,17,0.002976,confidence:6c5904564c906b161b0be735f3613eed0bbcbe072305d38bd9cb61a56a81fd90
3550,openai_gpt56_sol,0.99,761,17,0.003384,confidence:f3747a3dcefd769e16e24862a2f1a5ed8995745a01e99b4e799781623cfc83ee
3261,anthropic_sonnet5,0.6,1474,15,0.003098,confidence:646b89c33102dbd229a6152dcc0942759165762ba4b568077814f965ef21b2a0
3211,anthropic_sonnet5,0.2,1792,13,0.003714,confidence:b97f696c2d5560aaf7e14093872d65c99a27c9852976373fd42eb2e1d29604fb
3478,openai_gpt56_sol,0.97,1004,17,0.004356,confidence:7350f831a1d74cd659968dc38a5e63372b97c1159a4c3f830cdf98111fdb5dbc
3532,openai_gpt56_sol,0.99,986,17,0.004284,confidence:05f35838b0133774768f9699e301f405eeb1f7b0a13d37820b83e63c8e42c164
3313,anthropic_sonnet5,0.85,1391,13,0.002912,confidence:c724582dc0dff20304e26f8c1d50ab53a6eb1eed6a22dee78783830958b54ef7
3482,openai_gpt56_sol,0.98,992,17,0.004308,confidence:689362e454ff5be266d77aaa890ebff51da5dda8a62f7a42208b6a5b4fee175b
3551,openai_gpt56_sol,0.99,1015,17,0.0044,confidence:9a916c1aac43aab764048797923968740a1287e9490c55cc5bf37da17339fa75
3439,anthropic_sonnet5,0.95,1427,13,0.002984,confidence:89aa3cf6a79faf5495e64cfde4156697f1f9623b0909b99d9df8a1b989636bb8
3454,anthropic_sonnet5,0.9,933,13,0.001996,confidence:59c6a61ff1690c6ce2d01a621c70eec3f888c2b4f081976fff1466eb3b4f575e
3563,openai_gpt56_sol,0.99,516,17,0.002404,confidence:eae139404c284e274cf8222980dd43fa04612fc22510f44b6f0bc72d0d3e609e
3345,anthropic_sonnet5,0.9,1339,13,0.002808,confidence:76b9c58822b64b5fd74bb35c325434bd0f25463d5dc232382e519f0560d32750
3552,openai_gpt56_sol,0.99,745,17,0.00332,confidence:fee56c03c1e522b828f2788766430f7dd8f6fe1ba372dd1afa4e8633fa732277
3562,openai_gpt56_sol,0.99,1001,17,0.004344,confidence:3b2bd5e2396edd295da5fe846df39956a8f9e71d4c3681d54bab8de15713b923
3460,anthropic_sonnet5,0.92,1575,13,0.00328,confidence:8395937093aa781cde4f9d9bde7e4a65f41187ecb351d4a70e0e5fa130305560
3316,anthropic_sonnet5,0.05,1312,13,0.002754,confidence:49031a7154072fb882e8e0062a71e1621ad08562a7013320318deb0731f8989d
3571,openai_gpt56_sol,0.99,706,17,0.003164,confidence:9e257a6c4428d964e2369ba90b5a34ed4027904ada6b2be6914bddf53ce5a7f3
3364,anthropic_sonnet5,0.2,1530,13,0.00319,confidence:2263f8de65b65ad792f7040cd25f43fffc18cc6cdb185af26768c13a8d7c3e2d
3527,openai_gpt56_sol,0.98,1748,17,0.007332,confidence:5036ffbc783c338fdb664d7934810ca3c985a197383cf2a4a5f9d6ec034f2f0e
3580,openai_gpt56_sol,0.99,738,17,0.003292,confidence:e28964a57285734202b801739782e215cfa724ab1a5740ead333f3304afd1f97
3604,openai_gpt56_sol,0.99,696,17,0.003124,confidence:9162131f5321e74869eecc5e29b91658863f7d5b3b0c62c01123178e08b4ced0
3583,openai_gpt56_sol,0.99,842,17,0.003708,confidence:943148b140de45af026895c95e006c326b73a11644f50c570a7c43343c97cae8
3531,anthropic_sonnet5,0.9,1303,13,0.002736,confidence:39f2ae1dd620e40e8d34f3fb92fca957efe8cf467cca608a1d9b76ca527cb25f
3402,anthropic_sonnet5,0.05,1761,13,0.003652,confidence:739fdc6bc6cd4a6d2bb8712329489a738eee6a5c1aa2b7d9f9cb033e81e31ab6
3414,anthropic_sonnet5,0.2,1321,16,0.002802,confidence:736d7038d83bc4ee040fc1359647ddcf6b8df3d14edca676dc42a2daad0dd56e
3560,openai_gpt56_sol,0.99,1360,17,0.00578,confidence:0a5e612c609d716b4f50a22bd341e26b75987c5df4508ebc459ed147588d0467
3608,openai_gpt56_sol,0.99,943,17,0.004112,confidence:1620b1130326cf388dfed9c22243dfe3e233b1937ba7213acb0101530f6601ba
3588,openai_gpt56_sol,0.99,1095,17,0.00472,confidence:8cb27dc0396ca50f89624798274aff2b2f2113aef2a35abc22d706de0e989123
3575,openai_gpt56_sol,0.99,733,17,0.003272,confidence:045eaccc0ebb55d382f18cb03b21d678caf45a91a27e5145f50e1a489a43aff2
3327,anthropic_sonnet5,0.25,2401,13,0.004932,confidence:58ffb573d26b34746bc68e594a86bba8685dc1210bc37f791412c6a0b8909056
3603,openai_gpt56_sol,0.99,1038,17,0.004492,confidence:7e9037b6f7666be5b2de61dcf6377d4c43367748d41f85c0ad97a10738b525e5
3674,openai_gpt56_sol,0.98,817,17,0.003608,confidence:13b8c0ff425ddd6bb57177b33d2fb909bd02b85c36933688157bbf3f85538c91
3423,anthropic_sonnet5,0.65,1761,13,0.003652,confidence:fafc801d1398109237e4929eb1b9fb1748cb44762fa74df406cbf7c5143ce082
3637,openai_gpt56_sol,0.99,944,17,0.004116,confidence:3e97740d164396dc196fc0afd83d025ad16e669b9eeafc01729da82d476d4e6e
3482,anthropic_sonnet5,0.65,1277,13,0.002684,confidence:a420f51b8627783265cc0c5db8dde2e7c20f417dc7850cb4053901b35311dfdc
3682,openai_gpt56_sol,0.999,765,17,0.0034,confidence:df7206d8b96e6be9e16d81516b6584474ea09f156b04edd0533f1cdbcf554464
3638,openai_gpt56_sol,0.03,726,17,0.003244,confidence:4e268426c10a73d6665a9ad0d4f4e023a688102352061116863e0de02b9d00e1
3648,openai_gpt56_sol,0.99,1300,17,0.00554,confidence:92c9475d1a5f4ae91930ff563d1e92bfcbdd67517f5612a2f472cb0beaa11bbd
3646,openai_gpt56_sol,0.99,591,17,0.002704,confidence:e1769de8e69ed887a625d7a70462663eab4ea042eaef485796009e27f06132c7
3675,openai_gpt56_sol,0.99,870,17,0.00382,confidence:49573f1833bc398c82937460310fd88ae70e5511850ca239b8d8bdb48a912142
3438,anthropic_sonnet5,0.9,1582,13,0.003294,confidence:2515ee46d3f9a5c53776905f2e42854bf062026e4d89915c18a1d38cd858f7aa
3688,openai_gpt56_sol,0.01,732,17,0.003268,confidence:efc1fc5f30c9b90d4f34e8417ab596eeabd977fb8b1a417938d06cb5be677fb1
3680,openai_gpt56_sol,0.98,821,17,0.003624,confidence:7f22b017df3b46bb06c27df8880f8251453bdf3f25cf654d3c29a782f2557b44
3658,openai_gpt56_sol,0.02,1076,17,0.004644,confidence:774c458de5c12fdbff908d6bf5a00e015f4f43a3191398cc914a9205008ef04d
3692,openai_gpt56_sol,0.99,715,17,0.0032,confidence:c0f0f3fff3186d7afb7cc67edb59893ae21fe66778bf7a19a5a19c139963e473
3696,openai_gpt56_sol,0.99,592,17,0.002708,confidence:a886c04bcb780b45b6d962dea87eff52348bb6d813fccf0361f148127d258b70
3563,anthropic_sonnet5,0.95,951,13,0.002032,confidence:8b342feda630d64d5cd875dee23797c0682cc97b85bdc9f428f4fa55046112f9
3631,openai_gpt56_sol,0.99,840,17,0.0037,confidence:b481d8d00078693ea2527f718b5f25d25cb680b6f10eca6686355f1502f7103b
3690,openai_gpt56_sol,0.99,651,17,0.002944,confidence:fb82548d90118a967473d85c01f8677197a502b00cdf6bda1f379bcdfbc177c5
3551,anthropic_sonnet5,0.2,1462,13,0.003054,confidence:699e8d57164a7c4bd3f4761da5fe61cd5a44c2af1f05775449204c289505588e
3550,anthropic_sonnet5,0.6,1177,16,0.002514,confidence:b1e80eb966ef22e9c4235a93291537a52cafb56802b5ed0024fd0c00598079f1
3535,anthropic_sonnet5,0.9,1142,13,0.002414,confidence:947dd5514f2f091c353ac2bf58ac00e00304e1bd219e3f6a0d4999d1641c088b
3744,openai_gpt56_sol,0.99,810,17,0.00358,confidence:9fe0c1d4b7df07a5429577c63036cc7db50af1ca364542386a88cd6bf064fa01
3548,anthropic_sonnet5,0.85,1210,13,0.00255,confidence:244f132ed951cca7eadef62839c171a7abbcdcf50c9158346e4ef165bbf22519
3478,anthropic_sonnet5,0.15,2042,13,0.004214,confidence:08e9896967a730d53b069134cb2c5722430ad3e891cc585ed01f8a5fb71492d6
3560,anthropic_sonnet5,0.9,2103,13,0.004336,confidence:971c2f96adb6883346c9aacce5dd99a976f509d2002e52e842e96fb7063d56d7
3762,openai_gpt56_sol,0.99,795,17,0.00352,confidence:890ac00071b6e48232b58879c367eb65d45ddf74fbc3150c8915463ed1f4830d
3687,openai_gpt56_sol,0.99,994,17,0.004316,confidence:a3644196bf4f07aad14fd3c4ee78f170f20aea79a8f417c04d4bc87362881dc8
3532,anthropic_sonnet5,0.1,1904,13,0.003938,confidence:6523db2331b87fe6c20006e4a20a804a9abceae0f704b7cad05c253d4e87a3cb
3697,openai_gpt56_sol,0.99,779,17,0.003456,confidence:01fb3e1f9a27b501d3dd588e9c13f825f3db8cc056222e34dcaa8eddeab6d3ba
3739,openai_gpt56_sol,0.99,834,17,0.003676,confidence:3f04c1a5fde54245631cbf9a0b860584ede918e111458e401f5db415cb2ee0d9
3725,openai_gpt56_sol,0.99,865,17,0.0038,confidence:e2024be6b0730bca3987e62194d2b158c66452a95d222ddde0996348c9739b80
3552,anthropic_sonnet5,0.85,1544,13,0.003218,confidence:c7c238b1bbde26a8ab46388c83499b6f0631047a73191628c53d0ca9589f58d1
3777,openai_gpt56_sol,0.99,884,17,0.003876,confidence:2f6e5865fabeec64af60b214a5953dc21ce64c15a6167461d007e5deec9fd3a5
3733,openai_gpt56_sol,0.98,1334,17,0.005676,confidence:6d6c7178db3ba934f0dbf1d44305ef86ba0b46278b2240a2f6ea086a80d38759
3575,anthropic_sonnet5,0.85,1262,13,0.002654,confidence:c517a7517e8f0ce7ee39ad3db4cce22c0ba302751927d57214b45e4d54a77ffe
3765,openai_gpt56_sol,0.99,925,17,0.00404,confidence:2bc46d3297adad25e74188ffdd9f7bfa5a0a22b1abbb6ef3fec6cfca512a1d0d
3789,openai_gpt56_sol,0.99,887,17,0.003888,confidence:c22b6dcd2766f53cb0bd9b95c6ed9939b31bb5c6dd36d189dbbfa80621e1eb5a
3700,openai_gpt56_sol,0.99,1149,17,0.004936,confidence:02b7540ab1c5236487c62659f58c4a88ea5c70aee4a094a3ec44ed17f5597d6f
3717,openai_gpt56_sol,0.01,1492,17,0.006308,confidence:e9e52fc3d66a756b592f1d32dedb73b38f4051d5b6843e50dd405e945457432a
3562,anthropic_sonnet5,0.25,1604,15,0.003358,confidence:b00c9e4fdcfbf2c7b25840714c56353f744cb41ab981fd265e91988a50432d91
3781,openai_gpt56_sol,0.98,1117,17,0.004808,confidence:0056181327b82252728fd83da0906a82d18fecb9eaf3ccacb26512d0174ba383
3784,openai_gpt56_sol,0.99,1129,17,0.004856,confidence:84de7bca88f175894baef01c61e3fc9b5ab9b4cc89fb3f30503abd9733edffaf
3527,anthropic_sonnet5,0.75,3099,13,0.006328,confidence:8470e02253ae8452b94611bc09e90f8e158fe70adc9adc571c140f11685dba2c
3701,openai_gpt56_sol,0.18,1358,17,0.005772,confidence:19933be7ae6cc5c989b2c9f431d2c4e8617d11d3cfd0a52d259f9d1725440250
3580,anthropic_sonnet5,0.9,1460,13,0.00305,confidence:8da46c87b9ffeb60bd74cdc13d4adfc1247d011d5c55b62e77f291479b0750d0
3604,anthropic_sonnet5,0.9,1299,13,0.002728,confidence:05554671ca2422f78e9915b6c0ed411840c1b78b6f743fbcdbf34eb2497186d1
3783,openai_gpt56_sol,0.99,1109,17,0.004776,confidence:1e338ca87174152e8313a6177432caa8429b789dca7eab00c984668e03406485
abc302_e,openai_gpt56_sol,0.99,938,17,0.004092,confidence:458bc40133b23e85d5edab209bcb1cae542c7ec0f57375619f2b88b0bc2f51a7
abc305_e,openai_gpt56_sol,0.998,1163,17,0.004992,confidence:1e4661f10f138bee54ea887a43d2b71151e8958cd2d361f4e9133519a89cc7c1
abc302_f,openai_gpt56_sol,0.99,1062,17,0.004588,confidence:6a4a0465c0fba39a7c78b2c9adab5014f2396c2234b62a8b24d46eef0d0f50ed
3571,anthropic_sonnet5,0.9,1256,13,0.002642,confidence:90ce8e575eff136cfb4d056ee99d82468284dba4f968373b4a32bbd3b9f5990f
abc309_e,openai_gpt56_sol,0.99,826,17,0.003644,confidence:b01db65231ce20262609ff234d46d03f2adcd90e9ea9e085bbdc25487f4d3b94
abc310_e,openai_gpt56_sol,0.998,1073,17,0.004632,confidence:5e229c71a8c42e93e1dcdc5d4791d7d7fff62c693b4020abc1ea69b2bf8f66c2
3801,openai_gpt56_sol,0.98,666,17,0.003004,confidence:ed76ecb1b30a90ccadad874057f7610c0cf6f6b192be670573734c9fab4f9246
3770,openai_gpt56_sol,0.03,1203,17,0.005152,confidence:cda7c19a26171f198f6be415e7dc0d065b853a3c8ebef75bc502579ccf4f3ad0
abc304_e,openai_gpt56_sol,0.99,1281,17,0.005464,confidence:c4d7c37e3aeffb6f31c21d78b35bf1e4c0ee2cab55dc0358de18f805e0bf5c07
abc308_f,openai_gpt56_sol,0.99,707,17,0.003168,confidence:a63687ec4e5eebb2ab20e86eecfb13ff582cd42345dd12023f41aa438e84b228
3608,anthropic_sonnet5,0.03,1353,20,0.002906,confidence:d0503bae479a2ddeb1c0c6171595cef33d0ebb62369e3c862238d5bf22af76e0
abc301_e,openai_gpt56_sol,0.97,1627,17,0.006848,confidence:b1e8b6fedabd8e8f376204b17cf30194a0df4dc352b206725f0b98abd0d357ec
3603,anthropic_sonnet5,0.85,2007,13,0.004144,confidence:97510e47a680fba1306e16beb5b5418b0e9c65ad4f200ab695308ff08a8c1caa
3588,anthropic_sonnet5,0.55,1833,13,0.003796,confidence:5ba34eb3a9e04d148bd6044faf3df1490fba83ef6490e24945a145d9fb55b29c
3583,anthropic_sonnet5,0.2,1411,15,0.002972,confidence:22a6426cb104cf9e280ee30084a6d8ed7980a984a9a58923882ae212731f577a
abc318_e,openai_gpt56_sol,0.99,614,17,0.002796,confidence:15d24430f5807a1a47dcbe14bfb1a2b265fd2c4c2cc1cfaa01bea34884811ab7
abc312_f,openai_gpt56_sol,0.99,946,17,0.004124,confidence:1cebb148a7cdb0ce670dd3ec419d5cab719762a9adbda11e629da8a442eeb9ed
abc323_d,openai_gpt56_sol,0.99,792,17,0.003508,confidence:2ab2658e952221eb99bf1336d39c95ef4d10d8257a990fca0f77b3190254147b
3682,anthropic_sonnet5,0.93,1069,13,0.002268,confidence:871b354b10d821940c49b614ab421d6da6d36ea02f9e8a77498ddc43139c1c3b
abc319_e,openai_gpt56_sol,0.999,1123,17,0.004832,confidence:ce6086157e7d458a61eed36e2333377b7c15e7bd258aca3acac74f0a23ce9780
abc306_e,openai_gpt56_sol,0.998,1357,17,0.005768,confidence:e38a3ac3e00d2eea6df5be9db8ef55cec02b820e62c2141285e10a99c89d0a7a
abc314_e,openai_gpt56_sol,0.995,1768,17,0.007412,confidence:7235a88d9814ede0e861ce3afa5fdd2601e3f83e545cfe256908866e8a8d6325
abc315_f,openai_gpt56_sol,0.99,1037,17,0.004488,confidence:d8bc111504d938920718aa6786e9a35286f9cb8a60f74027ac0bd592df6edb21
3631,anthropic_sonnet5,0.65,2282,13,0.004694,confidence:a8b92eb450f3e428c20f1ab36d5d9f70945a91481db64c007e5de6ea7522ef05
abc322_e,openai_gpt56_sol,0.998,936,17,0.004084,confidence:00ba74c90eb735b9bc831e4525220d55763cd2fe97d452022e3f53ad3f25adf6
abc324_e,openai_gpt56_sol,0.99,797,17,0.003528,confidence:8ecbbeed5ec4d1ed6623ecf79fc3a746301e7b010f83ca58f46a70b6d7e85e32
abc312_e,openai_gpt56_sol,0.99,1342,17,0.005708,confidence:24ad1469dadcc360466a8b6c8241f02afed4b8448f464655fc42bfa6ff8c3e55
abc325_d,openai_gpt56_sol,0.99,836,17,0.003684,confidence:9c45a15950bd457ece2ccbc5f57b6eb6b987bc6649306c35e68c010a95c739d9
abc324_d,openai_gpt56_sol,0.99,830,17,0.00366,confidence:000b2e9d6c98c52340f733d3705261ff781d0e19fea358f1da66c4ec93e497f2
3646,anthropic_sonnet5,0.92,967,13,0.002064,confidence:b5e0638738a1ba6869d2fd48119c2dbf81bd7352cbf5637b25a08ad7ec4d1ef2
abc310_f,openai_gpt56_sol,0.99,993,17,0.004312,confidence:97ed7769170ef6fcc0326a60e3a6c07c9a17da4e4a3f2fefb35a5392315944ac
abc328_d,openai_gpt56_sol,0.99,535,17,0.00248,confidence:a48c30934fc13a7fc0d7d8eaef1c9b418d82f9737fed61b7bfad12c157057c25
3637,anthropic_sonnet5,0.9,1626,13,0.003382,confidence:8738e159ff822253b09b78455acec7979dfaa12ff7ac36d1e364a7a7873d3b1b
abc325_e,openai_gpt56_sol,0.99,1034,17,0.004476,confidence:701b78b6d9b7f9264eebd53e4bbca2b61c238e624e7e0103853cc00e2dbb903c
abc330_e,openai_gpt56_sol,0.99,989,17,0.004296,confidence:5f14cf558d2be95ff31185974956cce7d79a968f9e2694a9a75b19d81b31e9ab
abc328_e,openai_gpt56_sol,0.99,1185,17,0.00508,confidence:e0a8d98a3a122bf26eb5073e0631175fb39f0ae304fd85f1023a71b22f86caba
abc332_d,openai_gpt56_sol,0.99,1558,17,0.006572,confidence:ee5f23fc0fc47c56caa55291cd91390e8d01e973c018a139a3c46c220d50f74b
abc327_e,openai_gpt56_sol,0.998,780,17,0.00346,confidence:5d3cc68dbfb8267d897baee584ec3cf16d35e5e72a54b40be2bcca1e36823568
abc324_f,openai_gpt56_sol,0.99,1152,17,0.004948,confidence:dc911a1541fd03d30fb5ad521ad98a0f2e4d78989636baba772a2730d3389521
3648,anthropic_sonnet5,0.5,2207,13,0.004544,confidence:01a2fc1eefd424a854fe0e0701447c610fd1dad16f36668fd1436ea19a3b89fb
abc325_f,openai_gpt56_sol,0.99,1066,17,0.004604,confidence:85b91dcd8cc05f2aba6f5d00b32b76f8c53468729628a06f91a74953a51e632d
3675,anthropic_sonnet5,0.85,1471,13,0.003072,confidence:2aa6da3a0cb75d440d80d59fac9de8d9f129fb4eb1e96015dd086ad028457a58
abc347_e,openai_gpt56_sol,0.99,847,17,0.003728,confidence:c8d054db0c596d2499a710e1ee20c9a253299b34dd30da4738969ea36760720f
abc341_f,openai_gpt56_sol,0.99,1306,17,0.005564,confidence:9633c29dae92778e616702d5556ccd995afe6faf03a4904e094517fb2c93cc50
abc349_d,openai_gpt56_sol,0.99,1085,17,0.00468,confidence:f67c6ba5d207e0b29c45d47dcdec1268bb37ac39069aeb4b936105bca4805d73
abc334_e,openai_gpt56_sol,0.99,1389,17,0.005896,confidence:56b09fc5204ba55cf6a77b2648483b9a04c7224377a884205e7ac58ff838ccfc
3680,anthropic_sonnet5,0.93,1040,13,0.00221,confidence:e5f7ed9f5dc6eac4109fc7ee1b886565f571b714919103524b7b226251c003c0
abc344_d,openai_gpt56_sol,0.99,881,17,0.003864,confidence:fdc9d8ebc65f3b06e4d9a69cabc1a9e9b387b313be56f7e6f1b945af707425d4
abc342_e,openai_gpt56_sol,0.99,1983,17,0.008272,confidence:e9a675e6762e4eedbdb1f30e7f26763ea6d67e4ef0636802078840961634219a
abc340_e,openai_gpt56_sol,0.99,983,17,0.004272,confidence:0cd7841dfcb1de952ed2a38468fbc0a24c78aa8185e05493dd9ff215766692d2
3674,anthropic_sonnet5,0.1,1241,13,0.002612,confidence:ba749727503a3b88d1f8fd4b992782d451d5b1098303ab135b176b6afdd09a20
abc345_d,openai_gpt56_sol,0.99,862,17,0.003788,confidence:478466f855780078db06c084b36c662261f57a4a0c949d892a2618669fffee85
3658,anthropic_sonnet5,0.1,1113,22,0.002446,confidence:fcfb8b3f90424ce193c23a3c9abb72a1c8b57fb865c64395426dc7e2f662d337
abc350_e,openai_gpt56_sol,0.995,913,17,0.003992,confidence:ea55d51393ed7dbb5e8444a85da690644e7add61c8bb4641106ab7fc283732a6
abc348_d,openai_gpt56_sol,0.99,1318,17,0.005612,confidence:795c93bfcace7d4e86a4592c88f476803dc69ec541f911f6872d145b7bc6a556
abc351_f,openai_gpt56_sol,0.998,714,17,0.003196,confidence:7ece36b38b8b808c6292cbccdcb5ac9c661b7aa0edcd307277bb61ed2edb4ab4
