question_id,model_alias,model_label,L,displayed_values,actions,n_transitions,reverse_use_to_verify,perfectly_non_increasing,single_threshold_shape,pattern,stage1_correct
mmlu_pro:test:10842,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,True
mmlu_pro:test:10842,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:10842,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:11038,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,False
mmlu_pro:test:11038,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,False
mmlu_pro:test:11038,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,False
mmlu_pro:test:11038,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,False
mmlu_pro:test:11106,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,False
mmlu_pro:test:11106,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,False
mmlu_pro:test:11106,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,False
mmlu_pro:test:11106,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,False
mmlu_pro:test:11138,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",0,False,True,True,UUUUU,False
mmlu_pro:test:11138,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VUUUU,False
mmlu_pro:test:11138,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,False
mmlu_pro:test:11138,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,False
mmlu_pro:test:11183,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED""]",1,False,True,True,VVVVU,True
mmlu_pro:test:11183,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED""]",1,False,True,True,VVVVU,True
mmlu_pro:test:11183,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:11183,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:11201,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED""]",1,False,True,True,VVVVU,True
mmlu_pro:test:11201,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,True
mmlu_pro:test:11201,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:11201,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:11327,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,False
mmlu_pro:test:11327,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,False
mmlu_pro:test:11327,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:11327,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:11444,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,True
mmlu_pro:test:11444,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,True
mmlu_pro:test:11444,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,False
mmlu_pro:test:11444,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVUUU,False
mmlu_pro:test:115,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,True
mmlu_pro:test:115,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,True
mmlu_pro:test:115,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:115,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,True
mmlu_pro:test:11701,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,False
mmlu_pro:test:11701,anthropic_sonnet5,Claude,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,False
mmlu_pro:test:11701,openai_gpt56_sol,GPT,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,False
mmlu_pro:test:11701,openai_gpt56_sol,GPT,20.0,"[0.9, 0.93, 0.94, 0.96, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""USE_UNVERIFIED"", ""USE_UNVERIFIED""]",1,False,True,True,VVVUU,False
mmlu_pro:test:11774,anthropic_sonnet5,Claude,10.0,"[0.8, 0.88, 0.89, 0.91, 0.99]","[""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST"", ""VERIFY_FIRST""]",0,False,True,True,VVVVV,False
