question_id,model_alias,model_endpoint,frozen_answer,q1,stage1_correct,prompt_hash,request_key,prompt_version
mmlu_pro:test:162,openai_gpt56_sol,gpt-5.6-sol,G,0.99,True,e6bca4cb7450e3ff781e3d67fb6dc915a0bceea9cef2ea2bad6d7b1731ae15d4,confidence:075527646bce4219c6d9634315ae08801a394bcf15b51ec4f0b3b25de13d58ca,stage_2_confidence_v3_structured_compat
mmlu_pro:test:162,anthropic_sonnet5,claude-sonnet-5,G,0.6,True,e6bca4cb7450e3ff781e3d67fb6dc915a0bceea9cef2ea2bad6d7b1731ae15d4,confidence:f4b1eea01dfedc599fd4803c4810e34efdeaa4d47c98cb391214b8f7b9530af1,stage_2_confidence_v3_structured_compat
mmlu_pro:test:178,openai_gpt56_sol,gpt-5.6-sol,C,0.02,True,ba3c314532dc122c567d7fdd274f702aedb345de2ca3ad399984b175141189f1,confidence:e8c9257c1045e18641d0ad4e1a3eea8efd9fb65f263bcf02270f5214b808f416,stage_2_confidence_v3_structured_compat
mmlu_pro:test:178,anthropic_sonnet5,claude-sonnet-5,G,0.65,False,53c629df0a7d2061cf66f34a3964188976e43b30fe0ea0ff280e679f0946a519,confidence:aabbdb8bda546a04b59a98f79e31be8415653fb796797643992ee6151f67981f,stage_2_confidence_v3_structured_compat
mmlu_pro:test:186,openai_gpt56_sol,gpt-5.6-sol,D,0.99,True,b1c7fc8de3d0839afd92a8fba66aa3d4f096309167c2ec3531c07f7683c78d17,confidence:638f7de36fd5ca20e2023885bc9d0bf3cd470929a3ff10ec2bc0d3b37962dafe,stage_2_confidence_v3_structured_compat
mmlu_pro:test:186,anthropic_sonnet5,claude-sonnet-5,G,0.6,False,94a585169f1568cfdc1576c37c5afb882944ec016450af5dd7ac673a8a43cef7,confidence:01a7d0f8b8af807ec8998422df7466131098c4fe3e98a50268d7d455886ef844,stage_2_confidence_v3_structured_compat
mmlu_pro:test:253,openai_gpt56_sol,gpt-5.6-sol,J,0.99,True,fc56cb737de00e47854cf0816b5b245180288c8d8327dc4549a0ab09919bc8b9,confidence:88f7f9476ecd1fbf2dc590642253c522e5cd169aaa56a265aca2f1966edea04c,stage_2_confidence_v3_structured_compat
mmlu_pro:test:253,anthropic_sonnet5,claude-sonnet-5,J,0.6,True,fc56cb737de00e47854cf0816b5b245180288c8d8327dc4549a0ab09919bc8b9,confidence:ddaf29717d4c14eb4d2147d466144b259f1592ddeca8abb08cfc8c0f6ad4ce38,stage_2_confidence_v3_structured_compat
mmlu_pro:test:261,openai_gpt56_sol,gpt-5.6-sol,J,0.99,True,549cc40eb0ab682e03651d4d7c5577342291bdccc2b72c8ffbaaeb3c2fef9336,confidence:8b18f1a820512792beb7227d048a82d5853908f432a587ee55347ffea3054c0e,stage_2_confidence_v3_structured_compat
mmlu_pro:test:261,anthropic_sonnet5,claude-sonnet-5,J,0.72,True,549cc40eb0ab682e03651d4d7c5577342291bdccc2b72c8ffbaaeb3c2fef9336,confidence:938a4c4a3c5bf55a4c95d9fff8c9820bc644374e10645feeb0ff424f72ef743b,stage_2_confidence_v3_structured_compat
mmlu_pro:test:316,openai_gpt56_sol,gpt-5.6-sol,H,0.88,True,dd16c0929e75a72d8718a197d5f075fa8fe6b7ead8706b5ead00eaedeb18de54,confidence:e1847cf45032268efc63e9824c5bad5a68da66081eb1aa2712c3d02f1924bb66,stage_2_confidence_v3_structured_compat
mmlu_pro:test:316,anthropic_sonnet5,claude-sonnet-5,H,0.55,True,dd16c0929e75a72d8718a197d5f075fa8fe6b7ead8706b5ead00eaedeb18de54,confidence:908424ea0f1dc69e5e1d428b763387a15c596ca7105c48751c2babc0692e6aca,stage_2_confidence_v3_structured_compat
mmlu_pro:test:365,openai_gpt56_sol,gpt-5.6-sol,H,0.99,True,555b5d43604c97a4a336033c70e6bbcda6911fce8b442cfdcf1d90e1a72ea861,confidence:b058952a453d1e855ab5854a25cbb8da0bec85e2c5f85804798d7eec9d72f22d,stage_2_confidence_v3_structured_compat
mmlu_pro:test:365,anthropic_sonnet5,claude-sonnet-5,H,0.6,True,555b5d43604c97a4a336033c70e6bbcda6911fce8b442cfdcf1d90e1a72ea861,confidence:8c45978eb1b0ce7e87c3f2f53c883eba9ab1cd6e8e2113c0c14974a779c165b8,stage_2_confidence_v3_structured_compat
mmlu_pro:test:391,openai_gpt56_sol,gpt-5.6-sol,D,0.999,True,e3786fcb3f5cb1a2134bcf9119b25309ecb7648b7e20019a5a58d84ceba8623d,confidence:48cd8e47daf103b08319cff56f11c812b544cf8629c78c1d0b0f45d6b72ba0a6,stage_2_confidence_v3_structured_compat
mmlu_pro:test:391,anthropic_sonnet5,claude-sonnet-5,D,0.97,True,e3786fcb3f5cb1a2134bcf9119b25309ecb7648b7e20019a5a58d84ceba8623d,confidence:602326435087eae6f289a61600473a65c5da119972fdd9a7c817a698fb316b8f,stage_2_confidence_v3_structured_compat
mmlu_pro:test:393,openai_gpt56_sol,gpt-5.6-sol,J,0.99,True,b5296337aac51eae4df86f65981b84af8120ec682019fd29e0e26e7f29bd65c2,confidence:0eca6e96131e8bffd29f0de61db73122fca9aae133e0c913eb7d08e90e943c9b,stage_2_confidence_v3_structured_compat
mmlu_pro:test:393,anthropic_sonnet5,claude-sonnet-5,J,0.95,True,b5296337aac51eae4df86f65981b84af8120ec682019fd29e0e26e7f29bd65c2,confidence:3a5171dc62620d82326508f9de27808c3c8d66867b114831198fa214ff561f72,stage_2_confidence_v3_structured_compat
mmlu_pro:test:413,openai_gpt56_sol,gpt-5.6-sol,B,0.98,True,b0e972a4310a7024a51ff6d7ea40cc67ca4c7f42f84ae33904dfa90e4ed38611,confidence:b2c3eb02715444465b4c111de41207eda08645951bcb83c09fefeba76340c471,stage_2_confidence_v3_structured_compat
mmlu_pro:test:413,anthropic_sonnet5,claude-sonnet-5,A,0.72,False,0cef8e2bf96daed80cbaf92965d92ba1f95625e0a5dabe0fff412790a7d66544,confidence:938e0a16bef90c852a7bdfd4fd0292f0aea8dbad2caeac61631b264ede21099d,stage_2_confidence_v3_structured_compat
mmlu_pro:test:429,openai_gpt56_sol,gpt-5.6-sol,A,0.99,True,46739842f7c8c1b9181ce2e2d44bcb13441564cbb3a5a0af3d6107ede40c2551,confidence:39e347e1cfe52fa5c47b8ecf8588d47a24f734c50ccd0773bdb51bb3101ad7a6,stage_2_confidence_v3_structured_compat
mmlu_pro:test:429,anthropic_sonnet5,claude-sonnet-5,A,0.85,True,46739842f7c8c1b9181ce2e2d44bcb13441564cbb3a5a0af3d6107ede40c2551,confidence:36ac0f679e5455e5707da0e00c4e10cf86d3d42827e3c9ede1aa3107cc660fc8,stage_2_confidence_v3_structured_compat
mmlu_pro:test:448,openai_gpt56_sol,gpt-5.6-sol,A,0.99,True,e83cc90c149535c9697ec1a17ba2407acaeeee065539a9f4cf22422683040129,confidence:8882a719a63eb9f9f869d5a25c110c6b3eefac483e8c337289930b65277e4fce,stage_2_confidence_v3_structured_compat
mmlu_pro:test:448,anthropic_sonnet5,claude-sonnet-5,A,0.9,True,e83cc90c149535c9697ec1a17ba2407acaeeee065539a9f4cf22422683040129,confidence:0b5e57c993b8b705dc5a7266122fe3684497eee922cd589ffc58e39ceddb850c,stage_2_confidence_v3_structured_compat
mmlu_pro:test:462,openai_gpt56_sol,gpt-5.6-sol,A,0.99,True,d4d0943291af2d17611d109f353dc284b91e9c7137b9897502cc2f51302f0186,confidence:42f03376038c9cc0ecf42c89c405112330523f28ed864e3fcdc1242e16c18d56,stage_2_confidence_v3_structured_compat
mmlu_pro:test:462,anthropic_sonnet5,claude-sonnet-5,A,0.72,True,d4d0943291af2d17611d109f353dc284b91e9c7137b9897502cc2f51302f0186,confidence:c863f4f725f62a811ffc89b0e14ec5bd6a2de2f665e0a5e9a4d440df5dd382ce,stage_2_confidence_v3_structured_compat
mmlu_pro:test:465,openai_gpt56_sol,gpt-5.6-sol,F,0.98,False,fe32275968044ad7102ab6ef3e95ffb51d3476d694f8f2a87ee67d4b875e6cee,confidence:708e2cdec3d85207842fc131f3bcce6cdf8a7a769cb405b150bca6b51b5d462c,stage_2_confidence_v3_structured_compat
mmlu_pro:test:465,anthropic_sonnet5,claude-sonnet-5,F,0.4,False,fe32275968044ad7102ab6ef3e95ffb51d3476d694f8f2a87ee67d4b875e6cee,confidence:f02cbd5220b076295257104314e46ff157ae4f9ef26351ef90c530cc527368d2,stage_2_confidence_v3_structured_compat
mmlu_pro:test:471,openai_gpt56_sol,gpt-5.6-sol,F,0.99,True,45732e067a7abdf56899b208e7806ee4f900dcd7b9c302957079f64cf9cb8ce4,confidence:c2d0f55ae2eefd653aee39e6616b28ca2cfaabb4bd6ac71b7cb56761eeee85fa,stage_2_confidence_v3_structured_compat
mmlu_pro:test:471,anthropic_sonnet5,claude-sonnet-5,H,0.72,False,d24cfad85698d16bb523f4f1d4ee057cc7793baae66acbdc2e6d10e020d1feb4,confidence:3fe321288cb0a29e6ad1b2d26ec232cf07b148e5a52d751c2c4c4502358cdf3c,stage_2_confidence_v3_structured_compat
mmlu_pro:test:492,openai_gpt56_sol,gpt-5.6-sol,A,0.99,True,3390be609ebef353d0da6688e1c3c3269d442cc7670b2c43af6996a3c7cbbc8c,confidence:3c5363467acbe86d40e545f4a9e586dab07eff121678aa6034be503aa32a3cfc,stage_2_confidence_v3_structured_compat
mmlu_pro:test:492,anthropic_sonnet5,claude-sonnet-5,F,0.85,False,217b4b7d262d80eeba135f5c3834f3022953ec373d1292140c184f2413409bdb,confidence:6b581f0b85ac53df6fb92e92f68ac1335c48a61aec3d9ee1c1e204b15a7c5a0a,stage_2_confidence_v3_structured_compat
mmlu_pro:test:494,openai_gpt56_sol,gpt-5.6-sol,H,0.99,True,cfc5f9fd06ff50a1b3ca4d2f3b2494b14311f50b6888d6842d8894d72ee93d6e,confidence:93154223be9b346d6e3f71375e236887cd510214e250ecb35c015f1921a7e740,stage_2_confidence_v3_structured_compat
mmlu_pro:test:494,anthropic_sonnet5,claude-sonnet-5,H,0.72,True,cfc5f9fd06ff50a1b3ca4d2f3b2494b14311f50b6888d6842d8894d72ee93d6e,confidence:7b649c3054a5d93dfe226e66f223e3d385286217ecc663053a66615911826c7b,stage_2_confidence_v3_structured_compat
mmlu_pro:test:521,openai_gpt56_sol,gpt-5.6-sol,G,0.99,True,b41f18acf4396a7f5a6757d88c68c289e0c2350954374e88c155acb462cb9555,confidence:0cf7b1cc079cce6a476ff91a4822eb0fee9a3e5a8d3966406cb7e355336350f8,stage_2_confidence_v3_structured_compat
mmlu_pro:test:521,anthropic_sonnet5,claude-sonnet-5,G,0.8,True,b41f18acf4396a7f5a6757d88c68c289e0c2350954374e88c155acb462cb9555,confidence:fd08fa77fb2d46ef11b6e1a0a83209b2b7c2118aa0d94ce2c1c9ba91035e954b,stage_2_confidence_v3_structured_compat
mmlu_pro:test:529,openai_gpt56_sol,gpt-5.6-sol,B,0.999,True,c6de047e0cd09484771ef600e0fa3960371a3d135bb7f70a2d69b92ba648e069,confidence:5d57d8ea5c53c5acb564a656f0b8846b7c026145dbd6c57b0352aa1c9bf7e4b4,stage_2_confidence_v3_structured_compat
mmlu_pro:test:529,anthropic_sonnet5,claude-sonnet-5,B,0.97,True,c6de047e0cd09484771ef600e0fa3960371a3d135bb7f70a2d69b92ba648e069,confidence:9a129d71ea52d4e640df9c1fe8f7c22848b223f930fdedc45778b63965300734,stage_2_confidence_v3_structured_compat
mmlu_pro:test:595,openai_gpt56_sol,gpt-5.6-sol,D,0.99,True,9595ba7fec8e0638a3f2ec711a14beac1b99f02d5b1613f88201b6ff78189363,confidence:d7fe15f0fc2243ac00b8861063bc39823c671da7b589a4b25c2d8c5e63c23c85,stage_2_confidence_v3_structured_compat
mmlu_pro:test:595,anthropic_sonnet5,claude-sonnet-5,D,0.85,True,9595ba7fec8e0638a3f2ec711a14beac1b99f02d5b1613f88201b6ff78189363,confidence:7b3c2936a25d51bfbb67a35452296134da4250164a965f1efe7c7be23daf77ed,stage_2_confidence_v3_structured_compat
mmlu_pro:test:623,openai_gpt56_sol,gpt-5.6-sol,D,0.97,True,c90430bb7dfa766cde4e868f935eb2a8c860f50e8321a5d682d12f50d1dc411b,confidence:8309b17e67202ef9811eea272aad36c716d775d1f5369af281398f639950fb08,stage_2_confidence_v3_structured_compat
mmlu_pro:test:623,anthropic_sonnet5,claude-sonnet-5,D,0.75,True,c90430bb7dfa766cde4e868f935eb2a8c860f50e8321a5d682d12f50d1dc411b,confidence:2523a4e19393565fb436ebe47055b6756810bcd0e84755542ed4a5ebc8c673b6,stage_2_confidence_v3_structured_compat
mmlu_pro:test:652,openai_gpt56_sol,gpt-5.6-sol,E,0.99,True,eed26ff8735cea92dcb812b8af2425fa2b59fc942026dbc509912104904b9615,confidence:bf94cefbfd33a97f054fda6267ed2faa20fe39cbfcb0e47f9f94a2d3813036a1,stage_2_confidence_v3_structured_compat
mmlu_pro:test:652,anthropic_sonnet5,claude-sonnet-5,E,0.72,True,eed26ff8735cea92dcb812b8af2425fa2b59fc942026dbc509912104904b9615,confidence:7de08bcd7ddca1225e5b136cb305576d1191ffb702c1804a06e82d6a293478de,stage_2_confidence_v3_structured_compat
mmlu_pro:test:655,openai_gpt56_sol,gpt-5.6-sol,F,0.99,True,b17192d16a6f9e26b1150ee2a59449d129b85833e05d7e3456d06837b765eb50,confidence:54a0ce3e7f7acd6230464d24ea29ea1f6bcf9babd6136af62f303aa574522c86,stage_2_confidence_v3_structured_compat
mmlu_pro:test:655,anthropic_sonnet5,claude-sonnet-5,F,0.35,True,b17192d16a6f9e26b1150ee2a59449d129b85833e05d7e3456d06837b765eb50,confidence:b5b64995885be191d98a22d18f755b17a593fbafdb07749bf8d7a213c46b471f,stage_2_confidence_v3_structured_compat
mmlu_pro:test:659,openai_gpt56_sol,gpt-5.6-sol,I,0.88,True,4ffd0e441d61fc314cab675d39e9b4593be0d49a84b847906b7d19fb4d8004f6,confidence:4652ac9ef9effb1ffaa50c6d9805ea56e0a6356474b7d3b160deaa72efb1c173,stage_2_confidence_v3_structured_compat
mmlu_pro:test:659,anthropic_sonnet5,claude-sonnet-5,I,0.72,True,4ffd0e441d61fc314cab675d39e9b4593be0d49a84b847906b7d19fb4d8004f6,confidence:cba8eb18aea1a0a0e7528c254561b949775b0599839d49c470ac3cf9d0f7f38a,stage_2_confidence_v3_structured_compat
mmlu_pro:test:750,openai_gpt56_sol,gpt-5.6-sol,D,0.99,True,f3e27a9ce02b37cf193868453c4f789bc47f157a5fc4e1bfa2a44cfacb434cd4,confidence:cb5d1d4aad062d40137bd663a55d376a156331d246d6767e22000d698553457b,stage_2_confidence_v3_structured_compat
mmlu_pro:test:750,anthropic_sonnet5,claude-sonnet-5,D,0.98,True,f3e27a9ce02b37cf193868453c4f789bc47f157a5fc4e1bfa2a44cfacb434cd4,confidence:f480a12990a50cfc438ecb55ffbe82b4f44d0ac9f5ab3356cdfd04dd83bcd01a,stage_2_confidence_v3_structured_compat
mmlu_pro:test:751,openai_gpt56_sol,gpt-5.6-sol,A,0.99,False,87a532be7e1eeb0595577dcb6717ba9bd08dc724b457bf23380e11237b571bd3,confidence:f7485f165e4bba911a40d923b2dcda9fe90c29a210e263fecb105542e10a1a27,stage_2_confidence_v3_structured_compat
mmlu_pro:test:751,anthropic_sonnet5,claude-sonnet-5,B,0.85,False,6fe6c7ca9d9916947f5bbffe0badbdcf1480a2f35aab946d011b54ef336b0ca7,confidence:43d8b59d8080a2d226b312c108939a52f81d0ecdbd91e6ad7e5a3d2016a4295b,stage_2_confidence_v3_structured_compat
mmlu_pro:test:774,openai_gpt56_sol,gpt-5.6-sol,J,0.03,False,548ab6abb40311e67947e5911e9c66496dbdae15ebf07f7c2e92db8f6f095bd6,confidence:d436e399d9d492de4b80a5d833345b45079607ad3a40c2f60a584d06414c5750,stage_2_confidence_v3_structured_compat
mmlu_pro:test:774,anthropic_sonnet5,claude-sonnet-5,C,0.55,False,8df77071f7ffdf50235e984e7fce5e83a9c51894f9db7c045f728baecf596174,confidence:b5ae1f2b12a6fad23ae0a4249276de8efbaf6956fdbed77c0ce97346c0e0f98b,stage_2_confidence_v3_structured_compat
mmlu_pro:test:802,openai_gpt56_sol,gpt-5.6-sol,I,0.99,True,7f26fd02cb92d03d75da1a190d95292b836a4e5340383cdc9e4e38e4abd5e9d8,confidence:c32d96d22dae0965dce0e0bc3104c644d34c069a52dfa351ff9af33b9435b593,stage_2_confidence_v3_structured_compat
mmlu_pro:test:802,anthropic_sonnet5,claude-sonnet-5,I,0.9,True,7f26fd02cb92d03d75da1a190d95292b836a4e5340383cdc9e4e38e4abd5e9d8,confidence:f4ab117ee316cbe2bbc637625ee5e04dedded2c3d0af42eaaccc8168774721bc,stage_2_confidence_v3_structured_compat
mmlu_pro:test:811,openai_gpt56_sol,gpt-5.6-sol,D,0.98,True,11dbe8349c4014b24e6bcd8e15047be4d66118e4d3ef4697b752ad4d273c33aa,confidence:5de30207c63c37ef75beb5013dcada947f505ae1556a0384da91186548906616,stage_2_confidence_v3_structured_compat
mmlu_pro:test:811,anthropic_sonnet5,claude-sonnet-5,A,0.72,False,2a5085a20c87bab67528f58cfe68824ef31f727437f7ee5e3d65f00aa75362ea,confidence:316cbab69566e5fd4d14d06ede1ff3f1a18ced7a2d0fe9356f685da3d7c28a04,stage_2_confidence_v3_structured_compat
mmlu_pro:test:820,openai_gpt56_sol,gpt-5.6-sol,C,0.99,True,ed9d33442b5ed5652f80d4d257d6dbc00b97cfe867d8a13d564ddd666c85ed06,confidence:d84a2916a2a10bd02c659ff2ef4ab4a9004d4e5663650a5445d0674c59dc3777,stage_2_confidence_v3_structured_compat
mmlu_pro:test:820,anthropic_sonnet5,claude-sonnet-5,D,0.9,False,7efb5114f30756be622a248c2761b8df0241e1587906ef8abf431d587595de90,confidence:5c914aaa27cd40c535555a3e9bd5673347d326601418195a3bac55ef78b1b280,stage_2_confidence_v3_structured_compat
mmlu_pro:test:925,openai_gpt56_sol,gpt-5.6-sol,J,0.93,True,640c3d2bb1c2be567ebc98291afda81382f1252eb26e1e896c10590265057805,confidence:81f31f80b99aa7446c9a9d8f084ac2d5d785ab91adfbb158c19271d1670b84c1,stage_2_confidence_v3_structured_compat
mmlu_pro:test:925,anthropic_sonnet5,claude-sonnet-5,H,0.2,False,4e6ecc2b1b5e44791281b2d89b4fc749d9379b324b2a3d57d60280115556395a,confidence:1f6af1f79412f6b591939508199e751c3d5d9e2a7b80485994e7c7f83755c216,stage_2_confidence_v3_structured_compat
mmlu_pro:test:953,openai_gpt56_sol,gpt-5.6-sol,C,0.97,True,fc3a84c6759cd628438395841a24cc8b1547d4ec3aa7297c2aff2bed3da4d6c4,confidence:2b9e59749427ac9f5161c6a9a29dd4de7bfa02d2519fd8af19e6cecd73c321b6,stage_2_confidence_v3_structured_compat
mmlu_pro:test:953,anthropic_sonnet5,claude-sonnet-5,C,0.72,True,fc3a84c6759cd628438395841a24cc8b1547d4ec3aa7297c2aff2bed3da4d6c4,confidence:0519eeb05e31ecd38d3901e4382e7d46c17435aba6658880f28e503e493edab4,stage_2_confidence_v3_structured_compat
mmlu_pro:test:1010,openai_gpt56_sol,gpt-5.6-sol,E,0.98,True,1979e49e1fad609e7df9759d4988864a38704a763a98df79ffce4069a749dd6b,confidence:bf15a801cc1104b3a68ec4f17ceaece98fb1a20e3a32ae83e59922a1ddfe19b9,stage_2_confidence_v3_structured_compat
mmlu_pro:test:1010,anthropic_sonnet5,claude-sonnet-5,E,0.72,True,1979e49e1fad609e7df9759d4988864a38704a763a98df79ffce4069a749dd6b,confidence:96fd1b80187dbd632d69342fb9c8aa69504babadc3c27a288ec5ebef515b2baa,stage_2_confidence_v3_structured_compat
mmlu_pro:test:1023,openai_gpt56_sol,gpt-5.6-sol,D,0.88,True,a16025fc59a00c467a92385272e9987beeb0a11c5d98348b0ab68c3757c09176,confidence:fd5a510c2ae7071c5ea5eb049eecf1365e2e4d7dc2ce2b2174cea6001af36e5d,stage_2_confidence_v3_structured_compat
mmlu_pro:test:1023,anthropic_sonnet5,claude-sonnet-5,H,0.5,False,971411ce4d0ab2134641909d5ca90427fcdee01560f0b74734a56aefba22e506,confidence:de9f74f30ae415da03376d99ec60843075831fedf4bbf0f6fc50d89538791219,stage_2_confidence_v3_structured_compat
mmlu_pro:test:1026,openai_gpt56_sol,gpt-5.6-sol,H,0.93,True,80ec30d12e9e47992c44a6181b1aea5cdc5af370b698669ad47d1028061eea39,confidence:6818d9258c4b8f67553870f5f5df1ae7c411daa5ec13453fb5ed0da313fa312f,stage_2_confidence_v3_structured_compat
mmlu_pro:test:1026,anthropic_sonnet5,claude-sonnet-5,H,0.72,True,80ec30d12e9e47992c44a6181b1aea5cdc5af370b698669ad47d1028061eea39,confidence:d0e6e947dd570d4436f7d02bd29a860f66c4d7c53abe8b8532c587ecb0bbcda7,stage_2_confidence_v3_structured_compat
mmlu_pro:test:1065,openai_gpt56_sol,gpt-5.6-sol,F,0.88,True,e740f24b4768315fcbdee4c7f5510c3cc27b5f0646f9321ad3c576accf1ca4ba,confidence:c5977c900512d9a11b8259fd3e12b97aa2d47ff2c347f853870273810e2922ec,stage_2_confidence_v3_structured_compat
mmlu_pro:test:1065,anthropic_sonnet5,claude-sonnet-5,F,0.6,True,e740f24b4768315fcbdee4c7f5510c3cc27b5f0646f9321ad3c576accf1ca4ba,confidence:e7bc6bc5beefc4c60ce6b7fec23f0b44d8043fb32c8311205e44427ca18c0467,stage_2_confidence_v3_structured_compat
mmlu_pro:test:1131,openai_gpt56_sol,gpt-5.6-sol,C,0.94,True,4ee42f272263497165b16bb0adbbdc3227e7d197daa42171fcc4120b2e06024f,confidence:cfe5d4c51d4017d9745c7e0522948f3b7b36d8431ea12e04ab4c9026b48b8cf7,stage_2_confidence_v3_structured_compat
mmlu_pro:test:1131,anthropic_sonnet5,claude-sonnet-5,C,0.55,True,4ee42f272263497165b16bb0adbbdc3227e7d197daa42171fcc4120b2e06024f,confidence:846b289c8dd26fcbaadd4bdd103f3f44522335d08a3b8c51f7859707ca1d4d46,stage_2_confidence_v3_structured_compat
mmlu_pro:test:1183,openai_gpt56_sol,gpt-5.6-sol,A,0.98,True,3b338202ca54398c7556a13beca7515e79802aa38cd7025acd2b65c82f4803fe,confidence:6a1e71ab9a1797ed4ef3156d381aef7cfe4f93ff5390e92eb7b87da91d008b7d,stage_2_confidence_v3_structured_compat
mmlu_pro:test:1183,anthropic_sonnet5,claude-sonnet-5,A,0.85,True,3b338202ca54398c7556a13beca7515e79802aa38cd7025acd2b65c82f4803fe,confidence:be4c98fb5b4e2897793bc4811584ecfdd4493b3b8b42bbca9957cf96934631b7,stage_2_confidence_v3_structured_compat
mmlu_pro:test:1195,openai_gpt56_sol,gpt-5.6-sol,J,0.87,True,07d3a42f7dcbe8014fb0a14a07d62fbf3b478777ccecb967d22f6008b9f6bb84,confidence:0e005f9b633601f526dfd5c367e2d1540ea83cc6d30c8e17d6e043366ad14b1a,stage_2_confidence_v3_structured_compat
mmlu_pro:test:1195,anthropic_sonnet5,claude-sonnet-5,J,0.5,True,07d3a42f7dcbe8014fb0a14a07d62fbf3b478777ccecb967d22f6008b9f6bb84,confidence:9984c66e139ddf5f1437d2dbdc621499980e1d2eae80ee70b709832f08ea6c2d,stage_2_confidence_v3_structured_compat
mmlu_pro:test:1232,openai_gpt56_sol,gpt-5.6-sol,A,0.98,True,c737121d9e9c5401a33ee5b0cf069afb580890232a01c7dd5a66f94f59ecde21,confidence:988d292f8aa9ef2fcefadfe00aee8ea9b713b38c4500808072602eecc5871986,stage_2_confidence_v3_structured_compat
mmlu_pro:test:1232,anthropic_sonnet5,claude-sonnet-5,A,0.75,True,c737121d9e9c5401a33ee5b0cf069afb580890232a01c7dd5a66f94f59ecde21,confidence:a1063c0447d9687fc0a6639dd8a7a7ef7bf8ee2856ee8338affe6f2fff4d6260,stage_2_confidence_v3_structured_compat
mmlu_pro:test:1247,openai_gpt56_sol,gpt-5.6-sol,E,0.93,False,29d0bb554c6dcca19760390d189fc50e1ad7a6b9581cb2b17f06dd8cd8e58501,confidence:354fe9933409a0e8c35b56b19c947aeabd8b11c2f19b6a63e69ad3cb9886df2f,stage_2_confidence_v3_structured_compat
mmlu_pro:test:1247,anthropic_sonnet5,claude-sonnet-5,B,0.6,True,7cd74ae7311cfc9e423f1bbd8011fd132dba64f8f4116a3699015311833092b4,confidence:d208334d9bf86e180ec9a24ea201aee7e0d20626111442d7dc796688853fdbca,stage_2_confidence_v3_structured_compat
