source,question_id,model_alias,model_endpoint,family,score_condition,displayed_confidence,request_key,prompt_hash,prompt_version
lane_b,mmlu_pro:test:1731,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,displayed_0.90,0.9,verification:b2b894bec03cb5ee42b679ace0bc3ba5c10089e00869ca0117de8f18bbd80029,4603961e01564a23953f5426412269e9cf5b8f6fde82e1ebb0746aace82e572e,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:1731,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,displayed_0.99,0.99,verification:f06373e13c7662a44524357e67415c764bcbe8d6912f65254b471cec62bd5d21,5e14a3497a9b66f287bcba726dd755f28493a34a021fd17304c34c8f98d1b6b9,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:1731,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,hidden,,verification:7d16b40db3a41a49baf02a61fc13792cde51851b3173a942c49ae5c0f33e480b,7969c5cbdd7e7d3bd789b858e40fa8ca5e074c12fefcf9ae4828233ec6022604,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:1731,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,displayed_0.70,0.7,verification:01c8b3ab3590bb2f91944ca14f5afc7b67858114f5da0061ace74c0c89345132,7064ee78711797c54eceb9cb89e102f1341de973c70374540b9356bf6f4b6155,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:1731,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,displayed_0.90,0.9,verification:d3896708376bcef2c380ce0be487208d90243954c5354d961b287f1e31063764,8b36990d9f4899e8dfcf85f7071b8b530a68387b6b835492fcbd6b1d18689d60,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:1731,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,displayed_0.99,0.99,verification:c37bb60e0bde592bed1fd20fcd0202ba613ad1b80d628852103529c922d74ce5,9076b701c33ec0126a3f0aa3c6dca19e25ffe8ebe47bcf678b3b42aead8af15a,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:6452,google_gemini38_flash,gemini-3.8-flash,moderate,hidden,,verification:8219809d79198d6bbb456bf494a4b59173c1c1687136c6813978ec7d13708096,5bc9685b2760c2edbaacaad69a5170ba37fc7ba2afe053fcaaa5314f82666733,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:6452,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.70,0.7,verification:0ae5c14c066a6d2df7c1bca85f553f8c2066c656611a71e8121299dc4f469d4f,4d8a62b41f10664eeefe06e42c93bb1b85ecbee48046498582be1692c86823d6,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:6452,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.90,0.9,verification:7a00e58a9c530a3c3e747484f48a37e82927a4f00cc3692ecc8a9eba7a9d6ef1,6762fbac7eb77449e0b647ddb1f3c5b7a53711cb8e2db8962bfb5f45c9594b7e,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:6452,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.99,0.99,verification:90e8cf1519450021cb05a6436860755b1684c1e8f8ec7daca70609ad4e69e24d,bd9c7f92741448707cb6a19d8aa98dd5cc4debc17119de785f0565abc40220ea,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:6452,google_gemini38_flash,gemini-3.8-flash,stronger,hidden,,verification:135299c7535318ed3478274d11fd44e7400ddac1ca37ed25fae32301f7598eee,601f675dfec4fb7ddcca151dffd00c9aa7d3fc3061c3b697b8782579a40bac19,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:6452,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.70,0.7,verification:796dbde7bdcc3d5026eea7e69ac107178f16e1c2b63ef6d0a38fb4d4f9ae927e,3bd187ab45f3983e038fbf8410decc51a92d2a89c806281a5559a91a3e63298f,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:6452,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.90,0.9,verification:36bbab655944c96ba9a5cd50bb1636c8ec7d054003efa82bf4fff0b9df665387,9c27157a58f6d19668e4d9b9b60d4f3390b01c13ed6c6696e1a475ac78184c51,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:6452,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.99,0.99,verification:316845a112733fc77461a801d502cfa7dde02d9c80dad4837bd5a768624f1d0e,2e1d35706dc3e25418899a6503eb01276d4c43d94f783d119e693a2c1794d011,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:6452,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,hidden,,verification:e12f219cb12cca31b311e7ea4b8ecf6475f13e29a30db41e1c221d7beca3d113,5bc9685b2760c2edbaacaad69a5170ba37fc7ba2afe053fcaaa5314f82666733,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:6452,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,displayed_0.70,0.7,verification:5d1fc5d9b03ba05518fd70a19cc60963f4107b3a4212c6b597d45f84695687ed,4d8a62b41f10664eeefe06e42c93bb1b85ecbee48046498582be1692c86823d6,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:6452,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,displayed_0.90,0.9,verification:f19f50dd33230b2b924dc22dcc9b65af200ba0ac34417d2be4eafd2366603182,6762fbac7eb77449e0b647ddb1f3c5b7a53711cb8e2db8962bfb5f45c9594b7e,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:6452,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,displayed_0.99,0.99,verification:f33af8511aa50e9fc01e462f07f6d49e207f83b5064786d2d73588c44cefa39a,bd9c7f92741448707cb6a19d8aa98dd5cc4debc17119de785f0565abc40220ea,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:6452,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,hidden,,verification:b5c2e65373bfb10f19c39f3a180db8d2b85ed685aae0166e5fe1cf2c74aa29ef,601f675dfec4fb7ddcca151dffd00c9aa7d3fc3061c3b697b8782579a40bac19,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:6452,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,displayed_0.70,0.7,verification:89478f421b27f6ddbe56e2b8a0b25113950c963095f51b34ba1df1b7ae4c8bfd,3bd187ab45f3983e038fbf8410decc51a92d2a89c806281a5559a91a3e63298f,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:6452,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,displayed_0.90,0.9,verification:829d486d95c19e485154342d0874e4d32b2e25c6631502b6d77c6aa59e296c02,9c27157a58f6d19668e4d9b9b60d4f3390b01c13ed6c6696e1a475ac78184c51,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:6452,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,displayed_0.99,0.99,verification:29f18a05f7e1fa401939c9800fcd4287fe42aea615e5f2df066ea0d6757766a9,2e1d35706dc3e25418899a6503eb01276d4c43d94f783d119e693a2c1794d011,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:429,google_gemini38_flash,gemini-3.8-flash,moderate,hidden,,verification:6ab72663ba5038d97d1b8ce40251ab86ede8b86704f8e31e5efb673ecba3806e,3810a0a0ffecfbf8765d51de555f84dc759d6aeb5f190053d408d3973a2a8e29,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:429,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.70,0.7,verification:3d5088a1dc8329ed32d4129c71b4fe7cbcbb1c7bfaba46829d16bfcb032704a8,0b4e4b12af020dd12db7b3662c732123ea2579293911cdd62435d1e9a1d0f38c,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:429,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.90,0.9,verification:c9590739d58a076c3f5677cb89c3f2dbf81ad7b49cdcecfb4b414f0eb7385ce7,c5e87789a2b673d3f44c3904f3770c5f061f3ef54d25172a1da9081cedd9cacc,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:429,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.99,0.99,verification:62c3572c35eea2173db933c91a89412b0e2391f7af4899b93cedbfe93554355e,d7f779e3b3b15990d2ea1c1015d5548aa125d19beb796798502f4b4192a9ed38,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:429,google_gemini38_flash,gemini-3.8-flash,stronger,hidden,,verification:73bea0cc93950d21c5eac26231194f3230fc97d7bcca6ffc54fbc30e69c6cccd,986709cdfbba9f49cd8615e786c274dc881f6b1b72a94b64445c584d8b041c45,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:429,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.70,0.7,verification:2b5b6a50b83d8296447ec657397f837e2ff805d7a45a3c74f27deb431edc4b28,58d41569a2d8df9f778794549d380d00971e146c082fe02802241523c785bf8b,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:429,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.90,0.9,verification:3aee7ea48023f3ad50d59f0f8fe90a7c99b30fca50d9ce6a2bbb01986cc20de1,8f3b58bac85de4a56b085d75b14833274fb6ec551f64886c0c593fd3e69cab89,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:429,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.99,0.99,verification:6fdb5b56d4275be4ea6646ecb5a4c22852fe23092733e2e94ca852b949e5bdbc,6a146fbbd188c78092f15897259b025c9d733ded5ddafcea35aee6236277f844,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:429,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,hidden,,verification:11ee9dff4ac1a9400d87a1a368c75db051afcbef05085d74c61443365cc17753,3810a0a0ffecfbf8765d51de555f84dc759d6aeb5f190053d408d3973a2a8e29,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:429,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,displayed_0.70,0.7,verification:e9142e47cd854b1ae4712b6f60d3b45848acd27c84bb7797e3861f6cf291b20d,0b4e4b12af020dd12db7b3662c732123ea2579293911cdd62435d1e9a1d0f38c,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:429,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,displayed_0.90,0.9,verification:1a520d34ab35108b17c4e2a2335743693f05668ae965bc243b76614a35dbcb8e,c5e87789a2b673d3f44c3904f3770c5f061f3ef54d25172a1da9081cedd9cacc,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:429,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,displayed_0.99,0.99,verification:9b914a0be3b56dd51ec3a47fc0e9bd5994d9b88902faa082f6dac7e70277909e,d7f779e3b3b15990d2ea1c1015d5548aa125d19beb796798502f4b4192a9ed38,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:429,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,hidden,,verification:59f8dcbd8ebd76151f6d4908b18dab164eeeead4a65eae8365c2a3cb5f4f4b19,986709cdfbba9f49cd8615e786c274dc881f6b1b72a94b64445c584d8b041c45,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:429,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,displayed_0.70,0.7,verification:96975c15df263e19b8793ece2b1ebbcecff1979f10d22379fbca333d4bd7b69a,58d41569a2d8df9f778794549d380d00971e146c082fe02802241523c785bf8b,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:429,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,displayed_0.90,0.9,verification:c8a81198b118f1a11768fbaa0757f8f3ad5c0714e8adbd2d8f244d551d7bfbb6,8f3b58bac85de4a56b085d75b14833274fb6ec551f64886c0c593fd3e69cab89,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:429,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,displayed_0.99,0.99,verification:fa5539adff3e392525f92a42b5f83618bae5c9e85abf581f222fd98ad86665de,6a146fbbd188c78092f15897259b025c9d733ded5ddafcea35aee6236277f844,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:3333,google_gemini38_flash,gemini-3.8-flash,moderate,hidden,,verification:027969f520b4f989ff94672fbbdceaa9924f1819cb150343a086a7ddf669857e,6b7c05e17b31dc43c227dd58c3429928bc01e310d754c723787adb0cfdf4c32b,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:3333,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.70,0.7,verification:d6516e3511101edd9a8c8dbf50168ff24c557758d689ed24090df42ff8f43af6,656afd159ea39b2002a4cbcffbc73095ff8db1e2d415b21e1aa71da1a0e77d9c,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:3333,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.90,0.9,verification:34e96f4625349b0deddd882f57319efd93810d7786a787d508f43aa3f01b7415,466d772b2581bc5bb7ffcb8ff6aa2ed6fd6bfe6f00cff9304f68c7d1a5840587,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:3333,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.99,0.99,verification:dc7f86fde7e5d0c7c859ade1e273687617d3ae6c2bcaac4ba6e3e184a9030217,bb98822d46189de39984c98cabf301fbbf4deb232e3660e8580b09d2a6d0ad7d,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:3333,google_gemini38_flash,gemini-3.8-flash,stronger,hidden,,verification:1f6fcfcb4d62da489e1ad1b3439cb813e87f8256da2affc487b92866187186bc,f2d0fef8940044197dd0dac090fc2e70a78d70aee336c9d166680ec2ad43a498,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:3333,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.70,0.7,verification:4931cca7da7b4187a8e60304bf260e0412459dc4ff4ac1206077bd0ff2bc2e44,adcf232ca77cf1cf9bf641cd8d4e36958815571c43ba7019fa44ae0bdf010b7e,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:3333,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.90,0.9,verification:3741cacd89309aa17387a236eea577c6bcfccd637689f66c3ef06d68898740b5,9d41a1c8c3e214f46ec4d3553fdbc80c5ad3d2899f1afe410d7128501a181ee3,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:3333,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.99,0.99,verification:dfff5f8cf3731177bbc34fd6d811f0846b7cb5081b170b38a36d2bdda51c9e13,4d8cb2bca3f491f90ac626c813ff6e1affcc8597667ef205896f54d5c23272c5,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:3333,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,hidden,,verification:d276345cf7f48a4c9b4066874a37deeeeaf587d2bf688fbe55a635e5c24a51aa,6b7c05e17b31dc43c227dd58c3429928bc01e310d754c723787adb0cfdf4c32b,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:3333,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,displayed_0.70,0.7,verification:ae4b6b0018a00ce7b24971ad8baf3a9e33248b52481521a6238501b08ebd6d52,656afd159ea39b2002a4cbcffbc73095ff8db1e2d415b21e1aa71da1a0e77d9c,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:3333,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,displayed_0.90,0.9,verification:52878a3935ea54d56fbf10c5af964aa2bd23331b891dd3e9c60cfb68802fc8c6,466d772b2581bc5bb7ffcb8ff6aa2ed6fd6bfe6f00cff9304f68c7d1a5840587,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:3333,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,displayed_0.99,0.99,verification:79448bab1594c534ad60da9750858959c48f1e242782fa3cc4e6eb81708c1ce1,bb98822d46189de39984c98cabf301fbbf4deb232e3660e8580b09d2a6d0ad7d,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:3333,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,hidden,,verification:5094ee732a2da5db5e920883333ce57d2413b1a08bd5012d9b42f6a84eff55d6,f2d0fef8940044197dd0dac090fc2e70a78d70aee336c9d166680ec2ad43a498,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:3333,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,displayed_0.70,0.7,verification:99ba154d0a62ae44e8ce555eb4605177641e28fb1a4f026a7829e9d41d9f6752,adcf232ca77cf1cf9bf641cd8d4e36958815571c43ba7019fa44ae0bdf010b7e,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:3333,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,displayed_0.90,0.9,verification:933f479fe7771f9745814957eb92753c6185372a5c2195fc120b9d969fe6f396,9d41a1c8c3e214f46ec4d3553fdbc80c5ad3d2899f1afe410d7128501a181ee3,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:3333,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,displayed_0.99,0.99,verification:ae96920149ef8497b5a3d83b6e127e5eb4a1f928315a01ef925f07c7e69e253d,4d8cb2bca3f491f90ac626c813ff6e1affcc8597667ef205896f54d5c23272c5,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:774,google_gemini38_flash,gemini-3.8-flash,moderate,hidden,,verification:086ba1f6c63402bddc394b33350460e8745cb0386e79390fb1d8edaaa86d6d1e,b794ab965009a76d1d3ed8ad7b1f08a9d2663d63c275bb75760a9199294d5c08,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:774,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.70,0.7,verification:74e37e8b85532b1c4c0762dd0d63fde3d48224ce924cf6e104dfa18572d4d668,f31023b778e5dd5cefcda897b6b9938c94f7128b4e29bf719d87a22ec9074ef3,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:774,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.90,0.9,verification:01e7ae73fdb332c59d6e81a6ca9a065fd85bc465e75d861d92f6c9e507c71d1b,bb520efd8a9fb480c985c73f3e4d69583296727fb6d8d82d10b37e4da7aa56a1,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:774,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.99,0.99,verification:85d8dbbf478df415f8911c32aae86862ecb1fa17992db01951cc35c773524dd3,342af07a00f1e22de16fde0c44468997ba66dad91e151403634dcdffb512bb44,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:774,google_gemini38_flash,gemini-3.8-flash,stronger,hidden,,verification:9fc29f20356866237e846f56458fcd2f17ab0c165b41daa67664948970ac72a6,210cdeed6115e916cb0a59eda140762867bae2fc3d4f721b6808211e5ff23c22,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:774,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.70,0.7,verification:9da0c9227fbb5f35c3626864777d1aa2ddb712a25db125a26bfd53b5407c686f,b50a888e1eac3d593d362624ec2be7942a13d94d4a1c3cef22fb03e8c7277e9a,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:774,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.90,0.9,verification:2c4e882a9355b203c6cac3854c586b1bbe98f482f3a23f239336ba965b170c68,68fa1d06a9588a60946c7feef21ee1fb9f095695dbf3388c2bffcba035a97995,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:774,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.99,0.99,verification:5f1645b686f53129596b76b6dec4d117578d7dc996a63e704cb95ecf900b480c,a12c21b45d9733154335722a5acfb69231fc8fd5db7b4e68885ea7036936de12,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:774,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,hidden,,verification:04094e5637363ff05d99ace5e1d537c03fdd834fe6aae98c7cf61490e39f71ea,dd4895fb60014c6a79b6d9c13741f8057b264caf4ccbeb18c02697c4d1c4c925,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:774,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,displayed_0.70,0.7,verification:07ed70bc7cb39c18424f767c915fd641cf7c18e48e9873c9b98bdf2341bec26b,b84c5424f2e3befc53908fcdea6fe901e983f191e1ba4c5311311928dbe8e5a6,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:774,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,displayed_0.90,0.9,verification:7bc35e76349041f42adbcd0539351e8af4998321ea4cefe53c14dba1c70a2a6c,b5bd3a54321d702d168029e9193cf1771e477a875af2b0269fbb3d58f241ed56,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:774,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,moderate,displayed_0.99,0.99,verification:b8f179658ea5f1a62a8e136d4e633d771cd68aeae89a0e19650f547041f83833,168d42b61ded1f6c0781887943db5f73d7128a784171e9ae1195d1339aee3413,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:774,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,hidden,,verification:e309517f45386e8e8e051c49c010a5bc0574f22e6cec2e744b97c992b4136833,fddf93d7646c15dc39566f4ffc2f6b83ff03b987ee73f05167a243ad89d39cc3,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:774,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,displayed_0.70,0.7,verification:aa5a1cbbd6fff8b28aad3cf071d7e0bd371f5ec19f71ab1562fe6c893b6ecb91,4de36c6c25382e200b3381662a370143ff972920df11ef449016cd20b8ac904a,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:774,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,displayed_0.90,0.9,verification:4a73622a3a7aa5b909c59f3d9cb04be5d250f74278d9d358044c89b93c349c07,c1ba13b69ce3b952461b4f3386f4ab270c7d70dbfb202453fa0d4181b009ebe1,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:774,xai_grok420_nonreasoning,grok-4.20-0309-non-reasoning,stronger,displayed_0.99,0.99,verification:db0ec305b4f99b500a0679e307f919a9e8e4f1f1bd7ee01b8f860f015bbe5e2a,58715b832bd7674cb0963043eeb6dd68d4024c8dc2b80dccb8bcc0cd285a93b9,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:4568,google_gemini38_flash,gemini-3.8-flash,moderate,hidden,,verification:b3b031875cd925100b3297e5ed988ccae801a104bb71c04fc59e44c76fb1b8e9,893662ac458a814c6e7c6fb2597f203089201826ca1bfb006d0db027c5a54fa9,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:4568,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.70,0.7,verification:eb8be2eabdcedea40340a8ef0a4e2ce6f25487f134a3daeab288deef64c73e9c,53bbc8187c69dc54154f59c414f81df99d57f8e0e88abc8057aad36534201c17,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:4568,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.90,0.9,verification:ec087abf7142bd03578fa262b44ecef5ecb8d63bce056a2f9ad6bdf41fdefab9,bf9f6c0b8f769fd76bb524d2154003c4aa88171ab50d951b4d8f0e07f399252f,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:4568,google_gemini38_flash,gemini-3.8-flash,moderate,displayed_0.99,0.99,verification:713056e2ead1927d858384fdb1c75b43514039ebfd1433cdb87160a381f09cfa,208037de86dfeacbde8d97c8c3631b1e35a9f860772d25017a5b602ec4193ce0,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:4568,google_gemini38_flash,gemini-3.8-flash,stronger,hidden,,verification:74de610ece405e87b1640d01f855580c2d6157529cc8cd459c5672e14d5d3d49,a03bbbec9ff53b9645ba0d84fa135cfc47e7ac4d63317c9b00667efbd101f8fa,task006_qualitative_pilot_v1
lane_b,mmlu_pro:test:4568,google_gemini38_flash,gemini-3.8-flash,stronger,displayed_0.70,0.7,verification:9f29808ee0a394942afe10425691fd94f62528da8685c3fdcf310c80d588af13,37e10aa67ac2898020f71812b9d4a3cbb1ca1a6d8ec403abd250df9a17700619,task006_qualitative_pilot_v1
