question_id,model_alias,frozen_answer,stage1_correct,correct_label,q1,answer_request_key,confidence_request_key,category,answer_raw,q1_raw
mmlu_pro:test:219,anthropic_sonnet5,I,1,I,0.95,answer:60af393a4b02daef0e2ff34d112b668f011ca0afae89982e9ecd8543fc622a92,confidence:3481fe07a18b0970717d27df30ee07b2327df3544782c6bbbc30a2c3f6beb803,business,"{""answer"":""I""}","{""probability_correct"":0.95}"
mmlu_pro:test:249,openai_gpt56_sol,H,1,H,0.99,answer:911317cba5ef54ac001ed51b0f2268b984b75e8d44a0202dc9465d1844c4f431,confidence:2864195bd4663efaa103863be82de13f8f29a56ea60855d77e7c5da6491a5dca,business,"{""answer"":""H""}","{""probability_correct"":0.99}"
mmlu_pro:test:249,anthropic_sonnet5,H,1,H,0.8,answer:321567ab54fc07f409bb3fc7386408d7f65df392ca763364a4fa6d299ff395fc,confidence:241dd718050d0a2ae449a1cd4d7305172a6fe72c2b46899844eefd12801bff46,business,"{""answer"":""H""}","{""probability_correct"":0.8}"
mmlu_pro:test:267,openai_gpt56_sol,I,1,I,0.99,answer:3abbe26fb1efbf181733f4c979a043394d4bec4b5bada50aa5446fc53a54af89,confidence:36ba75f82a21b7676ce61d976c00d213e4091c93173328fcda8ca9552d54e883,business,"{""answer"":""I""}","{""probability_correct"":0.99}"
mmlu_pro:test:267,anthropic_sonnet5,I,1,I,0.97,answer:c720e791f751a7aba4fc52dbdb4ef16e4108582df5bd3d743efe6a331eb98e30,confidence:ccc33569d200d14a6a8c9604b90a2479f54673dc59f8449e8ba64d1e91085876,business,"{""answer"":""I""}","{""probability_correct"":0.97}"
mmlu_pro:test:304,openai_gpt56_sol,G,1,G,0.99,answer:bac6fcb39e47bfa6d26c05d63c9c33a13a4b46afe3dad8f819c310d4c4aabb04,confidence:c0f5e411bb859d74513c3ae59d0a6cfc0cffb58ec5b33bd7c5f902216e9bc67e,business,"{""answer"":""G""}","{""probability_correct"":0.99}"
mmlu_pro:test:304,anthropic_sonnet5,G,1,G,0.6,answer:36790e40a8d122d893cb43117cccf4834467c3f57417a0b960e16e123c234b04,confidence:db4d76d534e5abd7762e5cf2509fba08f99b31b6de18094c70bffaf36800b3be,business,"{""answer"":""G""}","{""probability_correct"":0.6}"
mmlu_pro:test:336,openai_gpt56_sol,D,1,D,0.99,answer:6116975306dfa47215347e5631f341ddbf4013bf8f2942aba73a265d1ce69659,confidence:94f9b976eb5a236494f5a99ce76ccb07d96297493dad8cd343382e5f77a56ee4,business,"{""answer"":""D""}","{""probability_correct"":0.99}"
mmlu_pro:test:336,anthropic_sonnet5,D,1,D,0.9,answer:f6f3397eb3857c4f630b566867bbe1edbf29afd61426be5f0aad47708513021f,confidence:a840034a36daa1d8d21a97b15f9b399fb3c3217e9faef0d6b555c61c9fff8025,business,"{""answer"":""D""}","{""probability_correct"":0.9}"
mmlu_pro:test:338,openai_gpt56_sol,E,1,E,0.99,answer:d30d606b896928d62f60a50a8ebd9258a253eaf23e7d216d0708f629384301b6,confidence:31996f171062278ad232534222cbde48e3d262452f6630ce772026ade1896bb3,business,"{""answer"":""E""}","{""probability_correct"":0.99}"
mmlu_pro:test:338,anthropic_sonnet5,E,1,E,0.72,answer:ac3cef3c1bb00f27ac2234b9670c5284366b81cbf3555be4c3d5c56e27c4b15f,confidence:09e1fbd810de0ee282e556ef7d46a6c54ee452351539386d764fa2243d7cd3f6,business,"{""answer"":""E""}","{""probability_correct"":0.72}"
mmlu_pro:test:339,openai_gpt56_sol,C,0,E,0.99,answer:980f501dbe4028ce73957ff46cbf3f9107662e8805d967545d23f385e0cbe67d,confidence:72a5dde4faf19d497fe276abe8b6e63ba47c00ec8610e91c607286279b7c9fc0,business,"{""answer"":""C""}","{""probability_correct"":0.99}"
mmlu_pro:test:339,anthropic_sonnet5,C,0,E,0.6,answer:a72ae8d68b459700e2e4f108e21417a353e8f239f63d09421fd18bf5863b9a79,confidence:1e17c5e150a2434ca1dc1d690f0e567a2cf6d73555d5de8022a5d9fea2368481,business,"{""answer"":""C""}","{""probability_correct"":0.6}"
mmlu_pro:test:348,openai_gpt56_sol,F,1,F,0.99,answer:331dc9f6ee22e45be026cd9da1568ecc6c1c77163918fad3d5082f7388256a65,confidence:944c426fa86372f4cd119693456d8ed18f0f149e04834e27e5be0275a007a964,business,"{""answer"":""F""}","{""probability_correct"":0.99}"
mmlu_pro:test:348,anthropic_sonnet5,F,1,F,0.8,answer:99535c73bd22b17a8d092aa55960a351a8dd9d980cb4629631a3512dc256ab33,confidence:bdfe1e89e0e33541fcc7b8c1a11d4e89ef9fb0c5e0c88e2e00decfc4973e0d06,business,"{""answer"":""F""}","{""probability_correct"":0.8}"
mmlu_pro:test:417,openai_gpt56_sol,F,1,F,0.93,answer:28f131bcb0efbfd874c1da51764979db409be1fd38495c3b84996824bc523fe4,confidence:880d7a157365ba5751e270547a90d0009ebcd07da85c3a645096626a9efbe01c,business,"{""answer"":""F""}","{""probability_correct"":0.93}"
mmlu_pro:test:417,anthropic_sonnet5,F,1,F,0.7,answer:759f3841cd13a311ceea4b25b9f0afb2f7cbc23f2a0217736f7cde2b3ec3c98b,confidence:fab57bbdc8dfd49f29a8568e95e4ffb9ec0d4c492d2f79d356b4059a479f2aff,business,"{""answer"":""F""}","{""probability_correct"":0.7}"
mmlu_pro:test:460,openai_gpt56_sol,I,1,I,0.97,answer:16d77f5f147ce39bd903149a2f55669bc3e64e2417a2a8a2e2945a60d483a3c2,confidence:95ed45e7cd85ce35ab6139b39cffd24059d2ef5f8e31f47eda2df785d5e12858,business,"{""answer"":""I""}","{""probability_correct"":0.97}"
mmlu_pro:test:460,anthropic_sonnet5,I,1,I,0.5,answer:2d94286b97024a7488a9b3fd052de529371aedff1fc71d435624a521df90467c,confidence:e55183177799be77622a58f0c9e75e673b3b2dad24e2c93cf23fe28427461633,business,"{""answer"":""I""}","{""probability_correct"":0.5}"
mmlu_pro:test:463,openai_gpt56_sol,I,1,I,0.01,answer:6d3a67e41026b692682c09bdf249f63641e36a60595c56625f92da5415ad479d,confidence:4ec97c78346a4b09b1ac8b8b2c9cb6a71671d858f49026c93eda1f57f49e4a3f,business,"{""answer"":""I""}","{""probability_correct"":0.01}"
mmlu_pro:test:463,anthropic_sonnet5,I,1,I,0.55,answer:3c739fa143d5e00152c2adc2b543e9f1aac8d23f983fa3423dcc6bde4cba3e09,confidence:5c70ba09f999563c093200731261c112368715faa564d2d3e121e6cf09659c9d,business,"{""answer"":""I""}","{""probability_correct"":0.55}"
mmlu_pro:test:483,openai_gpt56_sol,D,1,D,0.99,answer:562304be370f0e9fd49af536fa9cda56d5e39a0c633d85e70d5717e5e16c3862,confidence:ca6eb39fe562a10a2b54bdf30ab42abe33da8d83ae424aea530423fb3a1df353,business,"{""answer"":""D""}","{""probability_correct"":0.99}"
mmlu_pro:test:483,anthropic_sonnet5,D,1,D,0.65,answer:d451c1c3513ac9f75aa85b8b05587e02b56ba6f88d27939c29e79d9a0967111a,confidence:d5051513813dfe833ac476f057a5c380586378e3d5ff89508fa0e0ce60cb4836,business,"{""answer"":""D""}","{""probability_correct"":0.65}"
mmlu_pro:test:488,openai_gpt56_sol,D,1,D,0.99,answer:ed8697eeb06e8d71199b296581a6174960e8092eb2d118649d3d747c6b7356d4,confidence:26049be3ffceded9db5a287b0492c14c48d14b884160f16d9e1612e5f9ebfeb7,business,"{""answer"":""D""}","{""probability_correct"":0.99}"
mmlu_pro:test:488,anthropic_sonnet5,E,0,D,0.85,answer:5d6cf9c3bb88ef042da4e09e47a240928763879b94df59d9672c72957ff83e26,confidence:f017a7d760b0c821275a8bfa491b727ec2b6ee1b5e69d4bca4b7ae7dc2d85956,business,"{""answer"":""E""}","{""probability_correct"":0.85}"
mmlu_pro:test:503,openai_gpt56_sol,A,0,C,0.83,answer:16042dc22071ca4695c71f633e523324584fd68be3f23a2629f60562e44ef927,confidence:885c26adfb7bfbd189eed0bb4cd55c899904f80d115f6de1e96af41ea4f1fcd5,business,"{""answer"":""A""}","{""probability_correct"":0.83}"
mmlu_pro:test:503,anthropic_sonnet5,A,0,C,0.62,answer:952e4a6e8057357192775f24f2a5ce5ef0346b96ebc59772d0efb1fa8127f3aa,confidence:7446565c8684b70dc112a545fb22829666f50c14348f0b90b02a6b175c2e4b38,business,"{""answer"":""A""}","{""probability_correct"":0.62}"
mmlu_pro:test:531,openai_gpt56_sol,B,1,B,0.99,answer:b480f1d8ba87d6549898c90d26f7ef596f03da34b4b76ee24592914c5842dd02,confidence:c012c16835edd034e853db436303f4de92a60f8be4c0d5465ca9230277030e2f,business,"{""answer"":""B""}","{""probability_correct"":0.99}"
mmlu_pro:test:531,anthropic_sonnet5,H,0,B,0.85,answer:0acdc37a064488308e677978e795114f574801e925c542ff8dc0db9f75cd6f01,confidence:23d8ef49d787207ed08edd855bc2a947fa27e72da2744d0390054ea9bcadb747,business,"{""answer"":""H""}","{""probability_correct"":0.85}"
mmlu_pro:test:539,openai_gpt56_sol,B,1,B,0.01,answer:c128ca7440ddf6283ec3b7ca69080e6c926c515df61aaa81b9ef069fd44e52bd,confidence:9173d4f3b867b20ed30bdcc519035ad61a085ec3b018bbe29d7d9492c591538f,business,"{""answer"":""B""}","{""probability_correct"":0.01}"
mmlu_pro:test:539,anthropic_sonnet5,A,0,B,0.72,answer:e2b3584a1b006a0d8f8c712d88eca194be306eacb67038fe79a92bee9ea8b79d,confidence:e21458645f998b9ec37240a9015d9701878876275439380dd38e2337d7abb1eb,business,"{""answer"":""A""}","{""probability_correct"":0.72}"
mmlu_pro:test:594,openai_gpt56_sol,D,0,E,0.99,answer:e69e87cf4ab14bac91453cc1cee15ac51c93cb5d97bbd56bb9e6d70373fe7161,confidence:48ad773d72cb63fe76524751fcacdf9e3f128cb50aaead89445e4e4fc5b0f6bc,business,"{""answer"":""D""}","{""probability_correct"":0.99}"
mmlu_pro:test:594,anthropic_sonnet5,D,0,E,0.85,answer:90da245b3e9cfd804d30bca736f20577c8794f060892081709eaa905cdbd44ea,confidence:b25ca9064cd9eebcef89f080a7a6e039cf4816d274941f04b69bb3affe80671d,business,"{""answer"":""D""}","{""probability_correct"":0.85}"
mmlu_pro:test:596,openai_gpt56_sol,J,0,F,0.99,answer:0e5abc1aaace3ea571d3d8e78dc43e5f0fd30e593ff04a0e6c54f223868a94a2,confidence:9f3864a1fd42791bdd3a78502eb86ebb5c80c0f8f3182215acbc3a711e156b6d,business,"{""answer"":""J""}","{""probability_correct"":0.99}"
mmlu_pro:test:596,anthropic_sonnet5,H,0,F,0.72,answer:1d68b6b6142bd1e86bd3acc1220dfd34be886353ce2998628151f28bda73afb1,confidence:22f33eaa850ed0c9ff72998d98891203ff5ddfe369de736f3b4c01059150b017,business,"{""answer"":""H""}","{""probability_correct"":0.72}"
mmlu_pro:test:629,openai_gpt56_sol,I,1,I,0.98,answer:f9169ee48ddd05f149bfa3bf4acaa4c579de6e918c10266596bfd0eb0c516b51,confidence:4ab4017597286f316fabda1ebbd0a2b1f7dd6c6b4a0ff2fd872fca8219d604ad,business,"{""answer"":""I""}","{""probability_correct"":0.98}"
mmlu_pro:test:629,anthropic_sonnet5,I,1,I,0.85,answer:553fafe46c6ef777304d0afd2282ab093556f70972995b6540ce6eda1e19f1fb,confidence:376bfda6228864d4b8055e7cf180009c49e5240506edc7a8ee854131e9e153da,business,"{""answer"":""I""}","{""probability_correct"":0.85}"
mmlu_pro:test:685,openai_gpt56_sol,B,1,B,0.98,answer:7adaff577f672ecb949af648a51b38806af3f5764543ec72a84384cba91c834e,confidence:ca37f27f7cb5e8868c02ad63d2f41f280be9682caf827553cd8f4936453a6ed0,business,"{""answer"":""B""}","{""probability_correct"":0.98}"
mmlu_pro:test:685,anthropic_sonnet5,B,1,B,0.92,answer:fb913b43828977cb229847e492f8ad6defb65320316cf9b3a0b64a2db8cf1ea5,confidence:e0f60078ae1e8622b24b17272dbba1f8a3ccddb61d1782d7e123d492990c4952,business,"{""answer"":""B""}","{""probability_correct"":0.92}"
mmlu_pro:test:702,openai_gpt56_sol,J,1,J,0.99,answer:5c9ccf971afc9050b4d81659cf3130531a6472bae118f2bb80c4cd1c17d1e2f1,confidence:36cbac596c673bce56e435e1e7346e3ca08bca7d24cede41925d8caf93d3cf32,business,"{""answer"":""J""}","{""probability_correct"":0.99}"
mmlu_pro:test:702,anthropic_sonnet5,J,1,J,0.55,answer:9b17aa585b10e035f1ec38905447cf6a08cd8a0335daddc7dfa886e68a349b1d,confidence:81bde663e21d550c591a8c3332bed4df35ffda61cd67fab482b671d72a5bee99,business,"{""answer"":""J""}","{""probability_correct"":0.55}"
mmlu_pro:test:703,openai_gpt56_sol,G,1,G,0.99,answer:b1a11d7f25855a330250ce24e5b7482f6fce0a3c2a6d175cdfbe6960ee47f76c,confidence:125b499a6ae29dc74783772b6cff362f46b1880a475f4e20e0d13481018ea96f,business,"{""answer"":""G""}","{""probability_correct"":0.99}"
mmlu_pro:test:703,anthropic_sonnet5,C,0,G,0.72,answer:26c04b9d72c563363b0774ea5fa5d790bc8c2d4fc5f68c7c87128c1c4e969117,confidence:9460bbb3fe93c8efb60c0f18548da2a64117366ce6c6814512c31a93be2de26c,business,"{""answer"":""C""}","{""probability_correct"":0.72}"
mmlu_pro:test:706,openai_gpt56_sol,E,1,E,0.98,answer:a7b7d9ca8be2e4918805b313553525929a1f62b4bac9000c4d0d8b026701d228,confidence:5c54aea7dda11b102a7e2a87970ca56565a0d105f5a27d7ca9f19f7064216797,business,"{""answer"":""E""}","{""probability_correct"":0.98}"
mmlu_pro:test:706,anthropic_sonnet5,E,1,E,0.72,answer:e933d989bfcac6ba81ddaa4a83b1e3646ebd702fd482f5fb4fc056a70de970a3,confidence:cfcdc6a57fb22abd90d684fa43c3e206d04bf4d82d8873d0564b9c94fb68b5a4,business,"{""answer"":""E""}","{""probability_correct"":0.72}"
mmlu_pro:test:708,openai_gpt56_sol,E,1,E,0.99,answer:b160418cbdf173ccff7f742f4c5f7bd19efbc13ba9a82aa46773e35e66971ebb,confidence:e8ef92f9817342eac6ba8ea2b95e98acebe0869d9ed0a7d1a1104e9405b427f9,business,"{""answer"":""E""}","{""probability_correct"":0.99}"
mmlu_pro:test:708,anthropic_sonnet5,E,1,E,0.85,answer:051c3ab072f4f67b9533b1a3cf4dd31a51508590b8b6a1e3ef3372ff28c108e3,confidence:e2aeec664605d1d27d477c2164e8ff1398eabb4930a2c75062299c8e3d344904,business,"{""answer"":""E""}","{""probability_correct"":0.85}"
mmlu_pro:test:716,openai_gpt56_sol,C,1,C,0.99,answer:7e2ce47d41b90823f28da59e7bb75195c3bb03ba8252dceeb0214e87748f0e18,confidence:ef398497ccbb3835bf06476b88292fc5b34a8853177403357e0c2c26a724e280,business,"{""answer"":""C""}","{""probability_correct"":0.99}"
mmlu_pro:test:716,anthropic_sonnet5,F,0,C,0.85,answer:8cd0e2fb15e4473d8877c01b448a30bcb0006dc701acdbdd3cb886d5ba1d6dc5,confidence:e3844e2e39305baba8a7e9dc30013932342570daf3ae75f636d53a6c24375fbe,business,"{""answer"":""F""}","{""probability_correct"":0.85}"
mmlu_pro:test:734,openai_gpt56_sol,F,1,F,0.97,answer:a790193c5f4c3baf64bc706b1ac9d3781cac7a8987a327d7bf5e5e1cdcf7aed8,confidence:9e234dab1f87594863ea7090fd41e637defda0e1cf7aff99357da3960d19381f,business,"{""answer"":""F""}","{""probability_correct"":0.97}"
mmlu_pro:test:734,anthropic_sonnet5,I,0,F,0.35,answer:0ee80d3d1c86c1e4aefec346242664af95230dca26310d3db1724b91f5d9a10e,confidence:4acc60ed69b469f21c879d1c5488eae0050fcbaee21f0d3c71c8537ed55b2955,business,"{""answer"":""I""}","{""probability_correct"":0.35}"
mmlu_pro:test:833,openai_gpt56_sol,H,1,H,0.01,answer:3e3c1563b8587b01796f1bfa4dbd7c6519c28a57819d7bcd841570b91479d5e3,confidence:ce22bf93da057535a9000ff1144f1791fe80555c35a30b5c982df8d5e3631c5c,business,"{""answer"":""H""}","{""probability_correct"":0.01}"
mmlu_pro:test:833,anthropic_sonnet5,H,1,H,0.65,answer:852b3463148d06731d45fd680b13325a7fff0e69dc9a3a9e8a839af204b7c50e,confidence:df8d5ef377f283b3ceb7b3651eb6c5fb6055f02b88659dbeb02c6e3d2e10b6ce,business,"{""answer"":""H""}","{""probability_correct"":0.65}"
mmlu_pro:test:863,openai_gpt56_sol,B,0,D,0.99,answer:4261198af97b0a5e892ac685a7165af413973c10a3336ca3268f855e5e16e562,confidence:c366962282f2595939509ba0a549edc8ff64af70dd25e7255bc09d7076dfc60f,business,"{""answer"":""B""}","{""probability_correct"":0.99}"
mmlu_pro:test:863,anthropic_sonnet5,C,0,D,0.4,answer:e0d144b39aacc7cfed79a01a5727f81430d316c809662e695c6bda8686c5d6e6,confidence:c97fce439065a8711ee14cbe443b64ffd23275f65a34b8f6aa140cec8c77bc33,business,"{""answer"":""C""}","{""probability_correct"":0.4}"
mmlu_pro:test:892,openai_gpt56_sol,F,1,F,0.96,answer:69f4408a9ea29d4e6a44d44c999a1a98746164f6415471b227a446ed21ff2ee7,confidence:65c7bdba6bb7b48d319037155f523dab179cda2b2f93e90edf744b85c9893470,law,"{""answer"":""F""}","{""probability_correct"":0.96}"
mmlu_pro:test:892,anthropic_sonnet5,F,1,F,0.75,answer:ac3cefbff892b4b96698da726e3b387fc60bf912fc53764d821c24173f8f5c31,confidence:02542de0ef0ede58c6e22b27383a884231e6dc1a0d9427f2092d4011d602311d,law,"{""answer"":""F""}","{""probability_correct"":0.75}"
mmlu_pro:test:933,openai_gpt56_sol,H,1,H,0.96,answer:5f83d6eac75ce21e961e8ced72d90c729eca90f09522aae1c9d30b6e2372363d,confidence:14576bbe2fb9afffa894f7dd4fd2037f76524aa8d47a9a6473f052072bed0d5c,law,"{""answer"":""H""}","{""probability_correct"":0.96}"
mmlu_pro:test:933,anthropic_sonnet5,H,1,H,0.7,answer:4ca8d5389216225c591ab74dd3d0d9797bed11d248873845df1ffbbe4bd15a03,confidence:0192e3b5c57d2988f3d5a8be2debb613e16e7b01fac36f1a298bf543ec57de7c,law,"{""answer"":""H""}","{""probability_correct"":0.7}"
mmlu_pro:test:989,openai_gpt56_sol,H,1,H,0.99,answer:2c6892e1f2893645d51e95ea544f20126724a9a67312d48659f5b5ad238354d7,confidence:4f8ec95024fc87a1e5f586eae3c91541c18c2510addf3fc1b66705ad7fa32d6f,law,"{""answer"":""H""}","{""probability_correct"":0.99}"
mmlu_pro:test:989,anthropic_sonnet5,H,1,H,0.72,answer:aefa6cb5b1c1e5500fb1b774befeb8f7385e7c5361cf72f3841e8d058f8f8fec,confidence:f6ed0614da47b5f4ab6da51e7d7e6dcd64ed28ba8ade422e26e7cf750208e9a6,law,"{""answer"":""H""}","{""probability_correct"":0.72}"
mmlu_pro:test:997,openai_gpt56_sol,B,1,B,0.97,answer:ffd09caed7b838f52802aab539d883a16bed58bdaf4fc4df175129bdb4aafddf,confidence:829ba2c7776ce02b6d3d1be14d0a882e48d05d688f62fc4cf62431e9c12ff73a,law,"{""answer"":""B""}","{""probability_correct"":0.97}"
mmlu_pro:test:997,anthropic_sonnet5,B,1,B,0.7,answer:c3c3d9ee3847f5d9c26282d916f96062285e5e5b99c74a2c1eb97f808cd5d405,confidence:ff78d4122eabba0202090cd8e910fa14e35794a4860e2b40d20dfadbbfd40d50,law,"{""answer"":""B""}","{""probability_correct"":0.7}"
mmlu_pro:test:1013,openai_gpt56_sol,B,0,I,0.78,answer:5003b4f44bb1ef54cc5db45e2c97c9b6e1dc3a6af26244caf39948078c084910,confidence:f1e0aaacb53b4713cdfb34cb4c675c8a10a3c14cf81b807ea90b2e36015a9d23,law,"{""answer"":""B""}","{""probability_correct"":0.78}"
mmlu_pro:test:1013,anthropic_sonnet5,I,1,I,0.55,answer:d62dae6b1fc4bf0d5fe460a860c0549f6a70976d4330d332541f4f696441ae16,confidence:c46e6fe3bcf72caccb4aced2115c1c814cf5f8643a496edfd7e1d1587269f8ac,law,"{""answer"":""I""}","{""probability_correct"":0.55}"
mmlu_pro:test:1014,openai_gpt56_sol,F,1,F,0.93,answer:941bb53079869f53b8bd3f14bb810c380f84859ae04681d1426451bacb93ef21,confidence:e629dcafd1951c3d486e87b2a8bcc8be95777d879cae5db3d026153e3c7e9f20,law,"{""answer"":""F""}","{""probability_correct"":0.93}"
mmlu_pro:test:1014,anthropic_sonnet5,C,0,F,0.6,answer:efac7488311351c4079066e99ad8fc618cfddcf64912757e7bcbc1b005077c7f,confidence:5b130b5d58689b0225c27f92983d88ccb5d9ee0d0f2d737093695967233f7216,law,"{""answer"":""C""}","{""probability_correct"":0.6}"
mmlu_pro:test:1057,openai_gpt56_sol,G,1,G,0.88,answer:8501d03ee94281eb5066ade65a2736f3af70bde55bcb46c076098639ee7fda2c,confidence:949c653a2be9d4fbad02a94135faa213a44324dd7a4feb900d8626917a27656f,law,"{""answer"":""G""}","{""probability_correct"":0.88}"
mmlu_pro:test:1057,anthropic_sonnet5,G,1,G,0.4,answer:f0910d7e7587289002b6e364ce7eec127a6b62536cf163df66dfe9919373d1f1,confidence:2c38f5febfa2bca5d8c8a0ef8ead9ca739f23cf97e5256afe2ad0b665f46b162,law,"{""answer"":""G""}","{""probability_correct"":0.4}"
mmlu_pro:test:1070,openai_gpt56_sol,E,1,E,0.98,answer:fbad376c250c2db9e96460877885be586e187b0fda4e8e729e07f212ddddd5f7,confidence:32ecfef4e4f8a457c30333ae970383c697d5b9d7c8ecd41aedb2c43781459f2b,law,"{""answer"":""E""}","{""probability_correct"":0.98}"
mmlu_pro:test:1070,anthropic_sonnet5,E,1,E,0.72,answer:bde1721aa9e9edfaa1b6cd3e9a8e01b1fbb1dca766e5f3e6fd47069408e065c4,confidence:8acd7fa83a64dd427ff253e0b2edaec2a992f5f94f7e19c8bb234aee89c47766,law,"{""answer"":""E""}","{""probability_correct"":0.72}"
mmlu_pro:test:1071,openai_gpt56_sol,A,1,A,0.97,answer:05ddde0d8a4a391555f6c9a144c7905943ad88088295c48e6fc14930c8b30fb9,confidence:f5ebf13073bf942eca4ae6cd1136c93361dee06b489fa258bd654fdbe2d7f7b8,law,"{""answer"":""A""}","{""probability_correct"":0.97}"
