question_id,model_alias,model_endpoint,family,score_condition,displayed_confidence,displayed_token,frozen_answer,stage1_correct,reported_confidence,parsed_action,verify,repeat_index,roster,prompt_hash,request_key,estimated_cost_usd,raw_response
mmlu_pro:test:93,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.85,0.85,0.85,H,True,0.75,VERIFY_FIRST,1,0,primary,63a4174c75ccc231c407f62d8636e540e5634fa4a9c39b9716cc1805461d0a73,verification:082f284aad53d0fd29f97bcd2dc3909d64b58f74dd93ebf9ad991ea674d3db61,0.001606,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:93,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.90,0.9,0.9,H,True,0.75,VERIFY_FIRST,1,0,primary,29a8aa5fa5e4c265baac490cda7158702e353fafe5bb6dc6dacc1302c3061b41,verification:e34d17ce8e141104e4e5d0ff687a6ae371316af82a393ef7768995133d3a9028,0.001586,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:93,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.95,0.95,0.95,H,True,0.75,VERIFY_FIRST,1,0,primary,7d6f8876fb4e2ba84fec5570aeec03f0055610768d284b4fabce685bbd3a00b0,verification:8cf24a79d2eb5c61be1f81958b2b50f0efb53e80f1e95b40b093caa1da4d9089,0.001626,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:93,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.99,0.99,0.99,H,True,0.75,VERIFY_FIRST,1,0,primary,c7dd2094c7bcad3da7fa74c423d5da8db04e1e1bdb4f46fc5852824b43161d69,verification:e436fd1d5795990988eb1a8ff188c4b82335ddd61f981ac9f095bb37c77b7b3e,0.001596,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:140,openai_gpt56_sol,gpt-5.6-sol,moderate,hidden,,,D,True,0.99,USE_UNVERIFIED,0,0,primary,317b0237379060991f766417e3f3ea8ab83f9d35906beebb42e28b11f3496cee,verification:7ce78d23639c4f2ddc55bc73c62c031f4fbddc1259d8cbaded7fdfde9b5ff0a5,0.00176,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:140,openai_gpt56_sol,gpt-5.6-sol,moderate,true_q_visible,0.99,0.99,D,True,0.99,USE_UNVERIFIED,0,0,primary,705a5e9cc5967068ff8e65244cfe332488f94f4e515bac2ac4b1c2e04de97645,verification:b61dc1c0e90cdacbe4fd5c552f78eefba132cb5bc2bda9d012b09185fac27778,0.001828,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:140,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.70,0.7,0.7,D,True,0.99,USE_UNVERIFIED,0,0,primary,8c818992b4d565ca3f401a31fa139605d930f2fea5c32917942762da3583fefd,verification:54a6cf4250d7e1fe096c1c5e83a6172b74502377d36eb6e24a5ff2cc0b5fd0dd,0.001828,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:140,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.85,0.85,0.85,D,True,0.99,USE_UNVERIFIED,0,0,primary,91b3bfe3e0a92bfa344ee730b0990361bdfdc4d1967009132330a528e03b6c84,verification:3477abb462acbc9795c968aa336fd2f537cd95de87f94577a9e847faa754f5ae,0.001828,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:140,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.90,0.9,0.9,D,True,0.99,USE_UNVERIFIED,0,0,primary,b0664dfca24af0bca1c4f06e3b0fd830306ab57ac5548f5880ced2ab6f735e06,verification:83a26c4982baf69cf5a9316b856b2951934ef61e07e7c85d0aff992a5b3e9f2e,0.001828,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:140,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.95,0.95,0.95,D,True,0.99,USE_UNVERIFIED,0,0,primary,5e5c5dc7656201a7a6b2ef0702318fcb66baa35541fbcb9da03d63dd93bcf1c5,verification:eb9b485aafbdbd8a2892c4be19879b559f09a368e69ce04e2d4713911e0c8d07,0.001828,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:140,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.99,0.99,0.99,D,True,0.99,USE_UNVERIFIED,0,0,primary,705a5e9cc5967068ff8e65244cfe332488f94f4e515bac2ac4b1c2e04de97645,verification:8b8068bfb95867ef8d8b1331e825124a6e964fb9f082a270d2e33480cbe7e837,0.001828,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:140,anthropic_sonnet5,claude-sonnet-5,moderate,hidden,,,D,True,0.85,VERIFY_FIRST,1,0,primary,317b0237379060991f766417e3f3ea8ab83f9d35906beebb42e28b11f3496cee,verification:7bdf07f7340331573614ddebf768f820ba59985501799f259550cc170d6cf91d,0.00164,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:140,anthropic_sonnet5,claude-sonnet-5,moderate,true_q_visible,0.85,0.85,D,True,0.85,VERIFY_FIRST,1,0,primary,91b3bfe3e0a92bfa344ee730b0990361bdfdc4d1967009132330a528e03b6c84,verification:f95f27da1a498911c2c72065cb6a6c30349b849c74bba2ca94d9e939f2e79cb4,0.001716,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:140,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.70,0.7,0.7,D,True,0.85,VERIFY_FIRST,1,0,primary,8c818992b4d565ca3f401a31fa139605d930f2fea5c32917942762da3583fefd,verification:2f5b2f3a7558c6da4bf05bfc4abbc4b65e1e4470b9a837c81e51f62b5314f0d9,0.001696,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:140,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.85,0.85,0.85,D,True,0.85,VERIFY_FIRST,1,0,primary,91b3bfe3e0a92bfa344ee730b0990361bdfdc4d1967009132330a528e03b6c84,verification:8a7094f1db9ada1e7e29f87c4cc3f0625da60f844b3692d9963142a98abb03a4,0.001726,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:140,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.90,0.9,0.9,D,True,0.85,VERIFY_FIRST,1,0,primary,b0664dfca24af0bca1c4f06e3b0fd830306ab57ac5548f5880ced2ab6f735e06,verification:aa25daa7bee2c3d7e6ed26c6751dee57851d17eecf9b2d57dcee29cbae6bb4f1,0.001716,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:140,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.95,0.95,0.95,D,True,0.85,VERIFY_FIRST,1,0,primary,5e5c5dc7656201a7a6b2ef0702318fcb66baa35541fbcb9da03d63dd93bcf1c5,verification:d45277d4f3aaa9b36ff796586644b154e5b0486bd13931e4f047c9a7139c3f7f,0.001746,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:140,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.99,0.99,0.99,D,True,0.85,VERIFY_FIRST,1,0,primary,705a5e9cc5967068ff8e65244cfe332488f94f4e515bac2ac4b1c2e04de97645,verification:4cf70c88622da28329b7cb381274d1f6cba74b2a8721943dcd275e74126d6f5f,0.001716,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:151,openai_gpt56_sol,gpt-5.6-sol,moderate,hidden,,,E,True,0.99,USE_UNVERIFIED,0,0,primary,4061b431c7d1afdfa174c358cdf85f61c7fdb3eb465b10159b1eebd1aa3e0327,verification:79a21632aaf3c6ddaebce2cd9d157b46b30d2aee2cb6306261d194ac223c48e0,0.00216,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:151,openai_gpt56_sol,gpt-5.6-sol,moderate,true_q_visible,0.99,0.99,E,True,0.99,USE_UNVERIFIED,0,0,primary,17a140cc1994a948402bceb24053b1ae6fb549759eaef0960ba649abcab0b7ef,verification:e64d14f2d77d072d26e050f6a20a41b12633a55d1abf1c52dc2a29d344a5ec1c,0.002228,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:151,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.70,0.7,0.7,E,True,0.99,VERIFY_FIRST,1,0,primary,e5bec0214cca6575faa695b7d367b6b5f709aef3b93bd38f1f24a57e1b4ef304,verification:b7844606a38967766f0541444b005c81ed635a6cb9d3f6727226d8dd4fa56fde,0.002188,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:151,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.85,0.85,0.85,E,True,0.99,USE_UNVERIFIED,0,0,primary,4d86d0c16ce77fb498624706f54d7804502dba80f78f69dffbda1cd5ed05041d,verification:05683772b499d17ed496e9b30ce705ab0dea04403f8ee1c416f1f71d828b3129,0.002228,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:151,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.90,0.9,0.9,E,True,0.99,USE_UNVERIFIED,0,0,primary,0e07c33e0c4ac31fe9b43c299b75df0810560c19af3c6bda2051492241f888d6,verification:cf26860270429cbe563b53da69b3de09449d2b47e5d49fceb25bd8f66c9bfd12,0.002228,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:151,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.95,0.95,0.95,E,True,0.99,USE_UNVERIFIED,0,0,primary,e303537776932bf2895a890c6357a8663831b2687e165a928da8a8cbe1f318f4,verification:ba994246b3316245cc1a19a9e8af997e7ce5ff7e44c67c7749765c6042c8d3e1,0.002228,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:151,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.99,0.99,0.99,E,True,0.99,USE_UNVERIFIED,0,0,primary,17a140cc1994a948402bceb24053b1ae6fb549759eaef0960ba649abcab0b7ef,verification:88a4f7f01c3d4f034b5809fa7af5d4d0f0b45053ff4b2ddbe53fbe5d559e93c2,0.002228,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:151,anthropic_sonnet5,claude-sonnet-5,moderate,hidden,,,E,True,0.72,VERIFY_FIRST,1,0,primary,4061b431c7d1afdfa174c358cdf85f61c7fdb3eb465b10159b1eebd1aa3e0327,verification:40e65cc9c7bd41f6c99b1573a5fa9833c4a01cd4c98560b2b9359e9b884be4bd,0.001966,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:151,anthropic_sonnet5,claude-sonnet-5,moderate,true_q_visible,0.72,0.72,E,True,0.72,VERIFY_FIRST,1,0,primary,fc50c1b00ece2eb3b7f05fa384ebd34a8525ecc36fe7797a01d6e070449006bd,verification:132cf92e36736a930b12c26ec7cd051800e0976882d2e5c22787a40f9353175a,0.002032,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:151,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.70,0.7,0.7,E,True,0.72,VERIFY_FIRST,1,0,primary,e5bec0214cca6575faa695b7d367b6b5f709aef3b93bd38f1f24a57e1b4ef304,verification:5339213c5724382fa270388b2b3731063f3b3b15ec6c902a1213f6f2a6bc2bab,0.002144,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:151,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.85,0.85,0.85,E,True,0.72,VERIFY_FIRST,1,0,primary,4d86d0c16ce77fb498624706f54d7804502dba80f78f69dffbda1cd5ed05041d,verification:2f0b832f9eb9f9537658134e2521d781645ead3b648e919a934b2c4758ca9ce0,0.002144,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:151,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.90,0.9,0.9,E,True,0.72,VERIFY_FIRST,1,0,primary,0e07c33e0c4ac31fe9b43c299b75df0810560c19af3c6bda2051492241f888d6,verification:d15dc7bffac66cf3f60dc6eb9de9f0efab6dc537b570eb9d73c810134ac48097,0.002082,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:151,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.95,0.95,0.95,E,True,0.72,VERIFY_FIRST,1,0,primary,e303537776932bf2895a890c6357a8663831b2687e165a928da8a8cbe1f318f4,verification:4fecf3bc67f278f92b9cd1f90ae05e704d0633c90751b5ecd0e4f1b1c8c97267,0.002042,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:151,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.99,0.99,0.99,E,True,0.72,VERIFY_FIRST,1,0,primary,17a140cc1994a948402bceb24053b1ae6fb549759eaef0960ba649abcab0b7ef,verification:8565bb9def2b810de99b969f3c16db2599e03fe3c3369e7a599bd55a44407c65,0.002564,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:158,openai_gpt56_sol,gpt-5.6-sol,moderate,hidden,,,E,True,0.99,VERIFY_FIRST,1,0,primary,7f370e997637725c0dc2fbc396a60615ba7b1f5187fc0d8bf7b7022492d0205b,verification:190c81bf3360a2f8be20cf4f3d3a8c8bc8608a1202167f7b50a621b492484f9e,0.00142,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:158,openai_gpt56_sol,gpt-5.6-sol,moderate,true_q_visible,0.99,0.99,E,True,0.99,USE_UNVERIFIED,0,0,primary,279d30a61e24b81b0a5ae05e33ae9eab18eba6c181816b0b276210aa9841d9eb,verification:90bfa4429b7e6d1e12d4fcd9cb959a6d5b39df1ab61a71c87945325bd0a36755,0.001528,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:158,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.70,0.7,0.7,E,True,0.99,USE_UNVERIFIED,0,0,primary,3d056e6472cb1fb98e72eb9cb3a5fe24b5bff8c062a22e52942f38c58803fc9e,verification:424488731607a168e7ec3ce3b883d12027d20d57d9d8c6b6e95ffe9c1a2104fe,0.001528,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:158,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.85,0.85,0.85,E,True,0.99,USE_UNVERIFIED,0,0,primary,3606563598922b34917769cbf2f6dda6d24812175be1d26a795ac2a495e90387,verification:5f7b869068cd2d0a8e2e1e53020b94ab37a501c3d4dcafc616f7626e9cbf0acd,0.001528,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:158,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.90,0.9,0.9,E,True,0.99,USE_UNVERIFIED,0,0,primary,28bdaf44e7b2e568a6eedb7de86039c3a18129e269b444568f86f78bb1ce9ab4,verification:897e797973890cb5ea043704bbb1c695bf2812d900a7efbd462e915c6eb90061,0.001528,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:158,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.95,0.95,0.95,E,True,0.99,USE_UNVERIFIED,0,0,primary,41e18886d34467c9a123178b8cf7375381d4bddbfb0cb38707602f1b75f8bdbf,verification:c6eec58924a0ae24ef31c728f631925b86ba68e2d14e1c6a2c8727083d61f846,0.001528,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:158,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.99,0.99,0.99,E,True,0.99,USE_UNVERIFIED,0,0,primary,279d30a61e24b81b0a5ae05e33ae9eab18eba6c181816b0b276210aa9841d9eb,verification:45d70d95b9bf737229d7ce943fac4849a6940441f2f7ddd9ebf955260ad62532,0.001528,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:158,anthropic_sonnet5,claude-sonnet-5,moderate,hidden,,,E,True,0.9,VERIFY_FIRST,1,0,primary,7f370e997637725c0dc2fbc396a60615ba7b1f5187fc0d8bf7b7022492d0205b,verification:e6b8c15e8dd3a36f98d5ff7e3b663afc49983ff53dea79c6ccbd15033d21a9d2,0.001474,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:158,anthropic_sonnet5,claude-sonnet-5,moderate,true_q_visible,0.9,0.9,E,True,0.9,VERIFY_FIRST,1,0,primary,28bdaf44e7b2e568a6eedb7de86039c3a18129e269b444568f86f78bb1ce9ab4,verification:c134378be1a4ac51a6f10f1b548f6e4fa31d70ab53a8e6662eedf9a5db1fcb85,0.00155,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:158,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.70,0.7,0.7,E,True,0.9,VERIFY_FIRST,1,0,primary,3d056e6472cb1fb98e72eb9cb3a5fe24b5bff8c062a22e52942f38c58803fc9e,verification:e72afc4d4499330e4dd8c329fa586ecc8e996252fa7a15a5b206d2ba9eb442d4,0.00155,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:158,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.85,0.85,0.85,E,True,0.9,VERIFY_FIRST,1,0,primary,3606563598922b34917769cbf2f6dda6d24812175be1d26a795ac2a495e90387,verification:cd2021024b2c321f57582212fbe246fb28cca478e911580b08ef625bfae0081b,0.00156,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:158,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.90,0.9,0.9,E,True,0.9,VERIFY_FIRST,1,0,primary,28bdaf44e7b2e568a6eedb7de86039c3a18129e269b444568f86f78bb1ce9ab4,verification:50d614f48c9fb172fa55ac546b2eef6b6c381bbf0f14c5081c9b488803ffc772,0.00152,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:158,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.95,0.95,0.95,E,True,0.9,VERIFY_FIRST,1,0,primary,41e18886d34467c9a123178b8cf7375381d4bddbfb0cb38707602f1b75f8bdbf,verification:36d02231cb2546443ded963c909cf1e40a5c685a4c2e8ae3965f8a8f5f026d36,0.00154,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:158,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.99,0.99,0.99,E,True,0.9,VERIFY_FIRST,1,0,primary,279d30a61e24b81b0a5ae05e33ae9eab18eba6c181816b0b276210aa9841d9eb,verification:91244a0309b3122775ca7f09f67d91896ddb9205d129233da421c9a09b5ee833,0.00152,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:164,openai_gpt56_sol,gpt-5.6-sol,moderate,hidden,,,B,True,0.99,VERIFY_FIRST,1,0,primary,3d6c84f95ed83ee28f5aff119d7635683c5e410e67e69e6bea0f27c194cf6e7a,verification:fab365c4b2d4649671ab423e34c2738a40d981bf6f9eb30272f7932c9ca9b5b3,0.002924,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:164,openai_gpt56_sol,gpt-5.6-sol,moderate,true_q_visible,0.99,0.99,B,True,0.99,USE_UNVERIFIED,0,0,primary,3c2d554b612ee3a95da2a25392fb29dbe57c4a7785615144cf57d5b185e8c510,verification:2ccdf1df6c007098d66b5bab9189d8214f0ca2c07ff8eb6439999068c8dd1722,0.003032,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:164,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.70,0.7,0.7,B,True,0.99,VERIFY_FIRST,1,0,primary,8c9771b34ba14ecf476b51d5392d0bb9bc440777be4ef09bf7c98fa86e7ba2f2,verification:c63623ddf3c1d7f50a819f42ac2ee813a18bd8648e62911da5a7de6bbcd2b463,0.002992,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:164,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.85,0.85,0.85,B,True,0.99,USE_UNVERIFIED,0,0,primary,638b01200ddc6d5a608b2cfb84a52888d47f0ad5580fff2e3c5eb1860db1e7d7,verification:6444467cc178f0ab287ffa4b4b1a0bd005dbb0c42b8773944c8e52af57cb6350,0.003032,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:164,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.90,0.9,0.9,B,True,0.99,USE_UNVERIFIED,0,0,primary,2fbaa11477ba1779372efab13354a063d7df2fa887deca594b65be4232d8ebcb,verification:9cf5e3947a4a70c9480fcf14cabf88db0a5de8b5389873934d1abe900db04bbb,0.003032,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:164,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.95,0.95,0.95,B,True,0.99,USE_UNVERIFIED,0,0,primary,0bd7426f581bfe5773b10eed5f03313382c62c489d84d82079a74f0e420e42fe,verification:ebac13cfe2c45e25fc62d7273f8ba45d05b25e47448f52a6b6d774adcbdf853f,0.003032,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:164,openai_gpt56_sol,gpt-5.6-sol,moderate,displayed_0.99,0.99,0.99,B,True,0.99,USE_UNVERIFIED,0,0,primary,3c2d554b612ee3a95da2a25392fb29dbe57c4a7785615144cf57d5b185e8c510,verification:db5b9af868d7ee8f01872e61d92eeefaa4e0832a17577ad71f0a47d1b2297c97,0.003032,"{""action"":""USE_UNVERIFIED""}"
mmlu_pro:test:164,anthropic_sonnet5,claude-sonnet-5,moderate,hidden,,,C,False,0.6,VERIFY_FIRST,1,0,primary,8e00eb4f7727b94de50878b0e078c7b195cf11ce566df5951a4f5f78c1a09e60,verification:9a6594eeeb85549f1e905b1737147835422040eb397a94f7afb946bd428ca5e5,0.002416,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:164,anthropic_sonnet5,claude-sonnet-5,moderate,true_q_visible,0.6,0.6,C,False,0.6,VERIFY_FIRST,1,0,primary,5fd884583c1f4ffec348bd9d4b5cddc92ec85e7ec1b85bf6667205a4d46509f3,verification:1b68802419483749c5b3ea1a460aa8ed2d9654212264937e9998437a455c81dc,0.002462,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:164,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.70,0.7,0.7,C,False,0.6,VERIFY_FIRST,1,0,primary,5d81441f02865e9d08b70bdac3b6c7b1f939b54d6ae6756f1e9aef2b5c19fd80,verification:2bebfdaa7df383956c0b22872a60a51b7d169bcd50c66ac1c86a2fc6bdef6548,0.002472,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:164,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.85,0.85,0.85,C,False,0.6,VERIFY_FIRST,1,0,primary,64b3888187fc3ee246a614f7e4623c91e4d02cb385049b26387296798136a212,verification:d9859b72a2f46cb1f88a413c3ee64371359b0594045afe7496f1535af6254461,0.002492,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:164,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.90,0.9,0.9,C,False,0.6,VERIFY_FIRST,1,0,primary,c97bc077da1f3993f099f08be89e249814fb193e091a44125880af9d5bd46643,verification:155a824d1777832342752a5ca511429baf912e647288304ad151963b7a626e8e,0.002462,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:164,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.95,0.95,0.95,C,False,0.6,VERIFY_FIRST,1,0,primary,a4ef97f0112401a0056325bfd28096f0ad1205c46a69bfdadf92b580d6ec91ef,verification:083559239c9c9b0eefd9f00a33b6cb2c79075ff5bad51e22ba4e99150f9f1223,0.002452,"{""action"":""VERIFY_FIRST""}"
mmlu_pro:test:164,anthropic_sonnet5,claude-sonnet-5,moderate,displayed_0.99,0.99,0.99,C,False,0.6,VERIFY_FIRST,1,0,primary,77558a53d5c2a2afceee9091c226c15b030c84567bfdfc9353f259f8d2cc8b79,verification:f12e73fc967f45b5102f81f7ed09b5cbc3324c9ac741524429c29dae569172de,0.002472,"{""action"":""VERIFY_FIRST""}"
