section,question_id,model_alias,L,display_condition,displayed_confidence,stage1_correct,all_three_agree,split_2_1,pairwise_disagreement,verify_propensity,primary_verify
per_cell,mmlu_pro:test:10497,openai_gpt56_sol,20.0,manipulated_1,0.9,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10497,openai_gpt56_sol,20.0,manipulated_2,0.93,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10497,openai_gpt56_sol,20.0,manipulated_3,0.94,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10497,openai_gpt56_sol,20.0,manipulated_4,0.96,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:10497,openai_gpt56_sol,20.0,manipulated_5,0.99,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:1065,anthropic_sonnet5,10.0,hidden,,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,anthropic_sonnet5,10.0,true_confidence_visible,0.6,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,anthropic_sonnet5,10.0,manipulated_1,0.8,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,anthropic_sonnet5,10.0,manipulated_2,0.88,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,anthropic_sonnet5,10.0,manipulated_3,0.89,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,anthropic_sonnet5,10.0,manipulated_4,0.91,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,anthropic_sonnet5,10.0,manipulated_5,0.99,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:1065,anthropic_sonnet5,20.0,hidden,,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,anthropic_sonnet5,20.0,true_confidence_visible,0.6,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,anthropic_sonnet5,20.0,manipulated_1,0.9,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,anthropic_sonnet5,20.0,manipulated_2,0.93,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,anthropic_sonnet5,20.0,manipulated_3,0.94,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,anthropic_sonnet5,20.0,manipulated_4,0.96,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,anthropic_sonnet5,20.0,manipulated_5,0.99,True,0,1,0.6666666666666666,0.6666666666666666,1
per_cell,mmlu_pro:test:1065,openai_gpt56_sol,10.0,hidden,,True,0,1,0.6666666666666666,0.3333333333333333,0
per_cell,mmlu_pro:test:1065,openai_gpt56_sol,10.0,true_confidence_visible,0.88,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,openai_gpt56_sol,10.0,manipulated_1,0.8,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,openai_gpt56_sol,10.0,manipulated_2,0.88,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,openai_gpt56_sol,10.0,manipulated_3,0.89,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,openai_gpt56_sol,10.0,manipulated_4,0.91,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:1065,openai_gpt56_sol,10.0,manipulated_5,0.99,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:1065,openai_gpt56_sol,20.0,hidden,,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,openai_gpt56_sol,20.0,true_confidence_visible,0.88,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,openai_gpt56_sol,20.0,manipulated_1,0.9,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,openai_gpt56_sol,20.0,manipulated_2,0.93,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,openai_gpt56_sol,20.0,manipulated_3,0.94,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1065,openai_gpt56_sol,20.0,manipulated_4,0.96,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:1065,openai_gpt56_sol,20.0,manipulated_5,0.99,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:10842,anthropic_sonnet5,10.0,hidden,,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,anthropic_sonnet5,10.0,true_confidence_visible,0.55,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,anthropic_sonnet5,10.0,manipulated_1,0.8,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,anthropic_sonnet5,10.0,manipulated_2,0.88,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,anthropic_sonnet5,10.0,manipulated_3,0.89,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,anthropic_sonnet5,10.0,manipulated_4,0.91,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,anthropic_sonnet5,10.0,manipulated_5,0.99,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,anthropic_sonnet5,20.0,hidden,,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,anthropic_sonnet5,20.0,true_confidence_visible,0.55,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,anthropic_sonnet5,20.0,manipulated_1,0.9,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,anthropic_sonnet5,20.0,manipulated_2,0.93,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,anthropic_sonnet5,20.0,manipulated_3,0.94,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,anthropic_sonnet5,20.0,manipulated_4,0.96,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,anthropic_sonnet5,20.0,manipulated_5,0.99,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,openai_gpt56_sol,10.0,hidden,,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:10842,openai_gpt56_sol,10.0,true_confidence_visible,0.92,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:10842,openai_gpt56_sol,10.0,manipulated_1,0.8,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,openai_gpt56_sol,10.0,manipulated_2,0.88,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,openai_gpt56_sol,10.0,manipulated_3,0.89,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,openai_gpt56_sol,10.0,manipulated_4,0.91,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:10842,openai_gpt56_sol,10.0,manipulated_5,0.99,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:10842,openai_gpt56_sol,20.0,hidden,,True,0,1,0.6666666666666666,0.3333333333333333,0
per_cell,mmlu_pro:test:10842,openai_gpt56_sol,20.0,true_confidence_visible,0.92,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,openai_gpt56_sol,20.0,manipulated_1,0.9,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,openai_gpt56_sol,20.0,manipulated_2,0.93,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,openai_gpt56_sol,20.0,manipulated_3,0.94,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:10842,openai_gpt56_sol,20.0,manipulated_4,0.96,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:10842,openai_gpt56_sol,20.0,manipulated_5,0.99,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11138,anthropic_sonnet5,10.0,hidden,,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11138,anthropic_sonnet5,10.0,true_confidence_visible,0.85,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11138,anthropic_sonnet5,10.0,manipulated_1,0.8,False,0,1,0.6666666666666666,0.3333333333333333,0
per_cell,mmlu_pro:test:11138,anthropic_sonnet5,10.0,manipulated_2,0.88,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11138,anthropic_sonnet5,10.0,manipulated_3,0.89,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11138,anthropic_sonnet5,10.0,manipulated_4,0.91,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11138,anthropic_sonnet5,10.0,manipulated_5,0.99,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11138,anthropic_sonnet5,20.0,hidden,,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11138,anthropic_sonnet5,20.0,true_confidence_visible,0.85,False,0,1,0.6666666666666666,0.3333333333333333,0
per_cell,mmlu_pro:test:11138,anthropic_sonnet5,20.0,manipulated_1,0.9,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11138,anthropic_sonnet5,20.0,manipulated_2,0.93,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11138,anthropic_sonnet5,20.0,manipulated_3,0.94,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11138,anthropic_sonnet5,20.0,manipulated_4,0.96,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11138,anthropic_sonnet5,20.0,manipulated_5,0.99,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11138,openai_gpt56_sol,10.0,hidden,,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11138,openai_gpt56_sol,10.0,true_confidence_visible,0.98,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11138,openai_gpt56_sol,10.0,manipulated_1,0.8,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11138,openai_gpt56_sol,10.0,manipulated_2,0.88,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11138,openai_gpt56_sol,10.0,manipulated_3,0.89,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11138,openai_gpt56_sol,10.0,manipulated_4,0.91,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11138,openai_gpt56_sol,10.0,manipulated_5,0.99,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11138,openai_gpt56_sol,20.0,hidden,,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11138,openai_gpt56_sol,20.0,true_confidence_visible,0.98,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11138,openai_gpt56_sol,20.0,manipulated_1,0.9,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11138,openai_gpt56_sol,20.0,manipulated_2,0.93,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11138,openai_gpt56_sol,20.0,manipulated_3,0.94,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11138,openai_gpt56_sol,20.0,manipulated_4,0.96,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11138,openai_gpt56_sol,20.0,manipulated_5,0.99,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11802,anthropic_sonnet5,10.0,hidden,,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,anthropic_sonnet5,10.0,true_confidence_visible,0.6,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,anthropic_sonnet5,10.0,manipulated_1,0.8,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,anthropic_sonnet5,10.0,manipulated_2,0.88,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,anthropic_sonnet5,10.0,manipulated_3,0.89,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,anthropic_sonnet5,10.0,manipulated_4,0.91,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,anthropic_sonnet5,10.0,manipulated_5,0.99,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,anthropic_sonnet5,20.0,hidden,,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,anthropic_sonnet5,20.0,true_confidence_visible,0.6,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,anthropic_sonnet5,20.0,manipulated_1,0.9,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,anthropic_sonnet5,20.0,manipulated_2,0.93,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,anthropic_sonnet5,20.0,manipulated_3,0.94,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,anthropic_sonnet5,20.0,manipulated_4,0.96,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,anthropic_sonnet5,20.0,manipulated_5,0.99,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,openai_gpt56_sol,10.0,hidden,,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,openai_gpt56_sol,10.0,true_confidence_visible,0.97,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11802,openai_gpt56_sol,10.0,manipulated_1,0.8,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,openai_gpt56_sol,10.0,manipulated_2,0.88,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,openai_gpt56_sol,10.0,manipulated_3,0.89,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,openai_gpt56_sol,10.0,manipulated_4,0.91,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11802,openai_gpt56_sol,10.0,manipulated_5,0.99,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11802,openai_gpt56_sol,20.0,hidden,,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,openai_gpt56_sol,20.0,true_confidence_visible,0.97,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11802,openai_gpt56_sol,20.0,manipulated_1,0.9,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,openai_gpt56_sol,20.0,manipulated_2,0.93,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,openai_gpt56_sol,20.0,manipulated_3,0.94,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:11802,openai_gpt56_sol,20.0,manipulated_4,0.96,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:11802,openai_gpt56_sol,20.0,manipulated_5,0.99,False,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:1731,anthropic_sonnet5,10.0,hidden,,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,anthropic_sonnet5,10.0,true_confidence_visible,0.65,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,anthropic_sonnet5,10.0,manipulated_1,0.8,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,anthropic_sonnet5,10.0,manipulated_2,0.88,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,anthropic_sonnet5,10.0,manipulated_3,0.89,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,anthropic_sonnet5,10.0,manipulated_4,0.91,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,anthropic_sonnet5,10.0,manipulated_5,0.99,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,anthropic_sonnet5,20.0,hidden,,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,anthropic_sonnet5,20.0,true_confidence_visible,0.65,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,anthropic_sonnet5,20.0,manipulated_1,0.9,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,anthropic_sonnet5,20.0,manipulated_2,0.93,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,anthropic_sonnet5,20.0,manipulated_3,0.94,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,anthropic_sonnet5,20.0,manipulated_4,0.96,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,anthropic_sonnet5,20.0,manipulated_5,0.99,False,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,openai_gpt56_sol,10.0,hidden,,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,openai_gpt56_sol,10.0,true_confidence_visible,0.86,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,openai_gpt56_sol,10.0,manipulated_1,0.8,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,openai_gpt56_sol,10.0,manipulated_2,0.88,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,openai_gpt56_sol,10.0,manipulated_3,0.89,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,openai_gpt56_sol,10.0,manipulated_4,0.91,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:1731,openai_gpt56_sol,10.0,manipulated_5,0.99,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:1731,openai_gpt56_sol,20.0,hidden,,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,openai_gpt56_sol,20.0,true_confidence_visible,0.86,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,openai_gpt56_sol,20.0,manipulated_1,0.9,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,openai_gpt56_sol,20.0,manipulated_2,0.93,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,openai_gpt56_sol,20.0,manipulated_3,0.94,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:1731,openai_gpt56_sol,20.0,manipulated_4,0.96,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:1731,openai_gpt56_sol,20.0,manipulated_5,0.99,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2776,anthropic_sonnet5,10.0,hidden,,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2776,anthropic_sonnet5,10.0,true_confidence_visible,0.8,True,0,1,0.6666666666666666,0.6666666666666666,1
per_cell,mmlu_pro:test:2776,anthropic_sonnet5,10.0,manipulated_1,0.8,True,0,1,0.6666666666666666,0.6666666666666666,1
per_cell,mmlu_pro:test:2776,anthropic_sonnet5,10.0,manipulated_2,0.88,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2776,anthropic_sonnet5,10.0,manipulated_3,0.89,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2776,anthropic_sonnet5,10.0,manipulated_4,0.91,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2776,anthropic_sonnet5,10.0,manipulated_5,0.99,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2776,anthropic_sonnet5,20.0,hidden,,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2776,anthropic_sonnet5,20.0,true_confidence_visible,0.8,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:2776,anthropic_sonnet5,20.0,manipulated_1,0.9,True,0,1,0.6666666666666666,0.6666666666666666,0
per_cell,mmlu_pro:test:2776,anthropic_sonnet5,20.0,manipulated_2,0.93,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2776,anthropic_sonnet5,20.0,manipulated_3,0.94,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2776,anthropic_sonnet5,20.0,manipulated_4,0.96,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2776,anthropic_sonnet5,20.0,manipulated_5,0.99,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2776,openai_gpt56_sol,10.0,hidden,,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2776,openai_gpt56_sol,10.0,true_confidence_visible,0.99,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2776,openai_gpt56_sol,10.0,manipulated_1,0.8,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:2776,openai_gpt56_sol,10.0,manipulated_2,0.88,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:2776,openai_gpt56_sol,10.0,manipulated_3,0.89,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:2776,openai_gpt56_sol,10.0,manipulated_4,0.91,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2776,openai_gpt56_sol,10.0,manipulated_5,0.99,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2776,openai_gpt56_sol,20.0,hidden,,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2776,openai_gpt56_sol,20.0,true_confidence_visible,0.99,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2776,openai_gpt56_sol,20.0,manipulated_1,0.9,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:2776,openai_gpt56_sol,20.0,manipulated_2,0.93,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:2776,openai_gpt56_sol,20.0,manipulated_3,0.94,True,1,0,0.0,1.0,1
per_cell,mmlu_pro:test:2776,openai_gpt56_sol,20.0,manipulated_4,0.96,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2776,openai_gpt56_sol,20.0,manipulated_5,0.99,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2849,anthropic_sonnet5,10.0,hidden,,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2849,anthropic_sonnet5,10.0,true_confidence_visible,0.93,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2849,anthropic_sonnet5,10.0,manipulated_1,0.8,True,0,1,0.6666666666666666,0.6666666666666666,0
per_cell,mmlu_pro:test:2849,anthropic_sonnet5,10.0,manipulated_2,0.88,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2849,anthropic_sonnet5,10.0,manipulated_3,0.89,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2849,anthropic_sonnet5,10.0,manipulated_4,0.91,True,1,0,0.0,0.0,0
per_cell,mmlu_pro:test:2849,anthropic_sonnet5,10.0,manipulated_5,0.99,True,1,0,0.0,0.0,0
