ai_action,confidence_visibility,error_cost,example_id,human_action,is_correct,model_id,probability_correct,prompt_family
VERIFY_FIRST,hidden,10.0,mmlu_pro:test:10424,USE_UNVERIFIED,True,openai_gpt56_sol,0.01,v2_owner_match_v1
VERIFY_FIRST,hidden,2.0,mmlu_pro:test:10424,USE_UNVERIFIED,True,openai_gpt56_sol,0.01,v2_owner_match_v1
USE_UNVERIFIED,visible,20.0,mmlu_pro:test:10456,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.65,v2_owner_match_v1
VERIFY_FIRST,visible,20.0,mmlu_pro:test:10459,USE_UNVERIFIED,True,anthropic_sonnet5,0.85,v2_owner_match_v1
USE_UNVERIFIED,hidden,2.0,mmlu_pro:test:10459,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
VERIFY_FIRST,hidden,5.0,mmlu_pro:test:10459,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
VERIFY_FIRST,visible,10.0,mmlu_pro:test:10459,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
USE_UNVERIFIED,hidden,10.0,mmlu_pro:test:10463,VERIFY_FIRST,True,anthropic_sonnet5,0.85,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:10463,VERIFY_FIRST,True,anthropic_sonnet5,0.85,v2_owner_match_v1
VERIFY_FIRST,visible,2.0,mmlu_pro:test:10463,USE_UNVERIFIED,True,anthropic_sonnet5,0.85,v2_owner_match_v1
VERIFY_FIRST,hidden,20.0,mmlu_pro:test:10466,USE_UNVERIFIED,True,anthropic_sonnet5,0.75,v2_owner_match_v1
USE_UNVERIFIED,hidden,20.0,mmlu_pro:test:10483,VERIFY_FIRST,True,openai_gpt56_sol,0.99,v2_owner_match_v1
VERIFY_FIRST,hidden,10.0,mmlu_pro:test:10485,USE_UNVERIFIED,True,anthropic_sonnet5,0.75,v2_owner_match_v1
VERIFY_FIRST,hidden,2.0,mmlu_pro:test:10485,USE_UNVERIFIED,False,openai_gpt56_sol,0.82,v2_owner_match_v1
VERIFY_FIRST,hidden,20.0,mmlu_pro:test:10485,USE_UNVERIFIED,False,openai_gpt56_sol,0.82,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:10485,VERIFY_FIRST,False,openai_gpt56_sol,0.82,v2_owner_match_v1
USE_UNVERIFIED,visible,2.0,mmlu_pro:test:10485,VERIFY_FIRST,False,xai_grok420_nonreasoning,0.65,v2_owner_match_v1
VERIFY_FIRST,hidden,2.0,mmlu_pro:test:10486,USE_UNVERIFIED,True,anthropic_sonnet5,0.85,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:10486,VERIFY_FIRST,True,anthropic_sonnet5,0.85,v2_owner_match_v1
VERIFY_FIRST,hidden,10.0,mmlu_pro:test:10497,USE_UNVERIFIED,True,anthropic_sonnet5,0.7,v2_owner_match_v1
VERIFY_FIRST,hidden,5.0,mmlu_pro:test:10497,USE_UNVERIFIED,True,google_gemini38_flash,0.2,v2_owner_match_v1
VERIFY_FIRST,hidden,20.0,mmlu_pro:test:10514,USE_UNVERIFIED,True,anthropic_sonnet5,0.95,v2_owner_match_v1
VERIFY_FIRST,visible,10.0,mmlu_pro:test:10514,USE_UNVERIFIED,True,anthropic_sonnet5,0.95,v2_owner_match_v1
VERIFY_FIRST,hidden,20.0,mmlu_pro:test:10514,USE_UNVERIFIED,True,openai_gpt56_sol,0.999,v2_owner_match_v1
USE_UNVERIFIED,visible,2.0,mmlu_pro:test:10514,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.8,v2_owner_match_v1
VERIFY_FIRST,visible,5.0,mmlu_pro:test:10514,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.8,v2_owner_match_v1
VERIFY_FIRST,hidden,20.0,mmlu_pro:test:10518,USE_UNVERIFIED,True,anthropic_sonnet5,0.85,v2_owner_match_v1
VERIFY_FIRST,hidden,5.0,mmlu_pro:test:10518,USE_UNVERIFIED,True,anthropic_sonnet5,0.85,v2_owner_match_v1
VERIFY_FIRST,hidden,20.0,mmlu_pro:test:10536,USE_UNVERIFIED,True,anthropic_sonnet5,0.9,v2_owner_match_v1
VERIFY_FIRST,visible,5.0,mmlu_pro:test:10536,USE_UNVERIFIED,True,anthropic_sonnet5,0.9,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:10536,VERIFY_FIRST,False,xai_grok420_nonreasoning,0.8,v2_owner_match_v1
USE_UNVERIFIED,visible,2.0,mmlu_pro:test:10536,VERIFY_FIRST,False,xai_grok420_nonreasoning,0.8,v2_owner_match_v1
VERIFY_FIRST,visible,20.0,mmlu_pro:test:10536,USE_UNVERIFIED,False,xai_grok420_nonreasoning,0.8,v2_owner_match_v1
VERIFY_FIRST,visible,20.0,mmlu_pro:test:10539,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
USE_UNVERIFIED,visible,20.0,mmlu_pro:test:10543,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.95,v2_owner_match_v1
VERIFY_FIRST,visible,10.0,mmlu_pro:test:10550,USE_UNVERIFIED,True,anthropic_sonnet5,0.85,v2_owner_match_v1
USE_UNVERIFIED,hidden,10.0,mmlu_pro:test:10556,VERIFY_FIRST,True,openai_gpt56_sol,0.92,v2_owner_match_v1
USE_UNVERIFIED,hidden,10.0,mmlu_pro:test:10565,VERIFY_FIRST,False,google_gemini38_flash,0.85,v2_owner_match_v1
VERIFY_FIRST,hidden,5.0,mmlu_pro:test:10565,USE_UNVERIFIED,False,google_gemini38_flash,0.85,v2_owner_match_v1
USE_UNVERIFIED,visible,5.0,mmlu_pro:test:10565,VERIFY_FIRST,False,openai_gpt56_sol,0.76,v2_owner_match_v1
VERIFY_FIRST,hidden,20.0,mmlu_pro:test:10575,USE_UNVERIFIED,True,anthropic_sonnet5,0.9,v2_owner_match_v1
USE_UNVERIFIED,hidden,2.0,mmlu_pro:test:10575,VERIFY_FIRST,True,openai_gpt56_sol,0.99,v2_owner_match_v1
USE_UNVERIFIED,visible,20.0,mmlu_pro:test:10587,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.95,v2_owner_match_v1
VERIFY_FIRST,visible,5.0,mmlu_pro:test:10587,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.95,v2_owner_match_v1
VERIFY_FIRST,hidden,10.0,mmlu_pro:test:10601,USE_UNVERIFIED,True,openai_gpt56_sol,0.94,v2_owner_match_v1
USE_UNVERIFIED,hidden,2.0,mmlu_pro:test:10601,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.65,v2_owner_match_v1
USE_UNVERIFIED,visible,10.0,mmlu_pro:test:10601,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.65,v2_owner_match_v1
VERIFY_FIRST,visible,20.0,mmlu_pro:test:10601,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.65,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:10632,VERIFY_FIRST,True,google_gemini38_flash,0.95,v2_owner_match_v1
VERIFY_FIRST,visible,20.0,mmlu_pro:test:10632,USE_UNVERIFIED,True,google_gemini38_flash,0.95,v2_owner_match_v1
USE_UNVERIFIED,visible,5.0,mmlu_pro:test:10632,VERIFY_FIRST,False,xai_grok420_nonreasoning,0.65,v2_owner_match_v1
VERIFY_FIRST,hidden,10.0,mmlu_pro:test:1065,USE_UNVERIFIED,True,openai_gpt56_sol,0.88,v2_owner_match_v1
USE_UNVERIFIED,hidden,10.0,mmlu_pro:test:10659,VERIFY_FIRST,True,openai_gpt56_sol,0.99,v2_owner_match_v1
USE_UNVERIFIED,hidden,10.0,mmlu_pro:test:10667,VERIFY_FIRST,True,anthropic_sonnet5,0.7,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:10667,VERIFY_FIRST,True,anthropic_sonnet5,0.7,v2_owner_match_v1
VERIFY_FIRST,visible,5.0,mmlu_pro:test:10667,USE_UNVERIFIED,True,anthropic_sonnet5,0.7,v2_owner_match_v1
VERIFY_FIRST,hidden,20.0,mmlu_pro:test:10667,USE_UNVERIFIED,True,google_gemini38_flash,0.85,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:10667,VERIFY_FIRST,True,google_gemini38_flash,0.85,v2_owner_match_v1
USE_UNVERIFIED,hidden,10.0,mmlu_pro:test:10667,VERIFY_FIRST,True,openai_gpt56_sol,0.83,v2_owner_match_v1
USE_UNVERIFIED,hidden,10.0,mmlu_pro:test:10701,VERIFY_FIRST,True,openai_gpt56_sol,0.99,v2_owner_match_v1
USE_UNVERIFIED,hidden,20.0,mmlu_pro:test:10701,VERIFY_FIRST,True,openai_gpt56_sol,0.99,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:10701,VERIFY_FIRST,True,openai_gpt56_sol,0.99,v2_owner_match_v1
VERIFY_FIRST,hidden,2.0,mmlu_pro:test:10709,USE_UNVERIFIED,False,anthropic_sonnet5,0.72,v2_owner_match_v1
VERIFY_FIRST,hidden,5.0,mmlu_pro:test:10709,USE_UNVERIFIED,False,anthropic_sonnet5,0.72,v2_owner_match_v1
USE_UNVERIFIED,visible,2.0,mmlu_pro:test:10709,VERIFY_FIRST,True,google_gemini38_flash,0.95,v2_owner_match_v1
VERIFY_FIRST,visible,20.0,mmlu_pro:test:10746,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
VERIFY_FIRST,visible,5.0,mmlu_pro:test:10746,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
VERIFY_FIRST,hidden,10.0,mmlu_pro:test:10766,USE_UNVERIFIED,True,anthropic_sonnet5,0.72,v2_owner_match_v1
VERIFY_FIRST,hidden,5.0,mmlu_pro:test:10766,USE_UNVERIFIED,True,anthropic_sonnet5,0.72,v2_owner_match_v1
USE_UNVERIFIED,visible,2.0,mmlu_pro:test:10766,VERIFY_FIRST,True,anthropic_sonnet5,0.72,v2_owner_match_v1
USE_UNVERIFIED,hidden,2.0,mmlu_pro:test:10766,VERIFY_FIRST,True,openai_gpt56_sol,0.01,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:10766,VERIFY_FIRST,True,openai_gpt56_sol,0.01,v2_owner_match_v1
USE_UNVERIFIED,visible,10.0,mmlu_pro:test:10766,VERIFY_FIRST,False,xai_grok420_nonreasoning,0.4,v2_owner_match_v1
VERIFY_FIRST,visible,20.0,mmlu_pro:test:10766,USE_UNVERIFIED,False,xai_grok420_nonreasoning,0.4,v2_owner_match_v1
USE_UNVERIFIED,visible,5.0,mmlu_pro:test:10766,VERIFY_FIRST,False,xai_grok420_nonreasoning,0.4,v2_owner_match_v1
USE_UNVERIFIED,hidden,2.0,mmlu_pro:test:10767,VERIFY_FIRST,True,openai_gpt56_sol,0.99,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:10767,VERIFY_FIRST,True,openai_gpt56_sol,0.99,v2_owner_match_v1
VERIFY_FIRST,visible,10.0,mmlu_pro:test:10767,USE_UNVERIFIED,False,xai_grok420_nonreasoning,0.8,v2_owner_match_v1
VERIFY_FIRST,visible,10.0,mmlu_pro:test:10779,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
USE_UNVERIFIED,hidden,2.0,mmlu_pro:test:10782,VERIFY_FIRST,True,anthropic_sonnet5,0.72,v2_owner_match_v1
VERIFY_FIRST,hidden,10.0,mmlu_pro:test:10782,USE_UNVERIFIED,True,openai_gpt56_sol,0.94,v2_owner_match_v1
VERIFY_FIRST,hidden,20.0,mmlu_pro:test:10782,USE_UNVERIFIED,True,openai_gpt56_sol,0.94,v2_owner_match_v1
USE_UNVERIFIED,hidden,20.0,mmlu_pro:test:10784,VERIFY_FIRST,False,xai_grok420_nonreasoning,0.65,v2_owner_match_v1
USE_UNVERIFIED,visible,10.0,mmlu_pro:test:10784,VERIFY_FIRST,False,xai_grok420_nonreasoning,0.65,v2_owner_match_v1
USE_UNVERIFIED,visible,20.0,mmlu_pro:test:10784,VERIFY_FIRST,False,xai_grok420_nonreasoning,0.65,v2_owner_match_v1
USE_UNVERIFIED,visible,5.0,mmlu_pro:test:10784,VERIFY_FIRST,False,xai_grok420_nonreasoning,0.65,v2_owner_match_v1
USE_UNVERIFIED,hidden,2.0,mmlu_pro:test:10793,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
VERIFY_FIRST,hidden,20.0,mmlu_pro:test:10793,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:10793,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
VERIFY_FIRST,visible,20.0,mmlu_pro:test:10831,USE_UNVERIFIED,True,google_gemini38_flash,0.95,v2_owner_match_v1
USE_UNVERIFIED,hidden,10.0,mmlu_pro:test:10831,VERIFY_FIRST,True,openai_gpt56_sol,0.98,v2_owner_match_v1
VERIFY_FIRST,visible,10.0,mmlu_pro:test:10831,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.65,v2_owner_match_v1
VERIFY_FIRST,visible,5.0,mmlu_pro:test:10831,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.65,v2_owner_match_v1
VERIFY_FIRST,visible,2.0,mmlu_pro:test:10834,USE_UNVERIFIED,True,anthropic_sonnet5,0.7,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:10834,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.65,v2_owner_match_v1
VERIFY_FIRST,visible,10.0,mmlu_pro:test:10839,USE_UNVERIFIED,True,anthropic_sonnet5,0.85,v2_owner_match_v1
VERIFY_FIRST,visible,20.0,mmlu_pro:test:10839,USE_UNVERIFIED,True,anthropic_sonnet5,0.85,v2_owner_match_v1
USE_UNVERIFIED,visible,20.0,mmlu_pro:test:10839,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
USE_UNVERIFIED,hidden,20.0,mmlu_pro:test:10860,VERIFY_FIRST,True,openai_gpt56_sol,0.99,v2_owner_match_v1
VERIFY_FIRST,visible,20.0,mmlu_pro:test:10900,USE_UNVERIFIED,True,google_gemini38_flash,0.95,v2_owner_match_v1
VERIFY_FIRST,visible,20.0,mmlu_pro:test:10966,USE_UNVERIFIED,True,anthropic_sonnet5,0.95,v2_owner_match_v1
USE_UNVERIFIED,visible,10.0,mmlu_pro:test:10966,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
USE_UNVERIFIED,visible,5.0,mmlu_pro:test:10966,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
USE_UNVERIFIED,visible,20.0,mmlu_pro:test:11010,VERIFY_FIRST,True,google_gemini38_flash,0.95,v2_owner_match_v1
VERIFY_FIRST,visible,10.0,mmlu_pro:test:11032,USE_UNVERIFIED,True,anthropic_sonnet5,0.9,v2_owner_match_v1
VERIFY_FIRST,visible,5.0,mmlu_pro:test:11032,USE_UNVERIFIED,True,anthropic_sonnet5,0.9,v2_owner_match_v1
VERIFY_FIRST,hidden,10.0,mmlu_pro:test:11032,USE_UNVERIFIED,True,google_gemini38_flash,0.5,v2_owner_match_v1
VERIFY_FIRST,hidden,2.0,mmlu_pro:test:11032,USE_UNVERIFIED,True,google_gemini38_flash,0.5,v2_owner_match_v1
VERIFY_FIRST,hidden,20.0,mmlu_pro:test:11032,USE_UNVERIFIED,True,google_gemini38_flash,0.5,v2_owner_match_v1
USE_UNVERIFIED,hidden,20.0,mmlu_pro:test:11032,VERIFY_FIRST,False,openai_gpt56_sol,0.99,v2_owner_match_v1
VERIFY_FIRST,hidden,2.0,mmlu_pro:test:11034,USE_UNVERIFIED,True,anthropic_sonnet5,0.85,v2_owner_match_v1
VERIFY_FIRST,visible,2.0,mmlu_pro:test:11034,USE_UNVERIFIED,True,anthropic_sonnet5,0.85,v2_owner_match_v1
VERIFY_FIRST,hidden,10.0,mmlu_pro:test:11034,USE_UNVERIFIED,True,google_gemini38_flash,0.95,v2_owner_match_v1
USE_UNVERIFIED,visible,20.0,mmlu_pro:test:11034,VERIFY_FIRST,True,google_gemini38_flash,0.95,v2_owner_match_v1
VERIFY_FIRST,hidden,10.0,mmlu_pro:test:11034,USE_UNVERIFIED,True,openai_gpt56_sol,0.99,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:11034,VERIFY_FIRST,True,openai_gpt56_sol,0.99,v2_owner_match_v1
VERIFY_FIRST,hidden,20.0,mmlu_pro:test:11038,USE_UNVERIFIED,False,anthropic_sonnet5,0.7,v2_owner_match_v1
VERIFY_FIRST,visible,2.0,mmlu_pro:test:11038,USE_UNVERIFIED,False,google_gemini38_flash,0.5,v2_owner_match_v1
VERIFY_FIRST,visible,2.0,mmlu_pro:test:11038,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
VERIFY_FIRST,visible,20.0,mmlu_pro:test:11038,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
USE_UNVERIFIED,visible,5.0,mmlu_pro:test:11038,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
USE_UNVERIFIED,hidden,2.0,mmlu_pro:test:11059,VERIFY_FIRST,True,anthropic_sonnet5,0.65,v2_owner_match_v1
USE_UNVERIFIED,hidden,10.0,mmlu_pro:test:11059,VERIFY_FIRST,True,google_gemini38_flash,0.65,v2_owner_match_v1
USE_UNVERIFIED,hidden,5.0,mmlu_pro:test:11059,VERIFY_FIRST,True,google_gemini38_flash,0.65,v2_owner_match_v1
VERIFY_FIRST,hidden,2.0,mmlu_pro:test:11059,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.65,v2_owner_match_v1
VERIFY_FIRST,visible,5.0,mmlu_pro:test:11078,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
USE_UNVERIFIED,hidden,2.0,mmlu_pro:test:11084,VERIFY_FIRST,True,anthropic_sonnet5,0.7,v2_owner_match_v1
VERIFY_FIRST,visible,10.0,mmlu_pro:test:11093,USE_UNVERIFIED,True,google_gemini38_flash,0.9,v2_owner_match_v1
VERIFY_FIRST,hidden,2.0,mmlu_pro:test:11098,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.65,v2_owner_match_v1
VERIFY_FIRST,hidden,5.0,mmlu_pro:test:11098,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.65,v2_owner_match_v1
VERIFY_FIRST,hidden,2.0,mmlu_pro:test:11106,USE_UNVERIFIED,False,google_gemini38_flash,0.85,v2_owner_match_v1
VERIFY_FIRST,hidden,20.0,mmlu_pro:test:11106,USE_UNVERIFIED,False,google_gemini38_flash,0.85,v2_owner_match_v1
USE_UNVERIFIED,visible,20.0,mmlu_pro:test:11106,VERIFY_FIRST,False,xai_grok420_nonreasoning,0.3,v2_owner_match_v1
USE_UNVERIFIED,visible,5.0,mmlu_pro:test:11106,VERIFY_FIRST,False,xai_grok420_nonreasoning,0.3,v2_owner_match_v1
VERIFY_FIRST,visible,20.0,mmlu_pro:test:11134,USE_UNVERIFIED,True,anthropic_sonnet5,0.9,v2_owner_match_v1
USE_UNVERIFIED,hidden,10.0,mmlu_pro:test:11134,VERIFY_FIRST,True,openai_gpt56_sol,0.98,v2_owner_match_v1
USE_UNVERIFIED,hidden,20.0,mmlu_pro:test:11134,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
USE_UNVERIFIED,visible,10.0,mmlu_pro:test:11134,VERIFY_FIRST,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
VERIFY_FIRST,visible,20.0,mmlu_pro:test:11134,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
VERIFY_FIRST,visible,5.0,mmlu_pro:test:11134,USE_UNVERIFIED,True,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
VERIFY_FIRST,visible,10.0,mmlu_pro:test:11138,USE_UNVERIFIED,False,anthropic_sonnet5,0.85,v2_owner_match_v1
VERIFY_FIRST,visible,5.0,mmlu_pro:test:11138,USE_UNVERIFIED,False,anthropic_sonnet5,0.85,v2_owner_match_v1
USE_UNVERIFIED,visible,10.0,mmlu_pro:test:11138,VERIFY_FIRST,False,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
USE_UNVERIFIED,visible,20.0,mmlu_pro:test:11138,VERIFY_FIRST,False,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
VERIFY_FIRST,visible,5.0,mmlu_pro:test:11138,USE_UNVERIFIED,False,xai_grok420_nonreasoning,0.85,v2_owner_match_v1
