study_id,run_id,request_key,question_id,model_alias,model_endpoint,task,delta,q_delta,rendered_q_delta,parsed_action,verify,incorrect,reused_delta0,estimated_cost_usd,q1,input_tokens,output_tokens
,,verification:1f55c9e4126ca4128bbc19d5f34b45b5c7f68bbd6a6f87f8507a08a32740e661,mmlu_pro:test:164,openai_gpt56_sol,,mmlu,-0.75,0.9790638565595808,,USE_UNVERIFIED,False,False,False,0.003044,0.99,681,16
,,verification:debfff4503ff2017deef82a7bece66bdc7d81993e07ed3121d198a60752deb48,mmlu_pro:test:164,openai_gpt56_sol,,mmlu,0.75,0.9952512786303263,,USE_UNVERIFIED,False,False,False,0.003044,0.99,681,16
,,verification:7d8a248102cb113a0a413320ce70dbe2a8c621a0c4d04ed91546d084375ae78f,mmlu_pro:test:164,openai_gpt56_sol,,mmlu,1.5,0.9977512283699548,,USE_UNVERIFIED,False,False,False,0.003044,0.99,681,16
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:164,anthropic_sonnet5,claude-sonnet-5,mmlu,0.0,0.6,0.6,VERIFY_FIRST,True,True,True,0.0,,,
,,verification:ad66488171f983e8d9ecac941df09740175f148c59b0d399c00b02ed8f87b4db,mmlu_pro:test:164,anthropic_sonnet5,,mmlu,-1.5,0.25076529093399114,,VERIFY_FIRST,True,True,False,0.002438,0.6,1129,18
,,verification:2fa26eba17dba495ec0dd060bb92dd6a7a49d324cbe28ec23eb7557d1a2c378b,mmlu_pro:test:164,anthropic_sonnet5,,mmlu,-0.75,0.41470831990892604,,VERIFY_FIRST,True,True,False,0.002438,0.6,1129,18
,,verification:f5c500586e5f3b7affdb32853df2858ea8975ead22e5162964511fd7c8011b2c,mmlu_pro:test:164,anthropic_sonnet5,,mmlu,0.75,0.7605077250551816,,VERIFY_FIRST,True,True,False,0.002498,0.6,1129,24
,,verification:b01e938c965012fbdf679952c61aaf4d6dc344d7077c189252e65f4d0788c522,mmlu_pro:test:164,anthropic_sonnet5,,mmlu,1.5,0.8705088185971921,,VERIFY_FIRST,True,True,False,0.002538,0.6,1129,28
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:165,openai_gpt56_sol,gpt-5.6-sol,mmlu,0.0,0.99,0.99,USE_UNVERIFIED,False,False,True,0.0,,,
,,verification:44f9d408ff02c90088960515962d28050a7c19c2bfdc1685b2a243e53c9506fb,mmlu_pro:test:165,openai_gpt56_sol,,mmlu,-1.5,0.9566909942174234,,USE_UNVERIFIED,False,False,False,0.001684,0.99,341,16
,,verification:616d1a50f2cc1a0cd456da85bec158553e111e52004712b646992f8eda5e221a,mmlu_pro:test:165,openai_gpt56_sol,,mmlu,-0.75,0.9790638565595808,,USE_UNVERIFIED,False,False,False,0.001684,0.99,341,16
,,verification:61e930a0d8a056448b8251dd1560fec0495392e5f6bca375efb211f16712227f,mmlu_pro:test:165,openai_gpt56_sol,,mmlu,0.75,0.9952512786303263,,USE_UNVERIFIED,False,False,False,0.001684,0.99,341,16
,,verification:619c4d1ef3516203857d65903ca8a09ca37c1be97f6d3b97d2708a61af1df3d0,mmlu_pro:test:165,openai_gpt56_sol,,mmlu,1.5,0.9977512283699548,,USE_UNVERIFIED,False,False,False,0.001684,0.99,341,16
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:165,anthropic_sonnet5,claude-sonnet-5,mmlu,0.0,0.55,0.55,VERIFY_FIRST,True,False,True,0.0,,,
,,verification:5a172ee1149a3dafffd75eaaa73befaecb10406889ab6b3cac75fccd34860bcf,mmlu_pro:test:165,anthropic_sonnet5,,mmlu,-1.5,0.21427791554479267,,VERIFY_FIRST,True,False,False,0.001584,0.55,702,18
,,verification:2f32f63a514cdc37c97b65219b2bccfa875d96622215d11959c8c49a0bc54c58,mmlu_pro:test:165,anthropic_sonnet5,,mmlu,-0.75,0.366020029457121,,VERIFY_FIRST,True,False,False,0.001584,0.55,702,18
,,verification:8ddcdc770d487570e9a5447707813158cb12bc22dce25e7f3bea858620831a24,mmlu_pro:test:165,anthropic_sonnet5,,mmlu,0.75,0.721250040292954,,VERIFY_FIRST,True,False,False,0.001584,0.55,702,18
,,verification:bc170d4d01ddfc6cda923ef7fee278a0b2cea2582669a425633c0f5fd9978949,mmlu_pro:test:165,anthropic_sonnet5,,mmlu,1.5,0.8456223112993012,,VERIFY_FIRST,True,False,False,0.001584,0.55,702,18
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:175,openai_gpt56_sol,gpt-5.6-sol,mmlu,0.0,0.99,0.99,USE_UNVERIFIED,False,False,True,0.0,,,
,,verification:d9a709775510db65de2c8edf2c460bebfe655ec781044132ab5ed1665e8cb9e5,mmlu_pro:test:175,openai_gpt56_sol,,mmlu,-1.5,0.9566909942174234,,USE_UNVERIFIED,False,False,False,0.001748,0.99,357,16
,,verification:62bee0d6a2c3bdc3015600562fe5df4fad83ab39231da24baa10b4ebd6016bb8,mmlu_pro:test:175,openai_gpt56_sol,,mmlu,-0.75,0.9790638565595808,,USE_UNVERIFIED,False,False,False,0.001748,0.99,357,16
,,verification:178d59ef364aacb7b17d6f7f6eb01de6c33405e9e1aa34a70f1de7bd84ba2d04,mmlu_pro:test:175,openai_gpt56_sol,,mmlu,0.75,0.9952512786303263,,USE_UNVERIFIED,False,False,False,0.001748,0.99,357,16
,,verification:e53a4312203bc34abdbfa9a587fb0a2c415d9d9989779110ee0069a946eab4f7,mmlu_pro:test:175,openai_gpt56_sol,,mmlu,1.5,0.9977512283699548,,USE_UNVERIFIED,False,False,False,0.001748,0.99,357,16
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:175,anthropic_sonnet5,claude-sonnet-5,mmlu,0.0,0.72,0.72,VERIFY_FIRST,True,True,True,0.0,,,
,,verification:7bf125d01621b1a3c551d778c3b679af0a5a64304f67a9bdf1ab3991c7bc53ad,mmlu_pro:test:175,anthropic_sonnet5,,mmlu,-1.5,0.3645804170628424,,VERIFY_FIRST,True,True,False,0.001652,0.72,736,18
,,verification:8cab8e1230c498c6bb44fa056b76de31caa4b9fc34c8c0c110682a9d46e86a7e,mmlu_pro:test:175,anthropic_sonnet5,,mmlu,-0.75,0.5484627787629106,,VERIFY_FIRST,True,True,False,0.001828,0.72,824,18
,,verification:a9e1c97907c03dcdb8ecfa45ad90ddc83b6bffbe5e1e2c3581814e73a938e9f6,mmlu_pro:test:175,anthropic_sonnet5,,mmlu,0.75,0.8448100041326249,,VERIFY_FIRST,True,True,False,0.001722,0.72,736,25
,,verification:95c14e8fafaccec4b0bf6c5f32ac418e98265bcc8bf4453ba54b1b37c2807aa4,mmlu_pro:test:175,anthropic_sonnet5,,mmlu,1.5,0.9201554944517072,,VERIFY_FIRST,True,True,False,0.001692,0.72,736,22
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:209,openai_gpt56_sol,gpt-5.6-sol,mmlu,0.0,0.999,0.999,USE_UNVERIFIED,False,False,True,0.0,,,
,,verification:ef3f3e5e0388a9a25de4f7b253215824bbf5a7ac18e55e2edaa4e904af70e61a,mmlu_pro:test:209,openai_gpt56_sol,,mmlu,-1.5,0.9955338606382643,,USE_UNVERIFIED,False,False,False,0.001704,0.999,346,16
,,verification:790e7ce60ae92264a1139f67a882f375b56555b510302915f9cef174f7ea30ad,mmlu_pro:test:209,openai_gpt56_sol,,mmlu,-0.75,0.9978853620340306,,USE_UNVERIFIED,False,False,False,0.001704,0.999,346,16
,,verification:3a02ab5d4fd60b17144995ba424d4dde2b373361e733e292b3c29fcea17e8955,mmlu_pro:test:209,openai_gpt56_sol,,mmlu,0.75,0.9995273840792915,,USE_UNVERIFIED,False,False,False,0.001704,0.999,346,16
,,verification:ebec324d1bfa2354d3122bc7f18297c6fbf67dc9d5c0d26ffd0b3627b3c37068,mmlu_pro:test:209,openai_gpt56_sol,,mmlu,1.5,0.9997766963619902,,USE_UNVERIFIED,False,False,False,0.001704,0.999,346,16
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:209,anthropic_sonnet5,claude-sonnet-5,mmlu,0.0,0.9,0.9,VERIFY_FIRST,True,False,True,0.0,,,
,,verification:d7dd23d6f6930ea44c8fcaace96536a4638cb1c34ff1d50cad5728bbf7e502e9,mmlu_pro:test:209,anthropic_sonnet5,,mmlu,-1.5,0.6675721382568807,,VERIFY_FIRST,True,False,False,0.001584,0.9,702,18
,,verification:a72d96c77f44f4846901e1d3cf525f17302200a5220a83f80072fb6aa8c81054,mmlu_pro:test:209,anthropic_sonnet5,,mmlu,-0.75,0.8095709261986922,,VERIFY_FIRST,True,False,False,0.001644,0.9,702,24
,,verification:5a129b1235e42ffe1c2e8e9d1ddc1887ba38af79a54fb4d4478965c9d59fded8,mmlu_pro:test:209,anthropic_sonnet5,,mmlu,0.75,0.950132150174834,,VERIFY_FIRST,True,False,False,0.001604,0.9,702,20
,,verification:d5d607c6cd59087a5460c0cd9320a5b84617e92e0a5658281d0569cbe00539a2,mmlu_pro:test:209,anthropic_sonnet5,,mmlu,1.5,0.9758075451312032,,VERIFY_FIRST,True,False,False,0.001604,0.9,702,20
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:219,openai_gpt56_sol,gpt-5.6-sol,mmlu,0.0,0.99,0.99,USE_UNVERIFIED,False,False,True,0.0,,,
,,verification:0a5f991b78cd43c5d8e9bc162d4e2172ccbf6360b19c6dffc86c1318157e2fe7,mmlu_pro:test:219,openai_gpt56_sol,,mmlu,-1.5,0.9566909942174234,,USE_UNVERIFIED,False,False,False,0.001836,0.99,379,16
,,verification:5a909517e653adac44efb7abe66c6c5eca8c2de8baf3092822f1690d7cb040a8,mmlu_pro:test:219,openai_gpt56_sol,,mmlu,-0.75,0.9790638565595808,,USE_UNVERIFIED,False,False,False,0.001836,0.99,379,16
,,verification:09bb3dd7fa843348ff51358a27380e7b7fb4e17b93af80980613aaa44ff6b81a,mmlu_pro:test:219,openai_gpt56_sol,,mmlu,0.75,0.9952512786303263,,USE_UNVERIFIED,False,False,False,0.001836,0.99,379,16
,,verification:88f6393afa6ff42f0726380a5cbfee03c863af9649d440d18d806a9a4055532d,mmlu_pro:test:219,openai_gpt56_sol,,mmlu,1.5,0.9977512283699548,,USE_UNVERIFIED,False,False,False,0.001836,0.99,379,16
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:219,anthropic_sonnet5,claude-sonnet-5,mmlu,0.0,0.95,0.95,USE_UNVERIFIED,False,False,True,0.0,,,
,,verification:93c9ed9defe517d505fe53e966f8b38ec68faf9bfc6eb8d2bdb5a20f868580b8,mmlu_pro:test:219,anthropic_sonnet5,,mmlu,-1.5,0.8091411117439881,,VERIFY_FIRST,True,False,False,0.00183,0.95,825,18
,,verification:9a958fff9132315fcb2123c8663f4ed0381b26d43d3d19a3601c5b3234c4f036,mmlu_pro:test:219,anthropic_sonnet5,,mmlu,-0.75,0.899749016671533,,USE_UNVERIFIED,False,False,False,0.00184,0.95,825,19
,,verification:27499bebfb30a548c67738dfe9da90187639342224dcd6f29339f3c711539416,mmlu_pro:test:219,anthropic_sonnet5,,mmlu,0.75,0.9757416977817458,,USE_UNVERIFIED,False,False,False,0.00184,0.95,825,19
,,verification:c2ec421d5bc460a931595b36ecef2e6411b2bee7ab444ac93b7e81b5a685ef20,mmlu_pro:test:219,anthropic_sonnet5,,mmlu,1.5,0.9883926208536525,,USE_UNVERIFIED,False,False,False,0.00184,0.95,825,19
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:249,openai_gpt56_sol,gpt-5.6-sol,mmlu,0.0,0.99,0.99,USE_UNVERIFIED,False,False,True,0.0,,,
,,verification:d6d528c842b8bae8cff9da5c59de5ebae370df207e5d1ae6ac93f363767b5c3b,mmlu_pro:test:249,openai_gpt56_sol,,mmlu,-1.5,0.9566909942174234,,USE_UNVERIFIED,False,False,False,0.00162,0.99,325,16
,,verification:375728fb22c102c6c2bb59799fa906dcffec690396814e5bf3c742de5d7dfdfc,mmlu_pro:test:249,openai_gpt56_sol,,mmlu,-0.75,0.9790638565595808,,USE_UNVERIFIED,False,False,False,0.00162,0.99,325,16
,,verification:c2c9e2881314c6a299091eed01ae59094ee4ed78afa712d039d11a333bf19f7a,mmlu_pro:test:249,openai_gpt56_sol,,mmlu,0.75,0.9952512786303263,,USE_UNVERIFIED,False,False,False,0.00162,0.99,325,16
,,verification:aa6ade1b721e37d6b14c20d8847baaaa564be286175d315607b0e9f964a8cd74,mmlu_pro:test:249,openai_gpt56_sol,,mmlu,1.5,0.9977512283699548,,USE_UNVERIFIED,False,False,False,0.00162,0.99,325,16
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:249,anthropic_sonnet5,claude-sonnet-5,mmlu,0.0,0.8,0.8,VERIFY_FIRST,True,False,True,0.0,,,
,,verification:e0966079920caae6888d5a3fc609ea091b20f3b5bf3120736b4c94aec53e4c08,mmlu_pro:test:249,anthropic_sonnet5,,mmlu,-1.5,0.4716041777561374,,VERIFY_FIRST,True,False,False,0.001672,0.8,696,28
,,verification:9171ec77fb9f1b9e020ed2085989e510d57dada9f72d6ccad2b92b5f673222c5,mmlu_pro:test:249,anthropic_sonnet5,,mmlu,-0.75,0.6539153161904067,,VERIFY_FIRST,True,False,False,0.001642,0.8,696,25
,,verification:cd0c224646e2e8df0286b474f9aa4af1906367588fd15639a92597af6938ef5b,mmlu_pro:test:249,anthropic_sonnet5,,mmlu,0.75,0.8943810738295788,,VERIFY_FIRST,True,False,False,0.001602,0.8,696,21
,,verification:adcb05c62b10029d1f22f9d1e7d1fa6e06a547962947b4887c32ed6d6a9513f5,mmlu_pro:test:249,anthropic_sonnet5,,mmlu,1.5,0.9471647447066639,,VERIFY_FIRST,True,False,False,0.001612,0.8,696,22
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:267,openai_gpt56_sol,gpt-5.6-sol,mmlu,0.0,0.99,0.99,USE_UNVERIFIED,False,False,True,0.0,,,
,,verification:4f8e787c8ea2e105d60e07d05b605ffcaff981875121d840cc3c3cd0557bb92a,mmlu_pro:test:267,openai_gpt56_sol,,mmlu,-1.5,0.9566909942174234,,USE_UNVERIFIED,False,False,False,0.001508,0.99,297,16
,,verification:f7bf2ead9f405254b4b2c4c0244bd5cabeb47fa04276eef58c82c9cd1e42dd65,mmlu_pro:test:267,openai_gpt56_sol,,mmlu,-0.75,0.9790638565595808,,USE_UNVERIFIED,False,False,False,0.001508,0.99,297,16
,,verification:988e19a501e3dfe8fbeb513d32354af8596fced93fc979bcdce7f156a3ebb7f7,mmlu_pro:test:267,openai_gpt56_sol,,mmlu,0.75,0.9952512786303263,,USE_UNVERIFIED,False,False,False,0.001508,0.99,297,16
,,verification:10ee0e335087a3e72dc0a9946fa54f9fe3bb4521d06fa523caeadbb6ec6eac93,mmlu_pro:test:267,openai_gpt56_sol,,mmlu,1.5,0.9977512283699548,,USE_UNVERIFIED,False,False,False,0.001508,0.99,297,16
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:267,anthropic_sonnet5,claude-sonnet-5,mmlu,0.0,0.97,0.97,USE_UNVERIFIED,False,False,True,0.0,,,
,,verification:77a9ad34ba7726b1c8f830866ef7ed073e75627931c60820cc3faa8375a6e51d,mmlu_pro:test:267,anthropic_sonnet5,,mmlu,-1.5,0.8782646654075883,,USE_UNVERIFIED,False,False,False,0.001562,0.97,686,19
,,verification:8715a3f05efbfa6adcbb7af2dcad0e0a659f96e954616a93d706ec9a21eabb08,mmlu_pro:test:267,anthropic_sonnet5,,mmlu,-0.75,0.9385492153266495,,USE_UNVERIFIED,False,False,False,0.001562,0.97,686,19
,,verification:ee811353c82607fa7e5e2aa34691fbcca362e9a82e064d735f9f83ebd6ac03cc,mmlu_pro:test:267,anthropic_sonnet5,,mmlu,0.75,0.9856010829099389,,USE_UNVERIFIED,False,False,False,0.001562,0.97,686,19
,,verification:97864531774e3b7e2e8cbd354334092754c7c0bb5a2c3a886151c1ef69c8f3e3,mmlu_pro:test:267,anthropic_sonnet5,,mmlu,1.5,0.9931463636953963,,USE_UNVERIFIED,False,False,False,0.001562,0.97,686,19
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:304,openai_gpt56_sol,gpt-5.6-sol,mmlu,0.0,0.99,0.99,USE_UNVERIFIED,False,False,True,0.0,,,
,,verification:d85c7dcb1afb08652e0111fbbe85868cb76be07b537b9db19e503a62a5fa088b,mmlu_pro:test:304,openai_gpt56_sol,,mmlu,-1.5,0.9566909942174234,,USE_UNVERIFIED,False,False,False,0.001684,0.99,341,16
,,verification:aeb9835c622f336014bd6f7b834dea7b9e53142d7a1a2213cbb7abfbdd031334,mmlu_pro:test:304,openai_gpt56_sol,,mmlu,-0.75,0.9790638565595808,,USE_UNVERIFIED,False,False,False,0.001684,0.99,341,16
,,verification:2d950c1908a9a07d0184d1e3d486d7a3a545b2fc4f147376b31bfc2fb3e9923e,mmlu_pro:test:304,openai_gpt56_sol,,mmlu,0.75,0.9952512786303263,,USE_UNVERIFIED,False,False,False,0.001684,0.99,341,16
,,verification:980133a2ffc340c5d8f3eb5d10e847dd9e299ee56e602ff1e214c62b7ed618a7,mmlu_pro:test:304,openai_gpt56_sol,,mmlu,1.5,0.9977512283699548,,USE_UNVERIFIED,False,False,False,0.001684,0.99,341,16
study014_offset_v1,study014-offset,reused_true_q_visible,mmlu_pro:test:304,anthropic_sonnet5,claude-sonnet-5,mmlu,0.0,0.6,0.6,VERIFY_FIRST,True,False,True,0.0,,,
,,verification:88a6672620a183f1f6447ed498e253fa271e2348f119e1a256f2e66422952032,mmlu_pro:test:304,anthropic_sonnet5,,mmlu,-1.5,0.25076529093399114,,VERIFY_FIRST,True,False,False,0.001616,0.6,708,20
