task,question_id,model_alias,delta,q1,q_delta,rendered_q_delta,incorrect,reuse_delta0,prompt_sha256
mmlu,mmlu_pro:test:140,anthropic_sonnet5,0.75,0.85,0.9230552212606222,0.923055221261,False,False,15dfd72f5da6031f89f9c1d8eeefc1a157524d6159b969702c6e2db5950a853e
mmlu,mmlu_pro:test:140,anthropic_sonnet5,1.5,0.85,0.9621158137182997,0.962115813718,False,False,1da624ce74b56ad959947164ea5dbbd9cd77261256417021ac549723bc4d6229
mmlu,mmlu_pro:test:151,openai_gpt56_sol,-1.5,0.99,0.9566909942174234,0.956690994217,False,False,badc8ad43b967056bb7cf48a7a1e9cbfdaee88f82f857377f9c03e2fce0d1ede
mmlu,mmlu_pro:test:151,openai_gpt56_sol,-0.75,0.99,0.9790638565595808,0.97906385656,False,False,a9c4865ab9e25b868705447f2e78afb7b3b9452622db23d687047bec7f36bab4
mmlu,mmlu_pro:test:151,openai_gpt56_sol,0.0,0.99,0.99,0.99,False,True,17a140cc1994a948402bceb24053b1ae6fb549759eaef0960ba649abcab0b7ef
mmlu,mmlu_pro:test:151,openai_gpt56_sol,0.75,0.99,0.9952512786303263,0.99525127863,False,False,bceeb1fea5be01fa196e9a83e96a56ada324183cc5c91c942ea347f4924328c2
mmlu,mmlu_pro:test:151,openai_gpt56_sol,1.5,0.99,0.9977512283699548,0.99775122837,False,False,04c96bb2cfac14e29943e5c09c1f0245a59b4fd22747291d46b940d4ae111049
mmlu,mmlu_pro:test:151,anthropic_sonnet5,-1.5,0.72,0.3645804170628424,0.364580417063,False,False,8118785029375473e4d84786db6798f37099257d5fd6f9a149c9cc1daa534f7f
mmlu,mmlu_pro:test:151,anthropic_sonnet5,-0.75,0.72,0.5484627787629106,0.548462778763,False,False,cf060a3b9a759c57d97931c9d475dd364773a50b315351031287ef362793648e
mmlu,mmlu_pro:test:151,anthropic_sonnet5,0.0,0.72,0.72,0.72,False,True,fc50c1b00ece2eb3b7f05fa384ebd34a8525ecc36fe7797a01d6e070449006bd
mmlu,mmlu_pro:test:151,anthropic_sonnet5,0.75,0.72,0.8448100041326249,0.844810004133,False,False,f9682baf5cf00b1e9373b3a9c73a902c5b06927f9eb60d45817ac89b3add0383
mmlu,mmlu_pro:test:151,anthropic_sonnet5,1.5,0.72,0.9201554944517072,0.920155494452,False,False,d82850c42e3f3afbf37dcda0d968a4cc327eb2f07c363909592edff6c1650912
mmlu,mmlu_pro:test:158,openai_gpt56_sol,-1.5,0.99,0.9566909942174234,0.956690994217,False,False,c024b4037b53ecbd7a84206eb4293215a745b052c0655b65c9a864cbb7c044a6
mmlu,mmlu_pro:test:158,openai_gpt56_sol,-0.75,0.99,0.9790638565595808,0.97906385656,False,False,6a462ab183e121bd4c52da024f1fa2e48bf921a703bb5ac2c040155fcb6849ec
mmlu,mmlu_pro:test:158,openai_gpt56_sol,0.0,0.99,0.99,0.99,False,True,279d30a61e24b81b0a5ae05e33ae9eab18eba6c181816b0b276210aa9841d9eb
mmlu,mmlu_pro:test:158,openai_gpt56_sol,0.75,0.99,0.9952512786303263,0.99525127863,False,False,d087918ed2c26fc2556dc73e9583adeda557712ef99950ed7f56a167a9c52949
mmlu,mmlu_pro:test:158,openai_gpt56_sol,1.5,0.99,0.9977512283699548,0.99775122837,False,False,341dc06e4f7e80d5c93cf92367d8a78694c6bd7f56f80f3de6b61ae18c04bef7
mmlu,mmlu_pro:test:158,anthropic_sonnet5,-1.5,0.9,0.6675721382568807,0.667572138257,False,False,e4e52296b59d7e7d0f74b9ba4fd1eed59ddf2e202f8eebd493bbcd8c74b06897
mmlu,mmlu_pro:test:158,anthropic_sonnet5,-0.75,0.9,0.8095709261986922,0.809570926199,False,False,a228555bf72bf3a1a55e1b550b8f09041619d810b764419dd23de10754a87f18
mmlu,mmlu_pro:test:158,anthropic_sonnet5,0.0,0.9,0.9,0.9,False,True,28bdaf44e7b2e568a6eedb7de86039c3a18129e269b444568f86f78bb1ce9ab4
mmlu,mmlu_pro:test:158,anthropic_sonnet5,0.75,0.9,0.950132150174834,0.950132150175,False,False,1532b895f75166e74d2319fec4a6397668e35e38342e1d20030882d3cabd6a5b
mmlu,mmlu_pro:test:158,anthropic_sonnet5,1.5,0.9,0.9758075451312032,0.975807545131,False,False,a373c70a0f89644a9b711ed8ad337cedfaabb334fb874b66a12816c3ba8ba226
mmlu,mmlu_pro:test:164,openai_gpt56_sol,-1.5,0.99,0.9566909942174234,0.956690994217,False,False,f5c2696b294c6fa9e7673230591e1875326ed995bb583d7b1baab22477e92a7c
mmlu,mmlu_pro:test:164,openai_gpt56_sol,-0.75,0.99,0.9790638565595808,0.97906385656,False,False,f758338dc122bd17292741def46772b774ecae0725d8ecbc84f0e4dd7efcdaaf
mmlu,mmlu_pro:test:164,openai_gpt56_sol,0.0,0.99,0.99,0.99,False,True,3c2d554b612ee3a95da2a25392fb29dbe57c4a7785615144cf57d5b185e8c510
mmlu,mmlu_pro:test:164,openai_gpt56_sol,0.75,0.99,0.9952512786303263,0.99525127863,False,False,ca5bf437020d804b6a4188fb30e7901709b530706f58ff75f3f4dbd9d88b7df2
mmlu,mmlu_pro:test:164,openai_gpt56_sol,1.5,0.99,0.9977512283699548,0.99775122837,False,False,805defd429d92c6f054a9a0dde6171afb3d0dec9965583e83818e8d6ace7574d
mmlu,mmlu_pro:test:164,anthropic_sonnet5,-1.5,0.6,0.25076529093399114,0.250765290934,True,False,57c1158b586884454e8f835506556e8dcef5fbd0d2eb2e3f510ea45c007d97bc
mmlu,mmlu_pro:test:164,anthropic_sonnet5,-0.75,0.6,0.41470831990892604,0.414708319909,True,False,02d9d35adac9f4d5e7dfd3b133a4b87b889d6f23515f648dcca6c3f9538185d7
mmlu,mmlu_pro:test:164,anthropic_sonnet5,0.0,0.6,0.6,0.6,True,True,5fd884583c1f4ffec348bd9d4b5cddc92ec85e7ec1b85bf6667205a4d46509f3
mmlu,mmlu_pro:test:164,anthropic_sonnet5,0.75,0.6,0.7605077250551816,0.760507725055,True,False,b6e23aba1131a576a3a12cc4bda4d9e1cddfebe0fad28c79164b885b6029f10e
mmlu,mmlu_pro:test:164,anthropic_sonnet5,1.5,0.6,0.8705088185971921,0.870508818597,True,False,39a9c64d312ce33f1b3ca4f114791e573114c9425158c81e59af1de7a423bee0
mmlu,mmlu_pro:test:165,openai_gpt56_sol,-1.5,0.99,0.9566909942174234,0.956690994217,False,False,0229905b73818ea08cf492a1b784933d1a4264dc8f3d49929c8129ad428ac86a
mmlu,mmlu_pro:test:165,openai_gpt56_sol,-0.75,0.99,0.9790638565595808,0.97906385656,False,False,d0b80a16bc3ca490b0ddd19df60c8aae4b8b92ee089889ce03e917587d3d7e27
mmlu,mmlu_pro:test:165,openai_gpt56_sol,0.0,0.99,0.99,0.99,False,True,f8de7cd828505fe0f5e77621e1ba76216439f20846c6b5b41f130af644a4840d
mmlu,mmlu_pro:test:165,openai_gpt56_sol,0.75,0.99,0.9952512786303263,0.99525127863,False,False,cae70c1b5890026efe5c992d5e562c04dfcd3bbf0cdc6dcecc99552b5edc3836
mmlu,mmlu_pro:test:165,openai_gpt56_sol,1.5,0.99,0.9977512283699548,0.99775122837,False,False,17bc245e1d6cb2be5d21ff60e5791aa9aa5efbf501e187173ece892087aad3c9
mmlu,mmlu_pro:test:165,anthropic_sonnet5,-1.5,0.55,0.21427791554479267,0.214277915545,False,False,09344a769872a5928c091639ad70e102abf9bd805463ca8e1ab8c51c71486e31
mmlu,mmlu_pro:test:165,anthropic_sonnet5,-0.75,0.55,0.366020029457121,0.366020029457,False,False,bb2d4c45d8b8fbcc85a99fedcd4edbacdf642f9ed228d4a4453b70b8fd2d549a
mmlu,mmlu_pro:test:165,anthropic_sonnet5,0.0,0.55,0.55,0.55,False,True,289370b8316e0ee1b1048ca3e7b75fabc2f8cae93f6d0433d51093d81219bcaa
mmlu,mmlu_pro:test:165,anthropic_sonnet5,0.75,0.55,0.721250040292954,0.721250040293,False,False,81e665d040b67f9e23b5191d805a66d68d0a3f7831eaeab5a72221e11c3bfed1
mmlu,mmlu_pro:test:165,anthropic_sonnet5,1.5,0.55,0.8456223112993012,0.845622311299,False,False,53bfec51dacad98b84c7d36f026134d9b2e2fde2b9aef81f0b793a66577b868a
mmlu,mmlu_pro:test:175,openai_gpt56_sol,-1.5,0.99,0.9566909942174234,0.956690994217,False,False,24a38cf6b4b42b92da61e93d7078469de065e9f73a69ecc722bb1f996d85b50b
mmlu,mmlu_pro:test:175,openai_gpt56_sol,-0.75,0.99,0.9790638565595808,0.97906385656,False,False,1efaf041110e6b435403c40ca682c5e1b23eeface39ab6abc5a0c528c1d1c3a8
mmlu,mmlu_pro:test:175,openai_gpt56_sol,0.0,0.99,0.99,0.99,False,True,2f7f208a733add55d7c678d7726a9fae0b2f3423421f89d7debebcf6f0968e62
mmlu,mmlu_pro:test:175,openai_gpt56_sol,0.75,0.99,0.9952512786303263,0.99525127863,False,False,b56ba04df5eb364002e054c7b375fb5bcd9b328456a5fe237f7cbabe7a3cb4b7
mmlu,mmlu_pro:test:175,openai_gpt56_sol,1.5,0.99,0.9977512283699548,0.99775122837,False,False,3c6e379b8f514c3cb2a1a5d15eeb182b73699fbae6f890a59724ec55f3dab73c
mmlu,mmlu_pro:test:175,anthropic_sonnet5,-1.5,0.72,0.3645804170628424,0.364580417063,True,False,16471b4964c0db3db428a563f086c8cc0cc02bbc0e93a3b9e112b6d39cc0e6cc
mmlu,mmlu_pro:test:175,anthropic_sonnet5,-0.75,0.72,0.5484627787629106,0.548462778763,True,False,e136ba48f73f2562183f35f97356c959080f1838a6f3a2b93c70e65f383b32c2
mmlu,mmlu_pro:test:175,anthropic_sonnet5,0.0,0.72,0.72,0.72,True,True,e69d931ddb5ed0227be34814f0377a53409cdae456ca6f2209e1d30fa5a25e9e
mmlu,mmlu_pro:test:175,anthropic_sonnet5,0.75,0.72,0.8448100041326249,0.844810004133,True,False,1ec2d4a1d6815327e43957f6ddbf2288cf348406db5dce54840965c546b5fc23
mmlu,mmlu_pro:test:175,anthropic_sonnet5,1.5,0.72,0.9201554944517072,0.920155494452,True,False,e3f44a5d24fbc6c93400ad0ffbfe32c257de31986324bb74c6e574a89d05e3c6
mmlu,mmlu_pro:test:209,openai_gpt56_sol,-1.5,0.999,0.9955338606382643,0.995533860638,False,False,865c3ea9ccd08bfa865c8a1c9148b338ad3c4045af9c9f79591fa79d80188556
mmlu,mmlu_pro:test:209,openai_gpt56_sol,-0.75,0.999,0.9978853620340306,0.997885362034,False,False,9862718c640a941770ddf186f3f56047e02931e46f9c517476ee29fe3e564f25
mmlu,mmlu_pro:test:209,openai_gpt56_sol,0.0,0.999,0.999,0.999,False,True,9379dffb060679234cd44d13901923c11182c8465384aecc8a2de4f2153b42f1
mmlu,mmlu_pro:test:209,openai_gpt56_sol,0.75,0.999,0.9995273840792915,0.999527384079,False,False,5c57b5f24efde9403820c26f015ec18a5352af84e7fba3711444918246951baa
mmlu,mmlu_pro:test:209,openai_gpt56_sol,1.5,0.999,0.9997766963619902,0.999776696362,False,False,d6c083cc99a53d89cc451a3c6af565b827e3107a894b711dda6c0d928e2d8c40
mmlu,mmlu_pro:test:209,anthropic_sonnet5,-1.5,0.9,0.6675721382568807,0.667572138257,False,False,4d8bac7c1fdafe9e224504bb0f56161243010d48d944a8c6816c05e6cb954e9f
mmlu,mmlu_pro:test:209,anthropic_sonnet5,-0.75,0.9,0.8095709261986922,0.809570926199,False,False,06c9e15148e854c0b9ba8e8ed8544921ed327ba8da22b175f121882255dd3226
mmlu,mmlu_pro:test:209,anthropic_sonnet5,0.0,0.9,0.9,0.9,False,True,fb2bfab9f2f11cbbff1410fe3400f985db6e3ba3b3aedf64947922b0883f53ae
mmlu,mmlu_pro:test:209,anthropic_sonnet5,0.75,0.9,0.950132150174834,0.950132150175,False,False,51bf08fa2e8813315a5d10c919729556229d13091a2af077e9f2343410b6bfcb
mmlu,mmlu_pro:test:209,anthropic_sonnet5,1.5,0.9,0.9758075451312032,0.975807545131,False,False,f2bc84ecb2fbc1ca99be737fba7b23da70b398b665a57096a5a3fdce3f8e308b
mmlu,mmlu_pro:test:219,openai_gpt56_sol,-1.5,0.99,0.9566909942174234,0.956690994217,False,False,c5994be01ec0bad3a05bcc045f4293e1891215f766670714904cd5033eefd59e
mmlu,mmlu_pro:test:219,openai_gpt56_sol,-0.75,0.99,0.9790638565595808,0.97906385656,False,False,de5f741e6f67d559f08bdf3755e5a5af8dddf74332150ec45f4fdbdb82f5c6b5
mmlu,mmlu_pro:test:219,openai_gpt56_sol,0.0,0.99,0.99,0.99,False,True,816eb545a67e86375c910b25bf5faa50b0ccf968bc5532b40533e6715290df48
mmlu,mmlu_pro:test:219,openai_gpt56_sol,0.75,0.99,0.9952512786303263,0.99525127863,False,False,b0d91eed629ad03080b818692d983c40b6fddf55c62a21204bc6f6485ecdc684
mmlu,mmlu_pro:test:219,openai_gpt56_sol,1.5,0.99,0.9977512283699548,0.99775122837,False,False,5b33202c397ff69bc760e57aaebf7948df6759417aea4b391557db09fa79d087
mmlu,mmlu_pro:test:219,anthropic_sonnet5,-1.5,0.95,0.8091411117439881,0.809141111744,False,False,8175d070b32eb1bea69e29d7a7f9e75634f0c383993373e148a6ca2a4bd52444
mmlu,mmlu_pro:test:219,anthropic_sonnet5,-0.75,0.95,0.899749016671533,0.899749016672,False,False,b26ac75168ab1d64a7594a6deebb0d77f722d9cf176d6b9dcec8010df9044ea3
mmlu,mmlu_pro:test:219,anthropic_sonnet5,0.0,0.95,0.95,0.95,False,True,ce23712b9dc93125cbe235a402b45cc5219b9de39ef94b5d3e329ee9b363993c
mmlu,mmlu_pro:test:219,anthropic_sonnet5,0.75,0.95,0.9757416977817458,0.975741697782,False,False,3e96fb9519dcd743557080af23d1feb6a31d39fd03bd3b33fbcf13d7c98f1507
mmlu,mmlu_pro:test:219,anthropic_sonnet5,1.5,0.95,0.9883926208536525,0.988392620854,False,False,0435352ac0e93c80ce371476b9b5100fcb0a663206746a997721eaea48beda87
mmlu,mmlu_pro:test:249,openai_gpt56_sol,-1.5,0.99,0.9566909942174234,0.956690994217,False,False,727ef7c2b81966e83cbeb124f65e941e844049aa299392a830fc009d7141b2fc
mmlu,mmlu_pro:test:249,openai_gpt56_sol,-0.75,0.99,0.9790638565595808,0.97906385656,False,False,a5ddc1578326e08d92c48b24192bbfc286689763e34d08fb09f68c1a41f7b01b
mmlu,mmlu_pro:test:249,openai_gpt56_sol,0.0,0.99,0.99,0.99,False,True,a8e3e7a2217663a464a7722124231523ae069c54d4745a6afb0a4958b6c0a9c5
mmlu,mmlu_pro:test:249,openai_gpt56_sol,0.75,0.99,0.9952512786303263,0.99525127863,False,False,f6a366c5f5467afeaaf8c3a9995054ad408b4e7f066620c376a7353cf5108869
mmlu,mmlu_pro:test:249,openai_gpt56_sol,1.5,0.99,0.9977512283699548,0.99775122837,False,False,5d73574f7c1fa9e3660373a784d75a1a934a0660c1cc065a45113dc9ab0a954f
mmlu,mmlu_pro:test:249,anthropic_sonnet5,-1.5,0.8,0.4716041777561374,0.471604177756,False,False,f2be6be72e90c3ac58b8952c1c6ef7c85ca25b4419f26c8a63372215b69a2a43
mmlu,mmlu_pro:test:249,anthropic_sonnet5,-0.75,0.8,0.6539153161904067,0.65391531619,False,False,042a2301a69d40c4c4c72b08877ffdcd8073f9791d8cb339c8cdf5c088b9da12
mmlu,mmlu_pro:test:249,anthropic_sonnet5,0.0,0.8,0.8,0.8,False,True,e0fe79fa1d366b1a83839280195e02f009bce85bada0124f63f23e8888041b2f
mmlu,mmlu_pro:test:249,anthropic_sonnet5,0.75,0.8,0.8943810738295788,0.89438107383,False,False,9d94b6229f1a5ec1796723d5b27efd4aeec8a30d0a81b2dd2f3fe7c52e257d5c
mmlu,mmlu_pro:test:249,anthropic_sonnet5,1.5,0.8,0.9471647447066639,0.947164744707,False,False,5540ac3830c5e8dec55daa91986aee88bb1732cdf103136f01b6900e28f2e618
mmlu,mmlu_pro:test:267,openai_gpt56_sol,-1.5,0.99,0.9566909942174234,0.956690994217,False,False,77239323aeb2913a771a4e682f8670969bf3b0779ca47538c410a7fc05c9eaa8
mmlu,mmlu_pro:test:267,openai_gpt56_sol,-0.75,0.99,0.9790638565595808,0.97906385656,False,False,e8a9d815b828249c1a2eac51f09117dea3b92ea689467a8ad800d698a1b1dd06
mmlu,mmlu_pro:test:267,openai_gpt56_sol,0.0,0.99,0.99,0.99,False,True,6b0ffa52a5517e593d3dacfa091685fb7cb26d4d96eaaa5936f4d271da113661
mmlu,mmlu_pro:test:267,openai_gpt56_sol,0.75,0.99,0.9952512786303263,0.99525127863,False,False,ce5802662a249ff7fa0a653d8d9fcbab1f8a3be627eb17a2bc278f615f482f4f
mmlu,mmlu_pro:test:267,openai_gpt56_sol,1.5,0.99,0.9977512283699548,0.99775122837,False,False,0b1ec9ad6e045da76513f1cc04adc5e58ddd5d03010be35e92519b6872b727b7
mmlu,mmlu_pro:test:267,anthropic_sonnet5,-1.5,0.97,0.8782646654075883,0.878264665408,False,False,e0a0fd1e63a403dbd57abaa0278c79e06c13cb6f4d35b9b1b68c9f7f9b632c1c
mmlu,mmlu_pro:test:267,anthropic_sonnet5,-0.75,0.97,0.9385492153266495,0.938549215327,False,False,efd6a6540a8e8e3d041d5bdda290e88f8ba5395303af64b7b4095be9b9bb3750
mmlu,mmlu_pro:test:267,anthropic_sonnet5,0.0,0.97,0.97,0.97,False,True,a0d8f911b67f684f87e8dca56cabd099c21874fcd61d39ac24f92885dc3a3579
mmlu,mmlu_pro:test:267,anthropic_sonnet5,0.75,0.97,0.9856010829099389,0.98560108291,False,False,0758086d63d684c8598cd9ba2008c6cc4e7f95b3b6932efa93c90cd95a1b3516
mmlu,mmlu_pro:test:267,anthropic_sonnet5,1.5,0.97,0.9931463636953963,0.993146363695,False,False,cfbb19cbe261a99b745186c67d800c6e4689598f81c195a23efe991fbea5cf9f
mmlu,mmlu_pro:test:304,openai_gpt56_sol,-1.5,0.99,0.9566909942174234,0.956690994217,False,False,f1e7aba0784125a6d95416c49378662bee566a521241052b3b18a495e506b4c3
mmlu,mmlu_pro:test:304,openai_gpt56_sol,-0.75,0.99,0.9790638565595808,0.97906385656,False,False,4ec4f4af0c3c90397c9fc175265fc0517a2a8492653fb879a37534dbc7050c96
mmlu,mmlu_pro:test:304,openai_gpt56_sol,0.0,0.99,0.99,0.99,False,True,20dd073397fb70091cf83702c479c7c7da5e3929ce2eaf34b8fccd9338027e97
mmlu,mmlu_pro:test:304,openai_gpt56_sol,0.75,0.99,0.9952512786303263,0.99525127863,False,False,8b660315ebaddd4e220ffc69fd8032a78546262457eb6c43e5f3df2aa621e2e0
mmlu,mmlu_pro:test:304,openai_gpt56_sol,1.5,0.99,0.9977512283699548,0.99775122837,False,False,fcc889eb3da21fc6784d63176e2ac1ccf74c66723d9c465292b3d3d49fea61f2
mmlu,mmlu_pro:test:304,anthropic_sonnet5,-1.5,0.6,0.25076529093399114,0.250765290934,False,False,f89021c54826bf434802779cf97e5138c0b75fecddcd6c51ea86a97773d1b069
mmlu,mmlu_pro:test:304,anthropic_sonnet5,-0.75,0.6,0.41470831990892604,0.414708319909,False,False,cbae232ff939af42de5805a71b396626f109a638946d30a9d5a000c3767063f4
mmlu,mmlu_pro:test:304,anthropic_sonnet5,0.0,0.6,0.6,0.6,False,True,4e1b6e8c9cd2b0b0d74eebdfb58046acaedad34dc2240c0d449f072a466b5c54
mmlu,mmlu_pro:test:304,anthropic_sonnet5,0.75,0.6,0.7605077250551816,0.760507725055,False,False,47db595f4150c85b72b5ba972b7130c977f418753c7de3d01ec9b3eb5575e0c3
mmlu,mmlu_pro:test:304,anthropic_sonnet5,1.5,0.6,0.8705088185971921,0.870508818597,False,False,398bc724e8f322b5d157f3ae9d06237cdfaa7be031c6d6ea5e24c18e1ba95370
mmlu,mmlu_pro:test:336,openai_gpt56_sol,-1.5,0.99,0.9566909942174234,0.956690994217,False,False,356886df4e9b750bd53284be358958814a465203151818f5fd5e30c88f4ed851
mmlu,mmlu_pro:test:336,openai_gpt56_sol,-0.75,0.99,0.9790638565595808,0.97906385656,False,False,6838641574fb8896f05e8460bde35fb77a817dc9878d8369b7183e37c0f38ab3
mmlu,mmlu_pro:test:336,openai_gpt56_sol,0.0,0.99,0.99,0.99,False,True,d31987b1578369497969c29e957a9f35a2374a994297599def88a7617665b691
mmlu,mmlu_pro:test:336,openai_gpt56_sol,0.75,0.99,0.9952512786303263,0.99525127863,False,False,60ac0cdf243f107f47ee01a2295d6421a398445314d7bd7da56aeb5b727a80cc
mmlu,mmlu_pro:test:336,openai_gpt56_sol,1.5,0.99,0.9977512283699548,0.99775122837,False,False,0c5af276e59bc7353794d8deaa45525347cd963409e8c8b79984f73eaf77580d
mmlu,mmlu_pro:test:336,anthropic_sonnet5,-1.5,0.9,0.6675721382568807,0.667572138257,False,False,1bd9e1aae73c367e48a4cf618e780ae875c3b3066b498abaf9ddda79c5913986
mmlu,mmlu_pro:test:336,anthropic_sonnet5,-0.75,0.9,0.8095709261986922,0.809570926199,False,False,79e5bfe0a520b9fdbdcf6e388986f395e725c214ca84c8ee872b77a02d2e400c
mmlu,mmlu_pro:test:336,anthropic_sonnet5,0.0,0.9,0.9,0.9,False,True,0aeaee41bf84ada0e2765bba3ee95fc3cc3915423e20aafe199d34502e2bf36f
mmlu,mmlu_pro:test:336,anthropic_sonnet5,0.75,0.9,0.950132150174834,0.950132150175,False,False,693f39a020e5daed4c0c21447372136726a344febef799464036c1871bcdc16a
mmlu,mmlu_pro:test:336,anthropic_sonnet5,1.5,0.9,0.9758075451312032,0.975807545131,False,False,ca0590101c30aed7f73e452678148d72fdee586846be30e68edc14f44b934ab1
mmlu,mmlu_pro:test:338,openai_gpt56_sol,-1.5,0.99,0.9566909942174234,0.956690994217,False,False,dbea52e28c9abd25efeff94246841ef740110b8678efce28de3b90fc8df8c99d
mmlu,mmlu_pro:test:338,openai_gpt56_sol,-0.75,0.99,0.9790638565595808,0.97906385656,False,False,48d4d2180b59e65201cb144931200e2c76a26096b0c7f7809f9249021b68defa
mmlu,mmlu_pro:test:338,openai_gpt56_sol,0.0,0.99,0.99,0.99,False,True,e16922d1efa3fd3126cc31fa0ca3104dd0c5f5921be984e04da8269fda46e5ff
mmlu,mmlu_pro:test:338,openai_gpt56_sol,0.75,0.99,0.9952512786303263,0.99525127863,False,False,ba3961b12e4b651ae87cbd6e67fdd59fff99fc93bebf4fc06232eeb47bd2ae3b
mmlu,mmlu_pro:test:338,openai_gpt56_sol,1.5,0.99,0.9977512283699548,0.99775122837,False,False,4b840a1a7b765c627c9cca72c20757f1a139d5bbf99c373cb373d4b8209bb479
mmlu,mmlu_pro:test:338,anthropic_sonnet5,-1.5,0.72,0.3645804170628424,0.364580417063,False,False,6dcc99620cd631f2e6c4db9ee3d47915b419c4367412118f2be3d5273f925004
mmlu,mmlu_pro:test:338,anthropic_sonnet5,-0.75,0.72,0.5484627787629106,0.548462778763,False,False,e904eefe23e530173947c870e01faefeb19e573542c82dff012ae75599fe12d4
mmlu,mmlu_pro:test:338,anthropic_sonnet5,0.0,0.72,0.72,0.72,False,True,38e51b0cf8e4932f1ddfd97b73cd477d5be3590258da439a09cea95bdc477b82
mmlu,mmlu_pro:test:338,anthropic_sonnet5,0.75,0.72,0.8448100041326249,0.844810004133,False,False,470bacb3350af54d55d633cefd75a740579ea1ab32d9ffb76ce876bb8beddf0d
mmlu,mmlu_pro:test:338,anthropic_sonnet5,1.5,0.72,0.9201554944517072,0.920155494452,False,False,91301e55f407c63641a99979450d327f35a8d7efcfa8d1ea1125565a6d58c32f
mmlu,mmlu_pro:test:339,openai_gpt56_sol,-1.5,0.99,0.9566909942174234,0.956690994217,True,False,458a88ecae16a1d88f6190ae9bfdf456a1d80545e54c220ad1d5d35d55dc110b
mmlu,mmlu_pro:test:339,openai_gpt56_sol,-0.75,0.99,0.9790638565595808,0.97906385656,True,False,8f5ba06d0e94173e159b3c0192ff8576fdd765e33e5d5fd1d907226193742be0
