model_alias,model_label,family,score_condition,displayed_confidence,n_questions,n_wrong,n_correct,n_verify,verify_rate,verify_rate_ci_lower,verify_rate_ci_upper,tpr,tpr_ci_lower,tpr_ci_upper,fpr,fpr_ci_lower,fpr_ci_upper,errors_caught,frac_errors_caught,frac_errors_caught_ci_lower,frac_errors_caught_ci_upper,saturation,sample_role,note
anthropic_sonnet5,Claude,moderate,displayed_0.70,0.7,100,27,73,90,0.9,0.84,0.95,1.0,1.0,1.0,0.863013698630137,0.7777777777777778,0.935064935064935,27,1.0,1.0,1.0,high_coverage_saturated,primary_n100,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
openai_gpt56_sol,GPT,moderate,hidden,,100,19,81,35,0.35,0.26,0.44,0.6842105263157895,0.46153846153846156,0.875,0.2716049382716049,0.17721518987341772,0.3670886075949367,13,0.6842105263157895,0.46153846153846156,0.875,identifiable,primary_n100,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
openai_gpt56_sol,GPT,stronger,displayed_0.70,0.7,100,19,81,92,0.92,0.86,0.97,1.0,1.0,1.0,0.9012345679012346,0.8292682926829268,0.9625,19,1.0,1.0,1.0,high_coverage_saturated,primary_n100,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
openai_gpt56_sol,GPT,stronger,displayed_0.90,0.9,100,19,81,40,0.4,0.31,0.5,0.6842105263157895,0.4666666666666667,0.8888888888888888,0.3333333333333333,0.23255813953488372,0.4375,13,0.6842105263157895,0.4666666666666667,0.8888888888888888,identifiable,primary_n100,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
openai_gpt56_sol,GPT,stronger,displayed_0.99,0.99,100,19,81,16,0.16,0.09,0.23,0.3157894736842105,0.1111111111111111,0.5454545454545454,0.12345679012345678,0.056818181818181816,0.2,6,0.3157894736842105,0.1111111111111111,0.5454545454545454,identifiable,primary_n100,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
openai_gpt56_sol,GPT,stronger,hidden,,100,19,81,52,0.52,0.42,0.62,0.6842105263157895,0.45454545454545453,0.8888888888888888,0.48148148148148145,0.37333333333333335,0.5903614457831325,13,0.6842105263157895,0.45454545454545453,0.8888888888888888,identifiable,primary_n100,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
google_gemini38_flash,Gemini,moderate,displayed_0.70,0.7,20,4,16,4,0.2,0.05,0.4,0.25,0.0,1.0,0.1875,0.0,0.4,1,0.25,0.0,1.0,identifiable,descriptive_n20,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
google_gemini38_flash,Gemini,moderate,displayed_0.90,0.9,20,4,16,2,0.1,0.0,0.25,0.25,0.0,1.0,0.0625,0.0,0.21428571428571427,1,0.25,0.0,1.0,low_coverage_saturated,descriptive_n20,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
google_gemini38_flash,Gemini,moderate,displayed_0.99,0.99,20,4,16,2,0.1,0.0,0.25,0.25,0.0,1.0,0.0625,0.0,0.21052631578947367,1,0.25,0.0,1.0,low_coverage_saturated,descriptive_n20,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
google_gemini38_flash,Gemini,moderate,hidden,,20,4,16,4,0.2,0.05,0.4,0.5,0.0,1.0,0.125,0.0,0.3125,2,0.5,0.0,1.0,identifiable,descriptive_n20,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
google_gemini38_flash,Gemini,stronger,displayed_0.70,0.7,20,4,16,13,0.65,0.45,0.85,1.0,1.0,1.0,0.5625,0.3125,0.8125,4,1.0,1.0,1.0,identifiable,descriptive_n20,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
google_gemini38_flash,Gemini,stronger,displayed_0.90,0.9,20,4,16,1,0.05,0.0,0.15,0.0,0.0,0.0,0.0625,0.0,0.21052631578947367,0,0.0,0.0,0.0,low_coverage_saturated,descriptive_n20,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
google_gemini38_flash,Gemini,stronger,displayed_0.99,0.99,20,4,16,5,0.25,0.05,0.45,0.5,0.0,1.0,0.1875,0.0,0.4,2,0.5,0.0,1.0,identifiable,descriptive_n20,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
google_gemini38_flash,Gemini,stronger,hidden,,20,4,16,4,0.2,0.05,0.4,0.5,0.0,1.0,0.125,0.0,0.3125,2,0.5,0.0,1.0,identifiable,descriptive_n20,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
xai_grok420_nonreasoning,Grok,moderate,displayed_0.70,0.7,20,8,12,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,high_coverage_saturated,descriptive_n20,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
xai_grok420_nonreasoning,Grok,moderate,displayed_0.90,0.9,20,8,12,19,0.95,0.85,1.0,1.0,1.0,1.0,0.9166666666666666,0.7272727272727273,1.0,8,1.0,1.0,1.0,high_coverage_saturated,descriptive_n20,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
xai_grok420_nonreasoning,Grok,moderate,displayed_0.99,0.99,20,8,12,18,0.9,0.75,1.0,1.0,1.0,1.0,0.8333333333333334,0.6,1.0,8,1.0,1.0,1.0,high_coverage_saturated,descriptive_n20,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
xai_grok420_nonreasoning,Grok,moderate,hidden,,20,8,12,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,high_coverage_saturated,descriptive_n20,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
xai_grok420_nonreasoning,Grok,stronger,displayed_0.70,0.7,20,8,12,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,high_coverage_saturated,descriptive_n20,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
xai_grok420_nonreasoning,Grok,stronger,displayed_0.90,0.9,20,8,12,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,high_coverage_saturated,descriptive_n20,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
xai_grok420_nonreasoning,Grok,stronger,displayed_0.99,0.99,20,8,12,18,0.9,0.75,1.0,1.0,1.0,1.0,0.8333333333333334,0.6,1.0,8,1.0,1.0,1.0,high_coverage_saturated,descriptive_n20,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
xai_grok420_nonreasoning,Grok,stronger,hidden,,20,8,12,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,high_coverage_saturated,descriptive_n20,FPR=P(VERIFY|correct); TPR=P(VERIFY|wrong). Question-bootstrap 95% CI.
